easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
81700.0,30000.0,0.1,0.04,0.333,9947233.837,0.2159579320666731,0.7840420679333269,470219.09264227346,254.0881249556009
81776.0,30000.0,0.07,0.023,0.333,9955287.744,0.21680262637233505,0.783197373627665,,
81852.0,30000.0,0.07,0.021,0.333,9963302.299,0.2176442315279165,0.7823557684720834,,
81928.0,30000.0,0.07,0.021,0.333,9963302.299,0.2176442315279165,0.7823557684720834,,
82004.0,30000.0,0.06,0.017,0.333,9971276.469,0.2184827069726901,0.7815172930273099,817549.9790437643,339.7028969363306
82080.0,30000.0,0.09,0.032,0.333,9979209.217,0.21931801318798258,0.7806819868120174,,
82156.0,30000.0,0.04,0.004,0.333,9987099.5,0.22015011169572518,0.7798498883042748,,
82232.0,30000.0,0.04,0.004,0.333,9987099.5,0.22015011169572518,0.7798498883042748,,
82308.0,30000.0,0.08,0.028,0.333,9994946.273,0.22097896505762343,0.7790210349423765,1143459.7107953504,255.83521161045678
82384.0,30000.0,0.08,0.025,0.333,10002748.485,0.22180453687477494,0.778195463125225,,
82460.0,30000.0,0.08,0.027,0.333,10010505.077,0.2226267917878315,0.7773732082121685,,
82536.0,30000.0,0.08,0.027,0.333,10010505.077,0.2226267917878315,0.7773732082121685,,
82612.0,30000.0,0.07,0.017,0.333,10018214.984,0.2234456954777006,0.7765543045222993,453384.88326063356,252.02834109502405
82688.0,30000.0,0.08,0.028,0.333,10025877.135,0.22426121466688848,0.7757387853331115,,
82764.0,30000.0,0.08,0.02,0.333,10033490.448,0.22507331712118872,0.7749266828788113,,
82840.0,30000.0,0.08,0.02,0.333,10033490.448,0.22507331712118872,0.7749266828788113,,
82916.0,30000.0,0.08,0.025,0.333,10041053.833,0.225881971652173,0.7741180283478271,835644.8570058154,255.8422073540791
82991.0,30000.0,0.07,0.023,0.333,10048566.189,0.22668714812000235,0.7733128518799977,,
83067.0,30000.0,0.09,0.04,0.333,10056026.405,0.22748881743701138,0.7725111825629887,,
83143.0,30000.0,0.09,0.04,0.333,10056026.405,0.22748881743701138,0.7725111825629887,,
83219.0,30000.0,0.08,0.025,0.333,10063433.358,0.22828695157177425,0.7717130484282257,1115635.138382939,346.93628309249345
83295.0,30000.0,0.07,0.013,0.333,10070785.91,0.22908152355382969,0.7709184764461703,,
83371.0,30000.0,0.08,0.027,0.333,10078082.913,0.22987250747887403,0.770127492521126,,
83447.0,30000.0,0.08,0.027,0.333,10078082.913,0.22987250747887403,0.770127492521126,,
83523.0,30000.0,0.08,0.026,0.333,10085323.202,0.23065987851483372,0.7693401214851663,309897.9093266115,247.35983617800144
83599.0,30000.0,0.06,0.013,0.333,10092505.598,0.23144361290832055,0.7685563870916794,,
83675.0,30000.0,0.07,0.015,0.333,10099628.905,0.23222368799198928,0.7677763120080108,,
83751.0,30000.0,0.07,0.021,0.333,10106691.91,0.23300008219233556,0.7669999178076644,,
83827.0,30000.0,0.07,0.021,0.333,10106691.91,0.23300008219233556,0.7669999178076644,375891.5555504433,257.57946668563665
83903.0,30000.0,0.06,0.013,0.333,10113693.38,0.2337727750384656,0.7662272249615344,,
83979.0,30000.0,0.08,0.027,0.333,10120632.065,0.23454174717134443,0.7654582528286555,,
84055.0,30000.0,0.07,0.023,0.333,10127506.693,0.23530698035412642,0.7646930196458736,,
84131.0,30000.0,0.07,0.023,0.333,10127506.693,0.23530698035412642,0.7646930196458736,527108.4099142699,345.89020532665916
84207.0,30000.0,0.05,0.008,0.333,10134315.972,0.2360684574829287,0.7639315425170713,,
84283.0,30000.0,0.09,0.029,0.333,10141058.586,0.23682616259874834,0.7631738374012517,,
84359.0,30000.0,0.08,0.041,0.333,10147733.195,0.23758008090010502,0.762419919099895,,
84435.0,30000.0,0.08,0.041,0.333,10147733.195,0.23758008090010502,0.762419919099895,731985.3470654502,317.49316031632424
84511.0,30000.0,0.09,0.03,0.333,10154338.435,0.23833019875661765,0.7616698012433823,,
84587.0,30000.0,0.07,0.021,0.333,10160872.915,0.23907650372365388,0.7609234962763461,,
84663.0,30000.0,0.08,0.03,0.333,10167335.216,0.23981898455788972,0.7601810154421103,,
84739.0,30000.0,0.08,0.03,0.333,10167335.216,0.23981898455788972,0.7601810154421103,727730.4957098322,283.56684170810206
84815.0,30000.0,0.08,0.029,0.333,10173723.892,0.24055763123404822,0.7594423687659517,,
84891.0,30000.0,0.08,0.026,0.333,10180037.463,0.24129243496271338,0.7587075650372866,,
84967.0,30000.0,0.06,0.018,0.333,10186274.422,0.24202338820951355,0.7579766117904865,,
85043.0,30000.0,0.06,0.018,0.333,10186274.422,0.24202338820951355,0.7579766117904865,368168.6544673157,321.1820135572442
85119.0,30000.0,0.07,0.024,0.333,10192433.223,0.2427504847154849,0.7572495152845151,,
85195.0,30000.0,0.06,0.013,0.333,10198512.288,0.2434737195189591,0.7565262804810409,,
85271.0,30000.0,0.09,0.039,0.333,10204510.003,0.24419308897876577,0.7558069110212342,,
85347.0,30000.0,0.09,0.039,0.333,10204510.003,0.24419308897876577,0.7558069110212342,514335.0135094089,293.60647575790586
85423.0,30000.0,0.08,0.026,0.333,10210424.714,0.24490859079943825,0.7550914092005617,,
85499.0,30000.0,0.08,0.028,0.332,10216254.725,0.24562022405768105,0.754379775942319,,
85574.0,30000.0,0.09,0.035,0.332,10221998.299,0.24632798923118282,0.7536720107688172,,
85650.0,30000.0,0.06,0.014,0.332,10227653.655,0.2470318882292148,0.7529681117707852,434644.811594672,289.0375918241198
85726.0,30000.0,0.06,0.014,0.332,10227653.655,0.2470318882292148,0.7529681117707852,,
85802.0,30000.0,0.07,0.021,0.332,10233218.964,0.24773192442543962,0.7522680755745603,,
85878.0,30000.0,0.08,0.024,0.332,10238692.346,0.24842810269339033,0.7515718973066097,,
85954.0,30000.0,0.1,0.042,0.332,10244071.873,0.24912042944437598,0.750879570555624,876019.234021412,270.2777344911731
86030.0,30000.0,0.1,0.042,0.332,10244071.873,0.24912042944437598,0.750879570555624,,
86106.0,30000.0,0.07,0.023,0.332,10249355.558,0.24980891266827757,0.7501910873317225,,
86182.0,30000.0,0.07,0.022,0.332,10254541.36,0.2504935619777719,0.749506438022228,,
86258.0,30000.0,0.06,0.015,0.332,10259627.174,0.25117438865579056,0.7488256113442094,867324.8757195438,315.6933805837064
86334.0,30000.0,0.06,0.015,0.332,10259627.174,0.25117438865579056,0.7488256113442094,,
86410.0,30000.0,0.09,0.041,0.332,10264610.833,0.25185140570699066,0.7481485942930093,,
86486.0,30000.0,0.07,0.021,0.332,10269490.101,0.25252462791350105,0.747475372086499,,
86562.0,30000.0,0.08,0.024,0.332,10274262.673,0.2531940718954389,0.7468059281045611,941048.0685284113,298.2232561898162
86638.0,30000.0,0.08,0.024,0.332,10274262.673,0.2531940718954389,0.7468059281045611,,
86714.0,30000.0,0.04,0.008,0.332,10278926.163,0.25385975617669165,0.7461402438233083,,
86790.0,30000.0,0.06,0.017,0.332,10283478.11,0.25452170125671875,0.7454782987432813,,
86866.0,30000.0,0.08,0.028,0.332,10287915.965,0.2551799296889641,0.7448200703110359,881479.3773939925,315.41806459653
86942.0,30000.0,0.08,0.028,0.332,10287915.965,0.2551799296889641,0.7448200703110359,,
87018.0,30000.0,0.06,0.013,0.332,10292237.086,0.25583446616682864,0.7441655338331714,,
87094.0,30000.0,0.07,0.018,0.332,10296438.739,0.2564853376180487,0.7435146623819513,,
87170.0,30000.0,0.06,0.019,0.332,10300518.082,0.25713257330885075,0.7428674266911492,340175.30141277617,358.42872312765894
87246.0,30000.0,0.06,0.019,0.332,10300518.082,0.25713257330885075,0.7428674266911492,,
87322.0,30000.0,0.06,0.014,0.332,10304472.165,0.25777620495902603,0.742223795040974,,
87398.0,30000.0,0.07,0.019,0.332,10308297.919,0.2584162668695808,0.7415837331304191,,
87474.0,30000.0,0.06,0.015,0.332,10311992.146,0.25905279606499365,0.7409472039350063,1089521.873477286,257.55188484623926
87550.0,30000.0,0.06,0.015,0.332,10311992.146,0.25905279606499365,0.7409472039350063,,
87626.0,30000.0,0.05,0.01,0.332,10315551.513,0.259685832452148,0.740314167547852,,
87702.0,30000.0,0.06,0.016,0.332,10318972.535,0.26031541899879607,0.7396845810012039,,
87778.0,30000.0,0.07,0.018,0.332,10322251.57,0.2609416019350849,0.739058398064915,342814.38780273753,274.2796325170003
87854.0,30000.0,0.07,0.021,0.332,10325384.797,0.26156443098175447,0.7384355690182456,,
87930.0,30000.0,0.07,0.021,0.332,10325384.797,0.26156443098175447,0.7384355690182456,,
88006.0,30000.0,0.07,0.022,0.332,10328368.208,0.26218395961047014,0.7378160403895299,,
88082.0,30000.0,0.09,0.038,0.332,10331197.582,0.2628002453423523,0.7371997546576476,1006128.2611959414,346.2088688237824
88157.0,30000.0,0.07,0.016,0.332,10333868.467,0.2634133500926918,0.7365866499073082,,
88233.0,30000.0,0.07,0.016,0.332,10333868.467,0.2634133500926918,0.7365866499073082,,
88309.0,30000.0,0.08,0.023,0.332,10336376.157,0.26402334057162863,0.7359766594283714,,
88385.0,30000.0,0.07,0.023,0.332,10338715.662,0.2646302887539881,0.7353697112460119,485308.304715048,234.19279211959562
88461.0,30000.0,0.08,0.026,0.332,10340881.671,0.2652342724349784,0.7347657275650217,,
88537.0,30000.0,0.08,0.026,0.332,10340881.671,0.2652342724349784,0.7347657275650217,,
88613.0,30000.0,0.09,0.03,0.332,10342868.515,0.2658353758937366,0.7341646241062634,,
88689.0,30000.0,0.06,0.014,0.332,10344670.117,0.2664336906953494,0.7335663093046506,638363.2022090039,290.49589498188453
88765.0,30000.0,0.09,0.026,0.332,10346279.929,0.267029316671708,0.7329706833282921,,
