easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
50100.0,51800.0,0.07,0.014,0.323,12140684.267,0.1449069186197413,0.8550930813802586,572930.557391627,332.2012773548539
50152.0,51800.0,0.07,0.013,0.323,12141693.397,0.14509023212243743,0.8549097678775626,,
50204.0,51800.0,0.07,0.013,0.323,12141693.397,0.14509023212243743,0.8549097678775626,,
50257.0,51800.0,0.07,0.019,0.323,12142639.785,0.14527416038089971,0.8547258396191003,1075115.0219882978,355.9180343825186
50309.0,51800.0,0.07,0.019,0.323,12142639.785,0.14527416038089971,0.8547258396191003,,
50361.0,51800.0,0.06,0.014,0.323,12143525.77,0.14545874300078154,0.8545412569992185,,
50413.0,51800.0,0.06,0.014,0.323,12143525.77,0.14545874300078154,0.8545412569992185,319131.9131225631,253.98867736826386
50465.0,51800.0,0.06,0.013,0.323,12144354.386,0.1456440327072042,0.8543559672927958,,
50518.0,51800.0,0.06,0.013,0.323,12144354.386,0.1456440327072042,0.8543559672927958,,
50570.0,51800.0,0.05,0.01,0.323,12145129.283,0.1458300939300488,0.8541699060699512,861059.044903586,289.273847141578
50622.0,51800.0,0.05,0.01,0.323,12145129.283,0.1458300939300488,0.8541699060699512,,
50674.0,51800.0,0.06,0.015,0.323,12145854.644,0.14601700117413255,0.8539829988258675,,
50726.0,51800.0,0.06,0.015,0.323,12145854.644,0.14601700117413255,0.8539829988258675,1128836.5892762553,317.1509907708034
50778.0,51800.0,0.04,0.009,0.323,12146535.094,0.14620483727824343,0.8537951627217566,,
50831.0,51800.0,0.04,0.009,0.323,12146535.094,0.14620483727824343,0.8537951627217566,,
50883.0,51800.0,0.05,0.008,0.323,12147175.608,0.1463936916593292,0.8536063083406709,476856.8739454593,390.25310187949526
50935.0,51800.0,0.05,0.008,0.323,12147175.608,0.1463936916593292,0.8536063083406709,,
50987.0,51800.0,0.07,0.02,0.323,12147781.42,0.14658365862221215,0.8534163413777879,,
51039.0,51800.0,0.07,0.02,0.323,12147781.42,0.14658365862221215,0.8534163413777879,429268.33780326846,293.0919599602215
51092.0,51800.0,0.07,0.022,0.324,12148357.942,0.1467748357947763,0.8532251642052238,,
51144.0,51800.0,0.07,0.022,0.324,12148357.942,0.1467748357947763,0.8532251642052238,,
51196.0,51800.0,0.07,0.017,0.324,12148910.693,0.14696732272827193,0.853032677271728,505268.95360662387,268.44380651279585
51248.0,51800.0,0.07,0.017,0.324,12148910.693,0.14696732272827193,0.853032677271728,,
51300.0,51800.0,0.05,0.011,0.324,12149445.231,0.14716121968292153,0.8528387803170785,,
51353.0,51800.0,0.06,0.018,0.324,12149967.102,0.14735662660416324,0.8526433733958367,1022482.7177498939,295.65320644187295
51405.0,51800.0,0.06,0.018,0.324,12149967.102,0.14735662660416324,0.8526433733958367,,
51457.0,51800.0,0.08,0.026,0.324,12150481.795,0.14755364228272327,0.8524463577172767,,
51509.0,51800.0,0.08,0.026,0.324,12150481.795,0.14755364228272327,0.8524463577172767,712196.1149374397,173.00851660920023
51561.0,51800.0,0.05,0.012,0.324,12150994.706,0.14775236368457798,0.852247636315422,,
51613.0,51800.0,0.05,0.012,0.324,12150994.706,0.14775236368457798,0.852247636315422,,
51666.0,51800.0,0.07,0.017,0.324,12151511.114,0.1479528854321785,0.8520471145678215,859773.9566141366,347.1724979165603
