easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
5700.0,15600.0,0.06,0.012,0.351,10024328.704,0.1286394181732406,0.8713605818267594,689704.3839526678,293.7092192817141
5811.0,15600.0,0.06,0.018,0.351,10018251.913,0.12863037975650934,0.8713696202434906,,
5921.0,15600.0,0.07,0.018,0.351,10012181.145,0.12861946571557606,0.871380534284424,,
6032.0,15600.0,0.04,0.007,0.351,10006115.831,0.1286067046884049,0.871393295311595,,
6143.0,15600.0,0.06,0.012,0.351,10000055.396,0.12859212616402008,0.87140787383598,479111.0093810644,283.7631609961873
6254.0,15600.0,0.03,0.004,0.351,9987946.832,0.12855763862651554,0.8714423613734845,,
6364.0,15600.0,0.06,0.018,0.351,9981897.525,0.12853779251963618,0.8714622074803638,,
6475.0,15600.0,0.05,0.009,0.351,9975850.742,0.12851625463949842,0.8714837453605015,,
6586.0,15600.0,0.06,0.01,0.351,9969805.885,0.12849305813748826,0.8715069418625118,927706.6880987283,374.61416242957813
6697.0,15600.0,0.04,0.006,0.351,9963762.357,0.12846823674967106,0.871531763250329,,
6807.0,15600.0,0.06,0.019,0.351,9957719.554,0.1284418247374955,0.8715581752625046,,
6918.0,15600.0,0.07,0.019,0.351,9951676.879,0.1284138568238981,0.8715861431761018,,
7029.0,15600.0,0.04,0.008,0.351,9945633.731,0.1283843681251855,0.8716156318748145,587170.0527850921,333.54189858599653
7139.0,15600.0,0.06,0.017,0.35,9939589.513,0.12835339407823987,0.8716466059217601,,
7250.0,15600.0,0.07,0.021,0.35,9927495.506,0.1282871328230465,0.8717128671769535,,
7361.0,15600.0,0.08,0.026,0.35,9921444.547,0.12825191737604955,0.8717480826239504,,
7472.0,15600.0,0.04,0.007,0.35,9915390.185,0.12821535992820188,0.8717846400717981,615076.4226502597,290.73100099508616
7582.0,15600.0,0.05,0.009,0.35,9909331.855,0.12817749627846095,0.871822503721539,,
7693.0,15600.0,0.07,0.024,0.35,9903269.004,0.128138362022374,0.8718616379776261,,
7804.0,15600.0,0.04,0.007,0.35,9897201.092,0.12809799245158215,0.8719020075484178,,
7915.0,15600.0,0.04,0.006,0.35,9891127.593,0.1280564224507168,0.8719435775492832,737117.9984749517,278.0063872306742
8025.0,15600.0,0.04,0.005,0.35,9885047.996,0.1280136863916512,0.8719863136083488,,
8136.0,15600.0,0.07,0.02,0.35,9878961.808,0.12796981802594615,0.8720301819740539,,
8247.0,15600.0,0.04,0.008,0.35,9872868.555,0.1279248503753652,0.8720751496246348,,
8358.0,15600.0,0.06,0.014,0.35,9860659.065,0.12783174499633493,0.8721682550036651,309779.8254637279,227.76064360338583
8468.0,15600.0,0.05,0.011,0.35,9854541.992,0.12778366866899013,0.8722163313310098,,
8579.0,15600.0,0.03,0.003,0.35,9848416.184,0.12773461563896993,0.8722653843610301,,
8690.0,15600.0,0.03,0.003,0.349,9842281.29,0.12768461362655814,0.8723153863734419,,
8800.0,15600.0,0.05,0.011,0.349,9836136.987,0.12763368896758723,0.8723663110324128,690604.7990996211,361.64393661306536
8911.0,15600.0,0.04,0.008,0.349,9829982.981,0.12758186651050632,0.8724181334894937,,
9022.0,15600.0,0.05,0.009,0.349,9823819.015,0.12752916951763046,0.8724708304823695,,
9133.0,15600.0,0.05,0.009,0.349,9817644.862,0.12747561957069514,0.8725243804293048,,
9243.0,15600.0,0.04,0.005,0.349,9811460.331,0.12742123648174072,0.8725787635182592,812148.3129818169,338.5802770650351
9354.0,15600.0,0.05,0.01,0.349,9799059.56,0.12731004078523678,0.8726899592147632,,
9465.0,15600.0,0.08,0.03,0.349,9792843.126,0.12725325823925027,0.8727467417607497,,
9576.0,15600.0,0.03,0.004,0.349,9786615.931,0.12719570254397994,0.8728042974560201,,
9686.0,15600.0,0.05,0.009,0.349,9780377.976,0.12713738355911683,0.8728626164408831,1121636.316272877,202.61380777245623
9797.0,15600.0,0.07,0.02,0.349,9774129.306,0.12707830898838765,0.8729216910116123,,
