easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
70400.0,31800.0,0.07,0.014,0.336,9509119.672,0.12950431151367028,0.8704956884863297,697059.4955721827,288.7523993153117
70508.0,31800.0,0.09,0.036,0.336,9506926.253,0.12994679732059977,0.8700532026794002,,
70615.0,31800.0,0.08,0.021,0.336,9505126.62,0.1304079826873287,0.8695920173126713,,
70723.0,31800.0,0.1,0.035,0.336,9503712.822,0.13088750358303097,0.869112496416969,,
70831.0,31800.0,0.09,0.031,0.336,9502675.926,0.13138495562899788,0.8686150443710021,,
70939.0,31800.0,0.1,0.044,0.336,9502006.216,0.1318999021169811,0.8681000978830189,,
71046.0,31800.0,0.1,0.05,0.336,9501693.379,0.1324318817294511,0.8675681182705489,,
71154.0,31800.0,0.09,0.033,0.336,9502095.13,0.13354501414567443,0.8664549858543256,,
71262.0,31800.0,0.09,0.037,0.336,9502787.589,0.13412518174287721,0.8658748182571228,,
71370.0,31800.0,0.1,0.039,0.336,9503792.915,0.13472042228247127,0.8652795777175287,,
71477.0,31800.0,0.05,0.01,0.336,9505100.041,0.1353302425749476,0.8646697574250524,1098009.290540852,375.7325701067042
71585.0,31800.0,0.08,0.03,0.336,9506698.052,0.1359541555056957,0.8640458444943043,,
71693.0,31800.0,0.08,0.025,0.336,9508576.241,0.1365916824130922,0.8634083175869078,,
71801.0,31800.0,0.07,0.02,0.336,9510724.158,0.1372423548700194,0.8627576451299805,,
71908.0,31800.0,0.1,0.036,0.336,9513131.635,0.13790571596156853,0.8620942840384315,,
72016.0,31800.0,0.1,0.044,0.336,9515788.812,0.13858132114671426,0.8614186788532857,,
72124.0,31800.0,0.08,0.035,0.336,9518686.144,0.13926873878275525,0.8607312612172447,,
72231.0,31800.0,0.08,0.027,0.336,9521814.412,0.13996755038191114,0.8600324496180889,,
72339.0,31800.0,0.1,0.048,0.336,9525164.725,0.140677350658571,0.859322649341429,,
72447.0,31800.0,0.08,0.027,0.336,9528728.51,0.14139774741679026,0.8586022525832098,,
72555.0,31800.0,0.07,0.021,0.336,9536463.791,0.14286882556291597,0.857131174437084,494452.8910135373,307.65372302397327
72662.0,31800.0,0.08,0.028,0.336,9540619.696,0.1436187855102391,0.8563812144897609,,
72770.0,31800.0,0.08,0.029,0.336,9544957.873,0.144377898258652,0.855622101741348,,
72878.0,31800.0,0.06,0.017,0.336,9549471.243,0.1451458322020307,0.8548541677979693,,
72986.0,31800.0,0.08,0.021,0.336,9554152.996,0.14592226657407395,0.8540777334259261,,
73093.0,31800.0,0.09,0.033,0.336,9558996.575,0.14670689099022077,0.8532931090097793,,
73201.0,31800.0,0.09,0.038,0.336,9563995.669,0.1474994049939987,0.8525005950060013,,
73309.0,31800.0,0.07,0.019,0.336,9569144.201,0.14829951761298643,0.8517004823870136,,
73417.0,31800.0,0.08,0.022,0.336,9574436.316,0.14910694692787296,0.850893053072127,,
73524.0,31800.0,0.06,0.011,0.336,9579866.371,0.14992141965697006,0.85007858034303,,
73632.0,31800.0,0.08,0.03,0.336,9585428.926,0.15074267075789166,0.8492573292421084,1292295.2649644758,294.580837117828
73740.0,31800.0,0.07,0.019,0.336,9591118.735,0.15157044304721506,0.8484295569527849,,
73847.0,31800.0,0.07,0.024,0.336,9596930.736,0.1524044868383002,0.8475955131616998,,
73955.0,31800.0,0.05,0.013,0.336,9608901.932,0.15409042561906933,0.8459095743809306,,
74063.0,31800.0,0.07,0.018,0.336,9615051.849,0.1549418557154933,0.8450581442845067,,
74171.0,31800.0,0.08,0.027,0.336,9621305.386,0.15579862692772165,0.8442013730722784,,
74278.0,31800.0,0.08,0.024,0.336,9627658.28,0.15666052224929006,0.8433394777507099,,
74386.0,31800.0,0.07,0.015,0.336,9634106.41,0.15752733036694105,0.8424726696330589,,
74494.0,31800.0,0.08,0.023,0.336,9640645.788,0.15839884541563082,0.8416011545843691,,
74602.0,31800.0,0.1,0.043,0.336,9647272.551,0.1592748667475003,0.8407251332524996,,
74709.0,31800.0,0.09,0.035,0.336,9653982.959,0.16015519871387984,0.8398448012861202,754534.7084815208,263.24072759592144
74817.0,31800.0,0.07,0.027,0.336,9660773.388,0.16103965045973723,0.8389603495402628,,
74925.0,31800.0,0.09,0.032,0.336,9667640.327,0.1619280357296819,0.838071964270318,,
75033.0,31800.0,0.08,0.026,0.336,9674580.369,0.16282017268476656,0.8371798273152334,,
75140.0,31800.0,0.07,0.022,0.336,9681590.211,0.16371588372973309,0.8362841162702669,,
75248.0,31800.0,0.08,0.026,0.336,9688666.649,0.16461499534961013,0.8353850046503899,,
75356.0,31800.0,0.09,0.029,0.336,9703006.96,0.16642274573872287,0.8335772542612772,,
75463.0,31800.0,0.06,0.02,0.336,9710264.88,0.16733105653270752,0.8326689434672925,,
