easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
74200.0,72800.0,0.05,0.008,0.366,9637039.181,0.14314668903396846,0.8568533109660316,846300.5037941093,307.38583385106165
74285.0,72800.0,0.06,0.015,0.365,9648252.418,0.14261144382296276,0.8573885561770372,,
74370.0,72800.0,0.04,0.006,0.365,9659361.938,0.14206485426450116,0.8579351457354989,,
74454.0,72800.0,0.04,0.007,0.365,9670366.15,0.14150706250069436,0.8584929374993057,,
74539.0,72800.0,0.04,0.007,0.365,9670366.15,0.14150706250069436,0.8584929374993057,972016.7912178987,280.6035005897636
74624.0,72800.0,0.06,0.015,0.364,9681263.537,0.14093820878940225,0.8590617912105978,,
74709.0,72800.0,0.06,0.013,0.364,9692052.653,0.14035843158457137,0.8596415684154286,,
74793.0,72800.0,0.04,0.007,0.364,9702732.122,0.1397678676165972,0.8602321323834028,,
74878.0,72800.0,0.04,0.006,0.363,9713300.636,0.1391666519718057,0.8608333480281943,675654.9693273556,255.8952560275675
74963.0,72800.0,0.05,0.01,0.363,9723756.952,0.13855491817122514,0.8614450818287749,,
75048.0,72800.0,0.05,0.01,0.363,9723756.952,0.13855491817122514,0.8614450818287749,,
75132.0,72800.0,0.06,0.018,0.363,9734099.893,0.1379327982480919,0.8620672017519081,,
75217.0,72800.0,0.05,0.009,0.362,9744328.344,0.1373004228240991,0.862699577175901,268762.9996448133,235.77744670491361
75302.0,72800.0,0.07,0.018,0.362,9754441.251,0.13665792118421935,0.8633420788157806,,
75387.0,72800.0,0.06,0.015,0.361,9764437.619,0.13600542135000285,0.8639945786499972,,
75471.0,72800.0,0.04,0.008,0.361,9774316.509,0.1353430501511424,0.8646569498488577,,
75556.0,72800.0,0.04,0.007,0.361,9784077.039,0.13467093329552007,0.86532906670448,385325.60901252716,290.8440322373486
75641.0,72800.0,0.04,0.007,0.361,9784077.039,0.13467093329552007,0.86532906670448,,
75726.0,72800.0,0.06,0.011,0.36,9793718.383,0.13398919543755758,0.8660108045624424,,
75811.0,72800.0,0.06,0.013,0.36,9803239.764,0.13329796024490786,0.8667020397550922,,
75895.0,72800.0,0.03,0.003,0.36,9812640.458,0.1325973504634883,0.8674026495365117,1482165.5953628742,264.3365039346445
75980.0,72800.0,0.04,0.005,0.359,9821919.79,0.13188748798082017,0.8681125120191798,,
76065.0,72800.0,0.07,0.017,0.359,9831077.135,0.13116849388791743,0.8688315061120826,,
76150.0,72800.0,0.07,0.017,0.359,9831077.135,0.13116849388791743,0.8688315061120826,,
76234.0,72800.0,0.03,0.005,0.359,9840111.911,0.13044048853948081,0.8695595114605192,1501732.274278311,377.1896495843772
76319.0,72800.0,0.04,0.007,0.358,9849023.585,0.12970359161283374,0.8702964083871663,,
76404.0,72800.0,0.06,0.014,0.358,9857811.665,0.1289579221649638,0.8710420778350362,,
76489.0,72800.0,0.05,0.011,0.357,9866475.703,0.1282035986887184,0.8717964013112816,,
76573.0,72800.0,0.04,0.005,0.357,9875015.293,0.12744073916732873,0.8725592608326713,1508445.5825465757,315.4053903645847
76658.0,72800.0,0.06,0.013,0.357,9883430.067,0.12666946112775665,0.8733305388722433,,
76743.0,72800.0,0.06,0.013,0.357,9883430.067,0.12666946112775665,0.8733305388722433,,
76828.0,72800.0,0.04,0.006,0.356,9891719.697,0.12588988169279888,0.8741101183072011,,
76912.0,72800.0,0.06,0.014,0.356,9899883.893,0.1251021176322263,0.8748978823677737,892723.7881983648,275.00094095797544
76997.0,72800.0,0.06,0.012,0.355,9907922.4,0.12430628541261257,0.8756937145873874,,
77082.0,72800.0,0.05,0.01,0.355,9915834.999,0.12350250124631124,0.8764974987536888,,
77167.0,72800.0,0.06,0.015,0.355,9923621.506,0.12269088113945874,0.8773091188605413,,
77252.0,72800.0,0.05,0.01,0.354,9931281.769,0.12187154093907064,0.8781284590609294,32137.5964429911,342.40503950151816
77336.0,72800.0,0.05,0.01,0.354,9931281.769,0.12187154093907064,0.8781284590609294,,
77421.0,72800.0,0.05,0.011,0.354,9938815.667,0.12104459637930462,0.8789554036206954,,
77506.0,72800.0,0.06,0.014,0.353,9946223.112,0.12021016312704043,0.8797898368729595,,
77591.0,72800.0,0.04,0.007,0.353,9953504.045,0.11936835682662442,0.8806316431733756,756640.5549188067,318.40912189196325
77675.0,72800.0,0.05,0.012,0.353,9960658.434,0.11851929314414546,0.8814807068558546,,
77760.0,72800.0,0.05,0.012,0.352,9967686.277,0.11766308781103259,0.8823369121889674,,
