easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
78400.0,79600.0,0.08,0.024,0.341,10076420.179,0.126065005076091,0.873934994923909,369409.5335678509,292.9035697245812
78493.0,79600.0,0.08,0.024,0.341,10072692.079,0.12537300548392005,0.87462699451608,,
78586.0,79600.0,0.05,0.01,0.34,10068845.908,0.12467659396512737,0.8753234060348727,626557.8350571399,293.60261448885973
78678.0,79600.0,0.04,0.007,0.34,10064882.621,0.12397589685059898,0.876024103149401,,
78771.0,79600.0,0.04,0.006,0.34,10060803.18,0.12327104098580316,0.8767289590141969,1085695.0303482485,337.22307537317573
78864.0,79600.0,0.04,0.004,0.34,10056608.55,0.12256215372462972,0.8774378462753702,,
78957.0,79600.0,0.03,0.002,0.339,10052299.703,0.12184936292338985,0.8781506370766101,1178466.713721086,217.4581659473771
79050.0,79600.0,0.03,0.002,0.339,10052299.703,0.12184936292338985,0.8781506370766101,,
79142.0,79600.0,0.04,0.005,0.339,10047877.617,0.12113279693495793,0.8788672030650421,909583.8888992327,382.27392205255455
79235.0,79600.0,0.06,0.016,0.339,10043343.271,0.12041258460334438,0.8795874153966556,,
79328.0,79600.0,0.05,0.01,0.339,10038697.652,0.11968885525830872,0.8803111447416913,574291.7410264015,250.38401376505365
79421.0,79600.0,0.04,0.007,0.338,10033941.749,0.1189617387103573,0.8810382612896427,,
79514.0,79600.0,0.05,0.01,0.338,10029076.558,0.1182313652454563,0.8817686347545437,778862.9622200308,307.8512518643057
79606.0,79600.0,0.03,0.004,0.338,10024103.077,0.11749786562047526,0.8825021343795247,,
79699.0,79600.0,0.04,0.008,0.338,10019022.307,0.11676137105799222,0.8832386289420078,485752.1911999932,270.34690648675087
79792.0,79600.0,0.02,0.002,0.337,10013835.255,0.11602201324182493,0.8839779867581751,,
79885.0,79600.0,0.02,0.002,0.337,10008542.93,0.11527992431196758,0.8847200756880325,870695.9046524725,288.93268110462463
79977.0,79600.0,0.03,0.005,0.337,10003146.344,0.1145352368600079,0.8854647631399921,,
80070.0,79600.0,0.03,0.003,0.337,9997646.514,0.11378808392407123,0.8862119160759288,495959.1400360343,170.46823382366023
80163.0,79600.0,0.01,0.001,0.336,9992044.458,0.11303859898401483,0.8869614010159852,,
