easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
78600.0,98900.0,0.04,0.009,0.311,10867599.643,0.2645433728528812,0.7354566271471188,722289.5913596263,274.47309045931553
78695.0,98900.0,0.06,0.015,0.311,10847213.466,0.2643337404316438,0.7356662595683562,1034205.1760833691,365.0701735873881
78790.0,98900.0,0.05,0.011,0.311,10826739.518,0.264122546382772,0.735877453617228,496322.0252133418,293.2837687535613
78884.0,98900.0,0.04,0.005,0.311,10806179.863,0.26390982010759384,0.7360901798924062,547016.07045896,266.0042213420019
78979.0,98900.0,0.02,0.002,0.311,10785536.562,0.2636955907690261,0.7363044092309738,818176.9055356934,284.775805193019
79074.0,98900.0,0.06,0.012,0.311,10764811.67,0.2634798872858787,0.7365201127141213,759945.1858261242,296.3355644941085
79169.0,98900.0,0.06,0.015,0.312,10744007.242,0.2632627383271986,0.7367372616728014,360779.52656375954,295.15150537006514
79263.0,98900.0,0.04,0.007,0.312,10723125.328,0.263044172307105,0.736955827692895,828767.6722195907,329.04580256488754
79358.0,98900.0,0.05,0.009,0.312,10702167.975,0.2628242173794961,0.7371757826205039,462247.47239141795,396.9468075632995
79453.0,98900.0,0.07,0.018,0.312,10681137.227,0.26260290143312615,0.7373970985668739,536557.910917053,247.21382268279822
79548.0,98900.0,0.07,0.018,0.312,10681137.227,0.26260290143312615,0.7373970985668739,491633.56559896946,291.08047336760285
79642.0,98900.0,0.05,0.011,0.312,10660035.125,0.2623802520867837,0.7376197479132163,874184.8105054988,264.109828520082
79737.0,98900.0,0.06,0.017,0.312,10638863.705,0.2621562966845817,0.7378437033154184,1911396.86298117,322.8200616367013
79832.0,98900.0,0.04,0.005,0.312,10617625.002,0.261931062291605,0.738068937708395,1833475.6056843316,226.4834605569842
79927.0,98900.0,0.04,0.007,0.312,10596321.047,0.261704575689488,0.738295424310512,1183187.6119636025,253.1789083016448
80022.0,98900.0,0.03,0.003,0.312,10574953.866,0.26147686337232123,0.7385231366276788,970541.508513305,271.68961273163507
80116.0,98900.0,0.04,0.007,0.312,10553525.484,0.26124795154255814,0.7387520484574419,945211.7614976515,300.5975208884675
80211.0,98900.0,0.02,0.001,0.312,10532037.922,0.26101786610737404,0.7389821338926259,951836.0838581505,329.9014474555875
80306.0,98900.0,0.06,0.014,0.312,10510493.197,0.2607866326748304,0.7392133673251696,901604.0108274936,322.26435632635037
80401.0,98900.0,0.07,0.024,0.312,10488893.323,0.26055427655045965,0.7394457234495404,774381.9296485605,300.577633444607
80495.0,98900.0,0.02,0.002,0.313,10467240.311,0.2603208227341243,0.7396791772658757,646151.9888464549,329.27223790628085
80590.0,98900.0,0.04,0.004,0.313,10445536.169,0.2600862959163406,0.7399137040836594,1373191.9388533293,303.6142176420134
80685.0,98900.0,0.04,0.007,0.313,10423782.903,0.2598507204759144,0.7401492795240856,1071490.5011588836,391.0969203974373
80780.0,98900.0,0.05,0.01,0.313,10401982.512,0.2596141204766136,0.7403858795233864,1003429.2168851452,271.77497924290236
80874.0,98900.0,0.05,0.01,0.313,10380136.995,0.259376519664826,0.740623480335174,717606.9455435895,348.37136729269474
80969.0,98900.0,0.02,0.001,0.313,10358248.349,0.25913794146690106,0.7408620585330989,1222096.8708563948,230.69095703759143
81064.0,98900.0,0.04,0.006,0.313,10336318.563,0.2588984089869268,0.7411015910130732,589112.933932269,358.7773199522574
81159.0,98900.0,0.05,0.006,0.313,10314349.628,0.25865794500473044,0.7413420549952696,969525.8442317871,309.27387995074974
81253.0,98900.0,0.03,0.004,0.313,10292343.529,0.25841657197354123,0.7415834280264588,452593.6713797656,310.86310888730895
81348.0,98900.0,0.03,0.004,0.313,10292343.529,0.25841657197354123,0.7415834280264588,520395.6428713988,293.8405414967198
81443.0,98900.0,0.04,0.004,0.313,10270302.249,0.258174312018742,0.7418256879812579,1338761.723584783,323.4528954677021
81538.0,98900.0,0.04,0.005,0.313,10248227.768,0.2579311869358806,0.7420688130641194,1117842.824901259,276.8194462064282
