easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
70900.0,82000.0,0.05,0.011,0.344,10405660.516,0.16734218002777343,0.8326578199722265,722576.7587093376,344.94629813608867
70916.0,82000.0,0.05,0.011,0.344,10405660.516,0.16734218002777343,0.8326578199722265,,
70933.0,82000.0,0.05,0.011,0.344,10405660.516,0.16734218002777343,0.8326578199722265,608848.3631703311,297.27333474296904
70949.0,82000.0,0.05,0.011,0.344,10405660.516,0.16734218002777343,0.8326578199722265,,
70965.0,82000.0,0.04,0.007,0.344,10409899.44,0.16728824658613786,0.8327117534138622,1626122.738267173,267.8759805469505
70982.0,82000.0,0.04,0.007,0.344,10409899.44,0.16728824658613786,0.8327117534138622,,
70998.0,82000.0,0.04,0.007,0.344,10409899.44,0.16728824658613786,0.8327117534138622,819121.0872888925,325.20933652483257
71015.0,82000.0,0.04,0.007,0.344,10409899.44,0.16728824658613786,0.8327117534138622,,
71031.0,82000.0,0.04,0.007,0.344,10409899.44,0.16728824658613786,0.8327117534138622,689444.0863776236,292.1053037151778
71047.0,82000.0,0.04,0.007,0.344,10409899.44,0.16728824658613786,0.8327117534138622,,
71064.0,82000.0,0.06,0.014,0.344,10413932.179,0.16722451410407785,0.8327754858959222,1050316.442758432,224.46610822045142
71080.0,82000.0,0.06,0.014,0.344,10413932.179,0.16722451410407785,0.8327754858959222,,
71096.0,82000.0,0.06,0.014,0.344,10413932.179,0.16722451410407785,0.8327754858959222,1079199.661021558,295.0363624269732
71113.0,82000.0,0.06,0.014,0.344,10413932.179,0.16722451410407785,0.8327754858959222,,
71129.0,82000.0,0.06,0.014,0.344,10413932.179,0.16722451410407785,0.8327754858959222,720196.0885631717,334.03352411795885
71146.0,82000.0,0.06,0.014,0.344,10413932.179,0.16722451410407785,0.8327754858959222,,
71162.0,82000.0,0.05,0.01,0.344,10417758.909,0.16715100764700158,0.8328489923529985,622069.5330862857,296.1124571444097
71178.0,82000.0,0.05,0.01,0.344,10417758.909,0.16715100764700158,0.8328489923529985,,
71195.0,82000.0,0.05,0.01,0.344,10417758.909,0.16715100764700158,0.8328489923529985,824515.0424259359,245.68014753487162
71211.0,82000.0,0.05,0.01,0.344,10417758.909,0.16715100764700158,0.8328489923529985,,
71227.0,82000.0,0.05,0.01,0.344,10417758.909,0.16715100764700158,0.8328489923529985,1321456.9779774267,299.51860291535525
71244.0,82000.0,0.05,0.01,0.344,10417758.909,0.16715100764700158,0.8328489923529985,,
71260.0,82000.0,0.04,0.005,0.344,10421379.87,0.167067754648364,0.832932245351636,1837163.741614881,313.76981580891294
71277.0,82000.0,0.04,0.005,0.344,10421379.87,0.167067754648364,0.832932245351636,,
71293.0,82000.0,0.04,0.005,0.344,10421379.87,0.167067754648364,0.832932245351636,907767.707538772,272.81164103659125
71309.0,82000.0,0.04,0.005,0.344,10421379.87,0.167067754648364,0.832932245351636,,
71326.0,82000.0,0.04,0.005,0.344,10421379.87,0.167067754648364,0.832932245351636,844298.4428158134,366.41479137092614
71342.0,82000.0,0.04,0.005,0.344,10421379.87,0.167067754648364,0.832932245351636,,
71358.0,82000.0,0.06,0.012,0.344,10424795.356,0.16697478488686177,0.8330252151131382,770464.0266193665,264.3954642778336
71375.0,82000.0,0.06,0.012,0.344,10424795.356,0.16697478488686177,0.8330252151131382,,
71391.0,82000.0,0.06,0.012,0.344,10424795.356,0.16697478488686177,0.8330252151131382,945625.2574347169,261.7103102857191
71407.0,82000.0,0.06,0.012,0.344,10424795.356,0.16697478488686177,0.8330252151131382,,
71424.0,82000.0,0.06,0.012,0.344,10424795.356,0.16697478488686177,0.8330252151131382,985183.2928902468,400.790764547319
71440.0,82000.0,0.06,0.012,0.344,10424795.356,0.16697478488686177,0.8330252151131382,,
71457.0,82000.0,0.05,0.01,0.344,10428005.723,0.16687213046133367,0.8331278695386664,467197.43935176753,288.39923774818277
71473.0,82000.0,0.05,0.01,0.344,10428005.723,0.16687213046133367,0.8331278695386664,,
71489.0,82000.0,0.05,0.01,0.344,10428005.723,0.16687213046133367,0.8331278695386664,387775.82265483186,285.9885270257019
71506.0,82000.0,0.05,0.01,0.344,10428005.723,0.16687213046133367,0.8331278695386664,,
71522.0,82000.0,0.05,0.01,0.344,10428005.723,0.16687213046133367,0.8331278695386664,670092.7222251359,396.73751559381446
