easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
64100.0,47800.0,0.06,0.013,0.324,13098480.492,0.20111212521201063,0.7988878747879894,814115.1294775971,294.4687730128618
64161.0,47800.0,0.08,0.023,0.324,13105185.452,0.20154169936644148,0.7984583006335585,,
64222.0,47800.0,0.08,0.023,0.324,13105185.452,0.20154169936644148,0.7984583006335585,431584.25266701326,355.7136973079839
64283.0,47800.0,0.03,0.004,0.324,13111893.138,0.2019748346638103,0.7980251653361897,,
64344.0,47800.0,0.03,0.004,0.324,13111893.138,0.2019748346638103,0.7980251653361897,447648.99230476894,310.86688964210583
64405.0,47800.0,0.07,0.019,0.324,13118600.571,0.20241151276790378,0.7975884872320962,,
64466.0,47800.0,0.08,0.023,0.324,13125304.684,0.20285171440149402,0.7971482855985059,1432586.1260972908,321.6392815226193
64527.0,47800.0,0.08,0.023,0.324,13125304.684,0.20285171440149402,0.7971482855985059,,
64588.0,47800.0,0.07,0.022,0.324,13132002.318,0.20329541931868075,0.7967045806813192,1612692.430358396,208.42664395162134
64649.0,47800.0,0.07,0.022,0.324,13132002.318,0.20329541931868075,0.7967045806813192,,
64710.0,47800.0,0.07,0.02,0.324,13138690.218,0.2037426062759982,0.7962573937240018,1261485.7038620375,200.92331856441655
64771.0,47800.0,0.07,0.02,0.324,13145365.029,0.2041932530021024,0.7958067469978976,,
64832.0,47800.0,0.07,0.02,0.324,13145365.029,0.2041932530021024,0.7958067469978976,628868.4750513291,314.5353616274368
64894.0,47800.0,0.08,0.027,0.324,13152023.295,0.204647336166113,0.795352663833887,,
64955.0,47800.0,0.08,0.021,0.324,13158661.455,0.20510483134452168,0.7948951686554784,718934.4420271339,338.5648848730736
65016.0,47800.0,0.08,0.021,0.324,13158661.455,0.20510483134452168,0.7948951686554784,,
65077.0,47800.0,0.09,0.039,0.324,13165275.839,0.20556571298651713,0.7944342870134828,660772.7134345035,372.93019832323216
65138.0,47800.0,0.09,0.039,0.324,13165275.839,0.20556571298651713,0.7944342870134828,,
65199.0,47800.0,0.08,0.024,0.324,13171862.664,0.20602995437776342,0.7939700456222366,661982.3620547593,248.67236606366748
65260.0,47800.0,0.08,0.023,0.324,13178418.032,0.20649752760247891,0.793502472397521,,
65321.0,47800.0,0.08,0.023,0.324,13178418.032,0.20649752760247891,0.793502472397521,595839.5361484633,272.90229925755267
65382.0,47800.0,0.05,0.009,0.324,13184937.924,0.20696840350389123,0.7930315964961088,,
65443.0,47800.0,0.05,0.009,0.324,13184937.924,0.20696840350389123,0.7930315964961088,807133.944620778,269.0647082575551
65504.0,47800.0,0.09,0.03,0.324,13191418.197,0.20744255164280015,0.7925574483571999,,
65565.0,47800.0,0.09,0.035,0.324,13197854.579,0.20791994025443167,0.7920800597455684,556459.5697480586,208.1817365818236
65626.0,47800.0,0.09,0.035,0.324,13197854.579,0.20791994025443167,0.7920800597455684,,
65687.0,47800.0,0.04,0.005,0.324,13204242.666,0.2084005362033887,0.7915994637966113,46391.25617257473,394.5711292327838
65748.0,47800.0,0.04,0.005,0.324,13204242.666,0.2084005362033887,0.7915994637966113,,
65809.0,47800.0,0.08,0.026,0.324,13210577.914,0.20888430493666693,0.7911156950633331,1271977.5207499722,286.65912968843503
65870.0,47800.0,0.07,0.023,0.324,13216855.636,0.20937121043483842,0.7906287895651616,,
65931.0,47800.0,0.07,0.023,0.324,13216855.636,0.20937121043483842,0.7906287895651616,427125.5940898658,313.1240623952027
65992.0,47800.0,0.07,0.019,0.324,13223070.999,0.20986121516115613,0.7901387848388439,,
66053.0,47800.0,0.08,0.022,0.324,13229219.015,0.21035428000897138,0.7896457199910286,1194015.2535800145,282.61894026738963
