easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
28200.0,97900.0,0.01,0.0,0.332,9547946.49,0.19853968050485274,0.8014603194951473,543292.4567193658,353.5146745700081
28294.0,97900.0,0.0,0.0,0.332,9527374.768,0.19838367641936147,0.8016163235806385,,
28388.0,97900.0,0.01,0.0,0.332,9507090.559,0.19822919398045324,0.8017708060195468,783954.0947266485,344.1488198938859
28482.0,97900.0,0.0,0.0,0.331,9487095.795,0.19807624270446966,0.8019237572955303,,
28576.0,97900.0,0.03,0.004,0.331,9467392.33,0.19792483218493784,0.8020751678150622,320806.11270107026,306.5024679982407
28669.0,97900.0,0.03,0.002,0.331,9447981.936,0.1977749720952747,0.8022250279047253,,
28763.0,97900.0,0.02,0.002,0.331,9428866.309,0.19762667219113475,0.8023733278088653,660337.5860113445,396.5458386271732
28857.0,97900.0,0.02,0.001,0.331,9410047.059,0.1974799423129534,0.8025200576870466,,
28951.0,97900.0,0.03,0.003,0.331,9391525.713,0.19733479238772655,0.8026652076122734,836606.1271820146,289.1614654714493
29045.0,97900.0,0.03,0.003,0.331,9391525.713,0.19733479238772655,0.8026652076122734,,
29139.0,97900.0,0.0,0.0,0.331,9373303.712,0.19719123243126457,0.8028087675687354,970541.4151870194,247.85632275465036
29233.0,97900.0,0.04,0.008,0.331,9355382.408,0.19704927254967003,0.80295072745033,,
29327.0,97900.0,0.01,0.0,0.33,9337763.067,0.19690892294085136,0.8030910770591486,1778562.8903746507,266.4225282203928
29420.0,97900.0,0.03,0.003,0.33,9320446.863,0.19677019389576952,0.8032298061042304,,
29514.0,97900.0,0.02,0.001,0.33,9303434.879,0.19663309579948673,0.8033669042005133,988133.9311016332,212.73534189532398
29608.0,97900.0,0.02,0.001,0.33,9286728.106,0.19649763913164797,0.803502360868352,,
29702.0,97900.0,0.01,0.001,0.33,9270327.445,0.19636383446728117,0.8036361655327189,330830.8738708297,375.0159204313171
29796.0,97900.0,0.02,0.001,0.33,9254233.698,0.1962316924767073,0.8037683075232926,,
29890.0,97900.0,0.01,0.0,0.33,9238447.577,0.19610122392555218,0.8038987760744478,706231.142653828,263.9377414577397
29984.0,97900.0,0.04,0.007,0.329,9222969.699,0.19597243967435626,0.8040275603256437,,
30078.0,97900.0,0.02,0.001,0.329,9207800.585,0.1958453506779076,0.8041546493220924,920226.4282982062,368.3465372432205
30171.0,97900.0,0.02,0.002,0.329,9192940.663,0.195719967984341,0.804280032015659,,
