easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
49900.0,29600.0,0.05,0.008,0.325,11284800.514,0.1811852856951386,0.8188147143048614,,
49991.0,29600.0,0.06,0.011,0.325,11285238.321,0.18087640804173333,0.8191235919582667,,
50083.0,29600.0,0.08,0.021,0.325,11285440.768,0.18055652620305893,0.819443473796941,,
50174.0,29600.0,0.07,0.017,0.325,11285409.841,0.18022591512880073,0.8197740848711993,,
50266.0,29600.0,0.08,0.022,0.325,11285150.754,0.17988527769895069,0.8201147223010493,,
50357.0,29600.0,0.08,0.023,0.326,11284670.012,0.1795354867695836,0.8204645132304164,,
50449.0,29600.0,0.08,0.023,0.326,11284670.012,0.1795354867695836,0.8204645132304164,,
50540.0,29600.0,0.06,0.014,0.326,11283974.005,0.17917739819699333,0.8208226018030067,,
50632.0,29600.0,0.08,0.027,0.326,11283068.435,0.17881177470074253,0.8211882252992575,,
50723.0,29600.0,0.08,0.028,0.326,11281958.23,0.1784392740891101,0.8215607259108899,,
50815.0,29600.0,0.11,0.066,0.326,11280647.633,0.17806046104007592,0.8219395389599241,,
50906.0,29600.0,0.08,0.017,0.326,11279140.322,0.17767582359594958,0.8223241764040504,,
50997.0,29600.0,0.08,0.025,0.326,11277439.527,0.17728578809736226,0.8227142119026377,,
51089.0,29600.0,0.09,0.035,0.326,11275548.116,0.17689073121449292,0.823109268785507,,
51180.0,29600.0,0.08,0.022,0.326,11273468.668,0.17649098928040916,0.8235090107195908,,
51272.0,29600.0,0.08,0.025,0.326,11271203.526,0.17608686547191835,0.8239131345280817,,
51363.0,29600.0,0.1,0.046,0.326,11268754.839,0.17567863535853914,0.8243213646414609,,
51455.0,29600.0,0.07,0.023,0.326,11266124.593,0.17526655123284418,0.8247334487671558,,
51546.0,29600.0,0.07,0.023,0.326,11266124.593,0.17526655123284418,0.8247334487671558,,
51638.0,29600.0,0.09,0.033,0.326,11263314.641,0.1748508455307157,0.8251491544692843,,
51729.0,29600.0,0.09,0.031,0.327,11260326.717,0.17443173356693964,0.8255682664330604,,
51821.0,29600.0,0.06,0.014,0.327,11257162.457,0.17400941575054318,0.8259905842494568,,
51912.0,29600.0,0.08,0.027,0.327,11253823.413,0.17358407939989243,0.8264159206001076,,
52003.0,29600.0,0.1,0.049,0.327,11250311.063,0.17315590024651428,0.8268440997534857,,
52095.0,29600.0,0.07,0.017,0.327,11246626.818,0.1727250436935124,0.8272749563064876,,
52186.0,29600.0,0.07,0.02,0.327,11242772.036,0.17229166587895106,0.8277083341210489,,
52278.0,29600.0,0.07,0.02,0.327,11238748.022,0.1718559145819683,0.8281440854180318,,
52369.0,29600.0,0.07,0.02,0.327,11234556.039,0.17141793000110134,0.8285820699988986,,
52461.0,29600.0,0.07,0.025,0.327,11230197.31,0.17097784542793995,0.8290221545720601,,
52552.0,29600.0,0.1,0.051,0.327,11225673.024,0.17053578783395407,0.8294642121660459,,
52644.0,29600.0,0.1,0.051,0.327,11225673.024,0.17053578783395407,0.8294642121660459,,
52735.0,29600.0,0.04,0.007,0.327,11220984.339,0.17009187838507042,0.8299081216149296,,
52827.0,29600.0,0.09,0.041,0.327,11216132.387,0.16964623289530678,0.8303537671046932,,
52918.0,29600.0,0.08,0.029,0.327,11211118.274,0.1691989622291287,0.8308010377708713,,
53010.0,29600.0,0.08,0.022,0.328,11205943.084,0.1687501726598863,0.8312498273401137,,
53101.0,29600.0,0.07,0.022,0.328,11200607.883,0.1682999661906955,0.8317000338093045,,
53192.0,29600.0,0.06,0.016,0.328,11195113.72,0.16784844084308878,0.8321515591569112,,
53284.0,29600.0,0.08,0.023,0.328,11189461.629,0.1673956909174514,0.8326043090825486,,
53375.0,29600.0,0.08,0.017,0.328,11183652.629,0.16694180722934646,0.8330581927706535,,
53467.0,29600.0,0.09,0.029,0.328,11177687.728,0.16648687732424675,0.8335131226757533,,
53558.0,29600.0,0.1,0.051,0.328,11171567.924,0.1660309856737831,0.8339690143262168,,
53650.0,29600.0,0.1,0.051,0.328,11171567.924,0.1660309856737831,0.8339690143262168,,
53741.0,29600.0,0.09,0.034,0.328,11165294.205,0.165574213855386,0.834425786144614,,
53833.0,29600.0,0.1,0.042,0.328,11158867.553,0.1651166407174135,0.8348833592825865,,
53924.0,29600.0,0.06,0.016,0.328,11152288.942,0.1646583425311998,0.8353416574688002,,
54016.0,29600.0,0.08,0.03,0.328,11145559.339,0.16419939313177917,0.8358006068682209,,
54107.0,29600.0,0.08,0.02,0.328,11138679.708,0.16373986404805896,0.836260135951941,,
54198.0,29600.0,0.08,0.022,0.328,11131651.01,0.16327982462400306,0.836720175375997,,
54290.0,29600.0,0.1,0.039,0.328,11124474.201,0.16281934213136717,0.8371806578686328,,
54381.0,29600.0,0.08,0.034,0.328,11117150.235,0.16235848187495674,0.8376415181250433,285018.5530445254,308.3707775702262
54473.0,29600.0,0.08,0.035,0.329,11109680.066,0.16189730729130583,0.8381026927086942,,
54564.0,29600.0,0.07,0.021,0.329,11102064.646,0.16143588004100623,0.8385641199589937,,
54656.0,29600.0,0.07,0.019,0.329,11094304.926,0.16097426009576293,0.8390257399042371,,
54747.0,29600.0,0.07,0.019,0.329,11094304.926,0.16097426009576293,0.8390257399042371,,
54839.0,29600.0,0.07,0.016,0.329,11086401.858,0.1605125058201908,0.8394874941798092,,
54930.0,29600.0,0.09,0.032,0.329,11078356.397,0.16005067404920045,0.8399493259507995,,
55022.0,29600.0,0.09,0.029,0.329,11070169.497,0.15958882016113501,0.8404111798388649,,
55113.0,29600.0,0.07,0.023,0.329,11061842.115,0.15912699814709177,0.8408730018529083,,
55204.0,29600.0,0.1,0.036,0.329,11053375.209,0.15866526067674844,0.8413347393232515,,
55296.0,29600.0,0.07,0.025,0.329,11044769.743,0.15820365916108187,0.8417963408389182,,
55387.0,29600.0,0.08,0.025,0.329,11036026.681,0.15774224381201765,0.8422577561879824,,
55479.0,29600.0,0.1,0.039,0.329,11027146.994,0.15728106369951694,0.842718936300483,,
55570.0,29600.0,0.1,0.037,0.329,11018131.654,0.15682016680605618,0.8431798331939439,,
55662.0,29600.0,0.06,0.017,0.329,11008981.641,0.1563596000789739,0.8436403999210261,,
55753.0,29600.0,0.08,0.034,0.329,10999697.938,0.1558994094805768,0.8441005905194232,,
55845.0,29600.0,0.08,0.034,0.329,10999697.938,0.1558994094805768,0.8441005905194232,,
55936.0,29600.0,0.06,0.015,0.329,10990281.533,0.15543964003642152,0.8445603599635785,,
56028.0,29600.0,0.08,0.026,0.33,10980733.421,0.1549803358817489,0.8450196641182511,,
56119.0,29600.0,0.06,0.012,0.33,10971054.602,0.15452154030625104,0.845478459693749,,
56210.0,29600.0,0.07,0.02,0.33,10961246.084,0.15406329579742453,0.8459367042025755,,
56302.0,29600.0,0.06,0.013,0.33,10951308.881,0.1536056440823373,0.8463943559176628,,
56393.0,29600.0,0.07,0.016,0.33,10941244.013,0.15314862616826974,0.8468513738317303,,
56485.0,29600.0,0.05,0.013,0.33,10931052.508,0.15269228238205362,0.8473077176179464,,
