easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
49400.0,75400.0,0.04,0.006,0.323,6555407.522,0.0,1.0,697232.7950876468,272.5031720476758
49478.0,75400.0,0.05,0.01,0.323,6550909.4,0.0,1.0,,
49556.0,75400.0,0.02,0.002,0.323,6546834.11,0.0,1.0,878231.75131975,304.43456905308466
49635.0,75400.0,0.02,0.002,0.323,6546834.11,0.0,1.0,,
49713.0,75400.0,0.04,0.005,0.323,6543182.337,0.0,1.0,1165355.89757093,342.5628665441748
49791.0,75400.0,0.04,0.006,0.324,6539954.494,0.0,1.0,,
49869.0,75400.0,0.06,0.009,0.324,6537150.719,0.0,1.0,1337229.981820004,194.83335417184645
49947.0,75400.0,0.06,0.009,0.324,6537150.719,0.0,1.0,,
50025.0,75400.0,0.03,0.002,0.324,6534770.874,0.0,1.0,1105911.5330673559,372.91908283800785
50104.0,75400.0,0.06,0.01,0.324,6532814.543,0.0,1.0,,
50182.0,75400.0,0.05,0.008,0.325,6531281.033,0.0,1.0,235720.5365604534,372.93670370194775
50260.0,75400.0,0.05,0.009,0.325,6530169.372,0.0,1.0,,
50338.0,75400.0,0.05,0.009,0.325,6530169.372,0.0,1.0,568341.5623448419,325.15101708807686
50416.0,75400.0,0.06,0.016,0.325,6529478.311,0.0,1.0,,
50495.0,75400.0,0.06,0.011,0.325,6529206.329,0.0,1.0,485776.7552678378,282.9063073759758
50573.0,75400.0,0.04,0.007,0.325,6529351.634,0.0,1.0,,
50651.0,75400.0,0.04,0.006,0.326,6529912.169,0.0,1.0,980083.6011202384,295.3533332043931
50729.0,75400.0,0.04,0.006,0.326,6529912.169,0.0,1.0,,
50807.0,75400.0,0.05,0.016,0.326,6530885.614,0.00020607782426258905,0.9997939221757374,426051.7240882123,353.89040902169563
50885.0,75400.0,0.02,0.001,0.326,6532269.396,0.000835041270594109,0.9991649587294059,,
50964.0,75400.0,0.03,0.003,0.326,6534060.696,0.0014755189177212006,0.9985244810822788,329942.5151130413,347.2808898436598
51042.0,75400.0,0.03,0.003,0.326,6534060.696,0.0014755189177212006,0.9985244810822788,,
51120.0,75400.0,0.05,0.009,0.327,6536256.452,0.002127411035706374,0.9978725889642936,2034529.006127332,277.94037591479446
51198.0,75400.0,0.02,0.002,0.327,6538853.37,0.0027906111611591547,0.9972093888388408,,
51276.0,75400.0,0.05,0.012,0.327,6541847.934,0.003465006336555769,0.9965349936634442,852365.6164396325,318.4216566984723
51355.0,75400.0,0.03,0.003,0.327,6545236.412,0.004150477363441449,0.9958495226365586,,
