easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
75900.0,45100.0,0.05,0.012,0.333,12495057.308,0.2605622556470961,0.7394377443529039,785154.5929352187,271.7011303379589
75986.0,45100.0,0.07,0.018,0.333,12484396.488,0.2613039908723493,0.7386960091276507,,
76072.0,45100.0,0.06,0.015,0.333,12473687.59,0.2620488458761684,0.7379511541238316,605153.3709877558,405.35094729943285
76157.0,45100.0,0.07,0.023,0.334,12462932.378,0.2627967923756222,0.7372032076243777,,
76243.0,45100.0,0.07,0.023,0.334,12462932.378,0.2627967923756222,0.7372032076243777,418537.7043984598,345.72086971419424
76329.0,45100.0,0.07,0.02,0.334,12452132.564,0.2635478009202166,0.7364521990797834,,
76415.0,45100.0,0.08,0.028,0.334,12441289.808,0.2643018408935244,0.7356981591064756,758729.1806374121,245.5172872701828
76500.0,45100.0,0.1,0.04,0.334,12430405.721,0.26505888051483995,0.73494111948516,,
76586.0,45100.0,0.11,0.044,0.334,12419481.862,0.2658188868406912,0.7341811131593088,472797.4468478867,382.4250852746217
76672.0,45100.0,0.07,0.015,0.334,12408519.74,0.2665818257664266,0.7334181742335735,,
76758.0,45100.0,0.07,0.025,0.335,12397520.82,0.2673476620274874,0.7326523379725126,647393.5992103498,371.4494666030354
76843.0,45100.0,0.07,0.025,0.335,12397520.82,0.2673476620274874,0.7326523379725126,,
76929.0,45100.0,0.09,0.028,0.335,12386486.513,0.2681163592006125,0.7318836407993875,247190.82483156899,300.55850340371114
77015.0,45100.0,0.06,0.013,0.335,12375418.19,0.26888787970477324,0.7311121202952268,,
77101.0,45100.0,0.07,0.02,0.335,12364317.173,0.269662184801823,0.730337815198177,213019.5764004056,299.9201249103037
77187.0,45100.0,0.06,0.018,0.335,12353184.738,0.270439234596831,0.729560765403169,,
77272.0,45100.0,0.06,0.014,0.335,12342022.122,0.2712189880381084,0.7287810119618916,435794.4355662309,304.8200114491842
77358.0,45100.0,0.04,0.006,0.336,12330830.515,0.27200140291694785,0.7279985970830521,,
77444.0,45100.0,0.04,0.006,0.336,12330830.515,0.27200140291694785,0.7279985970830521,635329.061270291,284.06035867852944
77530.0,45100.0,0.07,0.017,0.336,12319611.069,0.27278643586668605,0.727213564133314,,
77615.0,45100.0,0.07,0.02,0.336,12308364.891,0.27357404236172544,0.7264259576382746,397215.47908591124,283.9723561453108
77701.0,45100.0,0.08,0.031,0.336,12297093.053,0.2743641767157609,0.725635823284239,,
77787.0,45100.0,0.08,0.026,0.336,12285796.586,0.2751567920797011,0.7248432079202989,460349.7719578427,264.99101119906413
77873.0,45100.0,0.07,0.021,0.336,12274476.482,0.2759518404391726,0.7240481595608275,,
77959.0,45100.0,0.06,0.017,0.337,12263133.7,0.27674927261124493,0.7232507273887551,1078519.7746734135,320.18239731155035
78044.0,45100.0,0.06,0.017,0.337,12263133.7,0.27674927261124493,0.7232507273887551,,
78130.0,45100.0,0.1,0.045,0.337,12251769.16,0.27754903824087035,0.7224509617591297,686840.6475431768,271.5548691951626
78216.0,45100.0,0.08,0.027,0.337,12240383.749,0.2783510857967037,0.7216489142032962,,
78302.0,45100.0,0.07,0.021,0.337,12228978.32,0.2791553625662672,0.7208446374337327,1076805.6209584111,276.7624177302056
78387.0,45100.0,0.06,0.015,0.337,12217553.694,0.279961814650601,0.720038185349399,,
78473.0,45100.0,0.07,0.02,0.337,12206110.658,0.28077038695830336,0.7192296130416966,633359.8666414296,391.47011485129497
78559.0,45100.0,0.08,0.03,0.337,12194649.972,0.28158102319905925,0.7184189768009408,,
78645.0,45100.0,0.08,0.03,0.337,12194649.972,0.28158102319905925,0.7184189768009408,650100.5680148954,225.29819054501775
78730.0,45100.0,0.06,0.016,0.338,12183172.362,0.28239366587630854,0.7176063341236915,,
78816.0,45100.0,0.07,0.021,0.338,12171678.53,0.2832082562795173,0.7167917437204827,734653.2981394349,324.3624946514418
78902.0,45100.0,0.06,0.014,0.338,12160169.145,0.28402473447569315,0.7159752655243068,,
78988.0,45100.0,0.06,0.013,0.338,12148644.852,0.2848430393002292,0.7151569606997707,467583.37129441136,366.77846241986396
79074.0,45100.0,0.06,0.013,0.338,12137106.271,0.28566310834719544,0.7143368916528046,,
79159.0,45100.0,0.08,0.026,0.338,12125553.994,0.2864848779587897,0.7135151220412104,1800238.4786869534,392.2435316655626
79245.0,45100.0,0.08,0.026,0.338,12125553.994,0.2864848779587897,0.7135151220412104,,
79331.0,45100.0,0.07,0.019,0.339,12113988.591,0.2873082832143285,0.7126917167856714,771689.8449243419,263.46372597239423
79417.0,45100.0,0.05,0.011,0.339,12102410.608,0.2881332579183015,0.7118667420816984,,
79502.0,45100.0,0.1,0.04,0.339,12090820.569,0.2889597345879127,0.7110402654120873,776478.3513572125,263.98589482030826
79588.0,45100.0,0.07,0.024,0.339,12079218.977,0.2897876444399447,0.7102123555600552,,
79674.0,45100.0,0.07,0.022,0.339,12067606.312,0.29061691737674034,0.7093830826232597,679320.5170811386,268.7797123814518
79760.0,45100.0,0.06,0.015,0.339,12055983.038,0.29144748197169934,0.7085525180283007,,
79846.0,45100.0,0.06,0.015,0.339,12055983.038,0.29144748197169934,0.7085525180283007,296633.93031643087,329.32431861525185
79931.0,45100.0,0.06,0.015,0.34,12044349.597,0.29227926545382893,0.7077207345461711,,
80017.0,45100.0,0.06,0.017,0.34,12032706.416,0.29311219369187363,0.7068878063081263,1382631.529638547,335.2787220503765
80103.0,45100.0,0.06,0.017,0.34,12021053.901,0.2939461911774145,0.7060538088225855,,
80189.0,45100.0,0.06,0.012,0.34,12009392.446,0.2947811810075442,0.7052188189924558,897052.2219183898,274.6547088571674
80274.0,45100.0,0.08,0.023,0.34,11997722.426,0.2956170848665574,0.7043829151334426,,
80360.0,45100.0,0.06,0.018,0.34,11986044.204,0.2964538230071779,0.7035461769928222,496955.1605448436,276.62136062211187
80446.0,45100.0,0.06,0.018,0.34,11986044.204,0.2964538230071779,0.7035461769928222,,
80532.0,45100.0,0.05,0.009,0.341,11974358.128,0.2972913142309279,0.7027086857690721,623950.7341481776,289.88960071158687
80617.0,45100.0,0.06,0.014,0.341,11962664.532,0.29812947586772054,0.7018705241322795,,
80703.0,45100.0,0.06,0.016,0.341,11950963.74,0.29896822375498466,0.7010317762450153,655391.610701009,352.99123114275073
80789.0,45100.0,0.08,0.031,0.341,11939256.063,0.29980747221585624,0.7001925277841438,,
80875.0,45100.0,0.07,0.021,0.341,11927541.801,0.300647134036745,0.6993528659632551,832487.0662590695,239.75147722003226
80961.0,45100.0,0.05,0.012,0.341,11915821.247,0.3014871204442872,0.6985128795557127,,
81046.0,45100.0,0.05,0.012,0.341,11915821.247,0.3014871204442872,0.6985128795557127,668895.1857348686,315.8753439876239
81132.0,45100.0,0.06,0.014,0.341,11904094.681,0.3023273410815275,0.6976726589184725,,
81218.0,45100.0,0.05,0.006,0.342,11892362.378,0.3031677039834567,0.6968322960165433,1130894.6356872937,325.1348982140374
81304.0,45100.0,0.06,0.012,0.342,11880624.603,0.30400811555193574,0.6959918844480643,,
81389.0,45100.0,0.03,0.004,0.342,11868881.616,0.3048484805298789,0.6951515194701211,515819.2993253066,307.7808003171714
81475.0,45100.0,0.07,0.019,0.342,11857133.669,0.30568870197498865,0.6943112980250113,,
81561.0,45100.0,0.06,0.012,0.342,11845381.011,0.30652868123269206,0.6934713187673079,722905.6006388239,255.0383097758072
81647.0,45100.0,0.06,0.012,0.342,11845381.011,0.30652868123269206,0.6934713187673079,,
81732.0,45100.0,0.08,0.024,0.342,11833623.884,0.3073683179085768,0.6926316820914231,1236488.4949054557,227.66106476943622
81818.0,45100.0,0.06,0.015,0.342,11821862.528,0.3082075098403631,0.6917924901596368,,
81904.0,45100.0,0.06,0.015,0.343,11810097.179,0.309046153069202,0.690953846930798,1273811.5146841418,278.4521590325033
81990.0,45100.0,0.07,0.019,0.343,11798328.071,0.3098841418105582,0.6901158581894418,,
82076.0,45100.0,0.08,0.023,0.343,11786555.435,0.31072136842463477,0.6892786315753652,427714.443713205,379.0038666744575
82161.0,45100.0,0.09,0.029,0.343,11774779.502,0.311557723386361,0.688442276613639,,
82247.0,45100.0,0.09,0.029,0.343,11774779.502,0.311557723386361,0.688442276613639,1292641.4983281307,277.79821793839824
82333.0,45100.0,0.06,0.013,0.343,11763000.503,0.3123930952550299,0.6876069047449701,,
82419.0,45100.0,0.06,0.017,0.343,11751218.668,0.313227370643565,0.686772629356435,368902.13900297345,239.52640281065374
82504.0,45100.0,0.06,0.017,0.344,11739434.229,0.31406043418768964,0.6859395658123104,,
82590.0,45100.0,0.06,0.012,0.344,11727647.42,0.3148921685145982,0.6851078314854018,444939.8018720248,239.95535919184636
82676.0,45100.0,0.04,0.006,0.344,11715858.475,0.3157224542117945,0.6842775457882055,,
