easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
79200.0,76600.0,0.04,0.008,0.343,9984551.93,0.10797786101905603,0.892022138980944,282181.8088396468,259.4648448242286
79291.0,76600.0,0.04,0.005,0.342,9985066.886,0.10713078920216061,0.8928692107978394,,
79383.0,76600.0,0.05,0.011,0.342,9985465.305,0.10627945172337423,0.8937205482766257,981929.7297203211,256.85102411730054
79474.0,76600.0,0.09,0.031,0.342,9985747.712,0.10542398915088624,0.8945760108491138,,
79566.0,76600.0,0.05,0.013,0.341,9985914.645,0.10456454283912577,0.8954354571608742,90789.78210489132,197.7949216698596
79657.0,76600.0,0.06,0.019,0.341,9985966.651,0.10370125494925228,0.8962987450507477,,
79749.0,76600.0,0.06,0.019,0.341,9985966.651,0.10370125494925228,0.8962987450507477,1401896.4060890954,288.70532158915745
79840.0,76600.0,0.06,0.011,0.341,9985904.284,0.10283426847008936,0.8971657315299106,,
79932.0,76600.0,0.05,0.008,0.34,9985728.106,0.10196372723906401,0.898036272760936,515065.21116047853,366.60923662077016
80023.0,76600.0,0.05,0.01,0.34,9985438.69,0.10108977596363235,0.8989102240363677,,
80115.0,76600.0,0.02,0.002,0.339,9985036.613,0.10021256024260854,0.8997874397573915,439387.50346693816,328.79294130056985
80206.0,76600.0,0.04,0.004,0.339,9984522.458,0.09933222658775781,0.9006677734122421,,
80298.0,76600.0,0.05,0.008,0.339,9983896.817,0.09844892244548119,0.9015510775545188,564990.4595203284,270.6204969647913
80389.0,76600.0,0.02,0.002,0.338,9983160.285,0.09756279621856959,0.9024372037814304,,
80481.0,76600.0,0.05,0.007,0.338,9982313.463,0.09667399728785694,0.903326002712143,344803.9349186087,379.5281804981647
80572.0,76600.0,0.05,0.008,0.338,9981356.958,0.09578267603428074,0.9042173239657193,,
80664.0,76600.0,0.03,0.003,0.337,9980291.377,0.094888983860282,0.905111016139718,720252.9259398102,321.04408262282425
80755.0,76600.0,0.05,0.012,0.337,9979117.335,0.09399307321175042,0.9060069267882496,,
80846.0,76600.0,0.05,0.012,0.337,9979117.335,0.09399307321175042,0.9060069267882496,744943.8181232254,323.40652947044924
80938.0,76600.0,0.06,0.014,0.337,9977835.446,0.0930950975994002,0.9069049024005998,,
81029.0,76600.0,0.05,0.009,0.336,9976446.331,0.0921952116202408,0.9078047883797592,258371.73814040745,271.5188912592532
81121.0,76600.0,0.04,0.008,0.336,9974950.608,0.09129357097879964,0.9087064290212004,,
81212.0,76600.0,0.05,0.005,0.335,9973348.899,0.09039033250795808,0.909609667492042,663278.3371940324,286.29366579896003
81304.0,76600.0,0.05,0.007,0.335,9971641.828,0.08948565418967554,0.9105143458103244,,
81395.0,76600.0,0.04,0.007,0.335,9969830.018,0.08857969517520912,0.9114203048247909,849490.1791110082,294.4480963010795
81487.0,76600.0,0.05,0.011,0.334,9967914.092,0.08767261580501538,0.9123273841949846,,
81578.0,76600.0,0.04,0.006,0.334,9965894.673,0.08676457762820004,0.9132354223718,455685.64634910185,366.59997156098643
81670.0,76600.0,0.02,0.001,0.334,9963772.383,0.08585574342127393,0.9141442565787261,,
81761.0,76600.0,0.04,0.006,0.333,9961547.843,0.08494627720651807,0.915053722793482,520851.0109656226,291.0950493045188
81853.0,76600.0,0.05,0.008,0.333,9959221.671,0.08403634426947451,0.9159636557305255,,
81944.0,76600.0,0.05,0.008,0.333,9959221.671,0.08403634426947451,0.9159636557305255,550469.2312423893,327.05062741306847
82036.0,76600.0,0.04,0.006,0.333,9956794.483,0.08312611117602078,0.9168738888239792,,
82127.0,76600.0,0.05,0.01,0.332,9954266.894,0.08221574578816376,0.9177842542118362,935027.2844654327,286.932835948427
82218.0,76600.0,0.04,0.005,0.332,9951639.513,0.08130541727927354,0.9186945827207265,,
82310.0,76600.0,0.02,0.002,0.331,9948912.948,0.08039529614829581,0.9196047038517042,878131.6128344669,338.97911878661876
82401.0,76600.0,0.08,0.025,0.331,9946087.801,0.07948555423269732,0.9205144457673027,,
82493.0,76600.0,0.06,0.013,0.331,9943164.671,0.07857636472046274,0.9214236352795373,239382.50693055388,327.16871682114385
82584.0,76600.0,0.05,0.007,0.33,9940144.15,0.07766790216054503,0.9223320978394549,,
82676.0,76600.0,0.04,0.006,0.33,9937026.827,0.07676034247218654,0.9232396575278135,327588.84896188835,199.23250907821745
82767.0,76600.0,0.06,0.013,0.33,9933813.284,0.07585386295260788,0.9241461370473921,,
82859.0,76600.0,0.06,0.014,0.329,9930504.096,0.07494864228309495,0.925051357716905,506149.99246043136,307.3492961142973
82950.0,76600.0,0.07,0.023,0.329,9927099.835,0.07404486053320501,0.925955139466795,,
83042.0,76600.0,0.07,0.023,0.329,9927099.835,0.07404486053320501,0.925955139466795,519175.52583201363,311.93454252623906
83133.0,76600.0,0.04,0.006,0.329,9923601.063,0.07314269916339551,0.9268573008366044,,
83225.0,76600.0,0.05,0.012,0.328,9920008.335,0.07224234102527996,0.9277576589747201,420050.91876555776,354.2586921750432
83316.0,76600.0,0.02,0.002,0.328,9916322.199,0.0713439703600416,0.9286560296399584,,
83408.0,76600.0,0.03,0.004,0.327,9912543.197,0.07044777279423559,0.9295522272057644,997439.3971030416,403.36184191827874
83499.0,76600.0,0.03,0.004,0.327,9908671.859,0.06955393533328696,0.930446064666713,,
83591.0,76600.0,0.05,0.009,0.327,9904708.711,0.06866264635241723,0.9313373536475827,805159.662235062,290.0853899570605
83682.0,76600.0,0.04,0.005,0.326,9900654.267,0.0677740955845068,0.9322259044154932,,
83773.0,76600.0,0.02,0.002,0.326,9896509.032,0.06688847410521712,0.9331115258947829,460667.85457952484,300.98374361261494
83865.0,76600.0,0.03,0.002,0.326,9892273.504,0.06600597431484814,0.9339940256851519,,
83956.0,76600.0,0.04,0.006,0.325,9887948.17,0.06512678991675662,0.9348732100832434,1039231.7411326392,308.9442712249091
84048.0,76600.0,0.04,0.006,0.325,9887948.17,0.06512678991675662,0.9348732100832434,,
84139.0,76600.0,0.07,0.018,0.325,9883533.508,0.06425111589239155,0.9357488841076085,570682.2743336741,334.9128835932991
84231.0,76600.0,0.03,0.003,0.325,9879029.984,0.06337914847232952,0.9366208515276705,,
84322.0,76600.0,0.02,0.002,0.324,9874438.058,0.0625110851036462,0.9374889148963538,513578.76479687623,313.281511463193
84414.0,76600.0,0.04,0.01,0.324,9869758.176,0.06164712441273503,0.938352875587265,,
84505.0,76600.0,0.03,0.002,0.324,9864990.775,0.0607874661640939,0.9392125338359061,676040.22263691,352.63461345677325
84597.0,76600.0,0.05,0.012,0.323,9860136.282,0.059932311214263304,0.9400676887857367,,
84688.0,76600.0,0.06,0.018,0.323,9855195.115,0.059081861461018216,0.9409181385389818,834779.3013954433,321.0520681996714
