easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
57400.0,52200.0,0.06,0.015,0.329,12211963.118,0.1618478273418447,0.8381521726581553,300144.867354861,352.9175299653037
57483.0,52200.0,0.08,0.033,0.329,12217426.781,0.16224776180826603,0.8377522381917339,,
57566.0,52200.0,0.06,0.013,0.329,12222999.576,0.16265105871501903,0.8373489412849809,767335.2602997283,253.14820951207037
57648.0,52200.0,0.06,0.013,0.329,12222999.576,0.16265105871501903,0.8373489412849809,,
57731.0,52200.0,0.06,0.015,0.329,12228681.222,0.16305770576131134,0.8369422942386886,488993.0893765444,256.98158945758973
57814.0,52200.0,0.06,0.012,0.329,12234471.396,0.16346768998106423,0.8365323100189358,,
57897.0,52200.0,0.07,0.019,0.329,12240369.733,0.16388099775687665,0.8361190022431233,674752.1333530719,336.0610166148428
57980.0,52200.0,0.07,0.022,0.329,12246375.828,0.16429761483364308,0.835702385166357,,
58062.0,52200.0,0.05,0.011,0.329,12252489.236,0.1647175263314973,0.8352824736685027,630581.6987615537,243.07849762780023
58145.0,52200.0,0.05,0.011,0.329,12252489.236,0.1647175263314973,0.8352824736685027,,
58228.0,52200.0,0.08,0.027,0.329,12258709.474,0.16514071675852687,0.8348592832414732,636565.6422260996,304.35766024664747
58311.0,52200.0,0.05,0.01,0.329,12265036.016,0.16556717002285384,0.8344328299771462,,
58394.0,52200.0,0.06,0.011,0.329,12271468.3,0.1659968694444476,0.8340031305555524,750325.5470843713,266.58525556465304
58476.0,52200.0,0.05,0.008,0.329,12278005.724,0.16642979776638855,0.8335702022336114,,
58559.0,52200.0,0.05,0.012,0.329,12284647.646,0.1668659371658137,0.8331340628341863,200157.86231855783,326.4353931142208
58642.0,52200.0,0.05,0.012,0.329,12284647.646,0.1668659371658137,0.8331340628341863,,
58725.0,52200.0,0.06,0.013,0.329,12291393.389,0.16730526926443803,0.832694730735562,818082.1217532038,360.60658261400584
58808.0,52200.0,0.05,0.01,0.329,12298242.233,0.16774777513867967,0.8322522248613203,,
58890.0,52200.0,0.07,0.018,0.329,12305193.425,0.16819343532939698,0.831806564670603,534850.1127766811,220.2644227399125
58973.0,52200.0,0.08,0.032,0.329,12312246.17,0.16864222985131108,0.831357770148689,,
59056.0,52200.0,0.05,0.01,0.329,12319399.637,0.1690941382019839,0.8309058617980161,632401.0219493308,164.36714101981462
59139.0,52200.0,0.05,0.01,0.329,12319399.637,0.1690941382019839,0.8309058617980161,,
59222.0,52200.0,0.06,0.012,0.329,12326652.958,0.16954913937047497,0.830450860629525,1090787.6319341573,385.7129025544818
