easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
81400.0,90600.0,0.02,0.002,0.324,10081051.696,0.1950598806278344,0.8049401193721656,656557.084124626,433.314259151243
81477.0,90600.0,0.06,0.013,0.324,10057620.871,0.19468419223268416,0.8053158077673158,,
81555.0,90600.0,0.06,0.012,0.324,10034151.853,0.19430869997243833,0.8056913000275616,,
81632.0,90600.0,0.06,0.012,0.324,10034151.853,0.19430869997243833,0.8056913000275616,,
81710.0,90600.0,0.03,0.004,0.324,10010646.255,0.19393345075213056,0.8060665492478695,,
81787.0,90600.0,0.02,0.001,0.324,9987105.694,0.1935584909219273,0.8064415090780727,314703.88871537667,254.11860381872262
81864.0,90600.0,0.04,0.005,0.324,9963531.797,0.19318386626293702,0.806816133737063,,
81942.0,90600.0,0.04,0.005,0.324,9963531.797,0.19318386626293702,0.806816133737063,,
82019.0,90600.0,0.04,0.006,0.324,9939926.194,0.19280962197301893,0.8071903780269811,,
82097.0,90600.0,0.03,0.003,0.324,9916290.524,0.19243580265183796,0.807564197348162,,
82174.0,90600.0,0.03,0.003,0.324,9892626.434,0.19206245228607982,0.8079375477139201,966442.4514589646,274.7307847905541
82251.0,90600.0,0.06,0.013,0.324,9868935.58,0.19168961423377487,0.8083103857662252,,
82329.0,90600.0,0.06,0.013,0.324,9868935.58,0.19168961423377487,0.8083103857662252,,
82406.0,90600.0,0.06,0.014,0.324,9845219.627,0.19131733120872327,0.8086826687912767,,
82484.0,90600.0,0.04,0.006,0.324,9821480.249,0.19094564526409474,0.8090543547359053,,
82561.0,90600.0,0.03,0.002,0.324,9797719.133,0.1905745977760544,0.8094254022239455,1004202.6353703081,241.59725817747017
82638.0,90600.0,0.03,0.002,0.324,9797719.133,0.1905745977760544,0.8094254022239455,,
82716.0,90600.0,0.04,0.005,0.324,9773937.976,0.19020422942660012,0.8097957705733999,,
82793.0,90600.0,0.06,0.011,0.324,9750138.486,0.18983458018621027,0.8101654198137898,,
82871.0,90600.0,0.05,0.009,0.324,9726322.388,0.18946568929602198,0.810534310703978,,
82948.0,90600.0,0.05,0.009,0.324,9726322.388,0.18946568929602198,0.810534310703978,341345.1455595812,322.3284181129526
83025.0,90600.0,0.04,0.006,0.324,9702491.415,0.1890975952494011,0.8109024047505989,,
83103.0,90600.0,0.03,0.004,0.324,9678647.319,0.18873033577324838,0.8112696642267516,,
83180.0,90600.0,0.05,0.011,0.324,9654791.864,0.18836394780852678,0.8116360521914732,,
83258.0,90600.0,0.04,0.004,0.324,9630926.833,0.18799846749046623,0.8120015325095338,,
83335.0,90600.0,0.04,0.004,0.324,9630926.833,0.18799846749046623,0.8120015325095338,889324.1328219785,258.7008854112983
83412.0,90600.0,0.04,0.008,0.324,9607054.024,0.1876339301281933,0.8123660698718067,,
83490.0,90600.0,0.05,0.01,0.324,9583175.252,0.1872703701837505,0.8127296298162495,,
83567.0,90600.0,0.02,0.002,0.324,9559292.352,0.1869078212502355,0.8130921787497645,,
83645.0,90600.0,0.02,0.002,0.324,9559292.352,0.1869078212502355,0.8130921787497645,,
83722.0,90600.0,0.03,0.002,0.324,9535407.178,0.18654631602987934,0.8134536839701206,596508.4136101863,397.1685075237279
83799.0,90600.0,0.05,0.01,0.324,9511521.605,0.18618588631075136,0.8138141136892486,,
83877.0,90600.0,0.03,0.003,0.324,9487637.529,0.1858265629431991,0.8141734370568009,,
83954.0,90600.0,0.06,0.018,0.324,9463756.867,0.18546837581543776,0.8145316241845623,,
84032.0,90600.0,0.06,0.018,0.324,9463756.867,0.18546837581543776,0.8145316241845623,,
84109.0,90600.0,0.05,0.012,0.324,9439881.562,0.18511135382799293,0.8148886461720071,58942.931832276205,328.6217515830047
84186.0,90600.0,0.06,0.009,0.324,9416013.581,0.1847555248677266,0.8152444751322734,,
84264.0,90600.0,0.04,0.006,0.324,9392154.915,0.18440091578059153,0.8155990842194085,,
84341.0,90600.0,0.04,0.006,0.324,9392154.915,0.18440091578059153,0.8155990842194085,,
84419.0,90600.0,0.05,0.012,0.324,9368307.584,0.1840475523434155,0.8159524476565845,,
84496.0,90600.0,0.02,0.002,0.324,9344473.635,0.18369545923486463,0.8163045407651354,900503.3914014838,346.7866103749676
84573.0,90600.0,0.04,0.007,0.324,9320655.145,0.1833446600046991,0.8166553399953009,,
84651.0,90600.0,0.05,0.011,0.324,9296854.222,0.18299517704247345,0.8170048229575265,,
84728.0,90600.0,0.05,0.011,0.324,9296854.222,0.18299517704247345,0.8170048229575265,,
