easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
33200.0,80500.0,0.0,0.0,0.312,8973240.741,0.04172973498854877,0.9582702650114512,856189.1144778193,309.91641718852435
33249.0,80500.0,0.0,0.0,0.312,8973240.741,0.04172973498854877,0.9582702650114512,,
33299.0,80500.0,0.02,0.001,0.312,8956432.595,0.04137842812446305,0.958621571875537,507134.54562210274,307.66740113399175
33348.0,80500.0,0.02,0.001,0.312,8956432.595,0.04137842812446305,0.958621571875537,,
33398.0,80500.0,0.01,0.001,0.311,8939646.553,0.04102959968976373,0.9589704003102363,1082533.3401498913,287.759175333616
33447.0,80500.0,0.01,0.001,0.311,8939646.553,0.04102959968976373,0.9589704003102363,,
33497.0,80500.0,0.02,0.001,0.311,8922883.328,0.040683269280410106,0.9593167307195899,1059129.8625605372,353.4594473832195
33546.0,80500.0,0.02,0.001,0.311,8922883.328,0.040683269280410106,0.9593167307195899,,
33596.0,80500.0,0.01,0.0,0.311,8906143.643,0.040339456636542106,0.9596605433634579,532840.747767935,243.595473673573
33645.0,80500.0,0.01,0.0,0.311,8906143.643,0.040339456636542106,0.9596605433634579,,
33695.0,80500.0,0.02,0.001,0.311,8889428.23,0.039998181648435514,0.9600018183515645,700866.471630567,277.9882035478673
33744.0,80500.0,0.02,0.001,0.311,8889428.23,0.039998181648435514,0.9600018183515645,,
33794.0,80500.0,0.02,0.001,0.311,8872737.835,0.03965946436237921,0.9603405356376208,607866.1407106743,271.45722203394337
33843.0,80500.0,0.02,0.001,0.311,8872737.835,0.03965946436237921,0.9603405356376208,,
33893.0,80500.0,0.02,0.001,0.311,8856073.212,0.03932332498665284,0.9606766750133472,934295.9443173234,333.300821121615
33942.0,80500.0,0.02,0.001,0.311,8856073.212,0.03932332498665284,0.9606766750133472,,
33992.0,80500.0,0.0,0.0,0.311,8839435.129,0.038989783897300935,0.9610102161026991,1490953.3435728706,329.3924302913504
34041.0,80500.0,0.0,0.0,0.311,8839435.129,0.038989783897300935,0.9610102161026991,,
34091.0,80500.0,0.03,0.003,0.311,8822824.364,0.038658861644114355,0.9613411383558856,1730870.843291729,301.050331740982
34140.0,80500.0,0.03,0.003,0.311,8822824.364,0.038658861644114355,0.9613411383558856,,
34189.0,80500.0,0.03,0.003,0.311,8806241.707,0.0383305789564531,0.9616694210435469,405402.4698633628,237.49491727328478
