easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min),name,cumulative production,well length (ft),frac stages,total proppant (lbs),total pump rate (cubic feet/min)
66100.0,22300.0,0.09,0.033,0.332,9440769.483,0.12474023137049045,0.8752597686295095,260036.41427856003,275.7375932852966,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
66199.0,22300.0,0.12,0.057,0.332,9429043.88,0.12497869067254284,0.8750213093274571,,,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
66297.0,22300.0,0.11,0.05,0.332,9417413.01,0.1252214466417757,0.8747785533582243,429740.7547869555,324.14503240185155,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
66396.0,22300.0,0.08,0.024,0.332,9405879.454,0.1254685455756158,0.8745314544243842,,,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
66495.0,22300.0,0.08,0.031,0.332,9394445.773,0.12572003343331015,0.8742799665666898,485657.8222292225,320.86848818969787,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
66593.0,22300.0,0.08,0.027999999999999997,0.332,9383114.504,0.1259759557648164,0.8740240442351837,,,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
66692.0,22300.0,0.09,0.032,0.332,9371888.161,0.12623635763764865,0.8737636423623514,662400.9195408403,269.04680566140325,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
66791.0,22300.0,0.08,0.03,0.332,9360769.231,0.1265012835616146,0.8734987164383854,,,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
66889.0,22300.0,0.1,0.040999999999999995,0.332,9349760.17,0.12677077741151332,0.8732292225884867,557836.75789971,274.75077709367275,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
66988.0,22300.0,0.1,0.044000000000000004,0.331,9338863.406,0.12704488234817654,0.8729551176518234,,,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
67087.0,22300.0,0.09,0.036000000000000004,0.331,9328081.332,0.12732364073778554,0.8726763592622144,580089.1308472237,249.12131560494961,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
67185.0,22300.0,0.1,0.045,0.331,9317416.305,0.12760709406976056,0.8723929059302394,,,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
67284.0,22300.0,0.09,0.03,0.331,9306870.642,0.1278952828734055,0.8721047171265945,983726.5893620972,298.5936183383897,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
67383.0,22300.0,0.08,0.023,0.331,9296446.624,0.1281882466334447,0.8718117533665553,,,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
67481.0,22300.0,0.07,0.017,0.331,9286146.484,0.12848602370484538,0.8715139762951546,914888.9360171469,314.27582612072325,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
67580.0,22300.0,0.1,0.031,0.331,9275972.412,0.12878865122689476,0.8712113487731052,,,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
67679.0,22300.0,0.1,0.034,0.331,9265926.551,0.12909616503714064,0.8709038349628593,560742.5436035611,303.39466125638086,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
67777.0,22300.0,0.09,0.027999999999999997,0.331,9256010.992,0.1294085995850493,0.8705914004149506,,,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
67876.0,22300.0,0.09,0.034,0.331,9246227.775,0.1297259878461095,0.8702740121538906,897016.5411437291,253.1924822860489,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
67975.0,22300.0,0.11,0.05,0.331,9236578.883,0.13004836123626987,0.8699516387637302,,,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
68073.0,22300.0,0.06,0.017,0.331,9227066.243999999,0.13037574952725306,0.8696242504727469,1356008.5990746592,239.85776794224583,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
68172.0,22300.0,0.09,0.04,0.331,9217691.725,0.13070818076301485,0.8692918192369852,,,Tarragon 4-119H,81324.0,9768.0,50.0,37468940.14632863,14418.108870350265
