easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
72900.0,5300.0,0.09,0.043,0.314,9446411.101,0.19212442002083283,0.8078755799791671,652732.5410590294,373.0603791440819
72973.0,5300.0,0.11,0.048,0.314,9432859.021,0.19261931556087644,0.8073806844391236,,
73045.0,5300.0,0.11,0.048,0.314,9432859.021,0.19261931556087644,0.8073806844391236,695175.6046227699,298.3979679855509
73118.0,5300.0,0.11,0.051,0.314,9419285.262,0.19310737931868469,0.8068926206813153,,
73191.0,5300.0,0.09,0.042,0.314,9405690.738,0.1935887289184069,0.8064112710815932,1343038.2781350724,278.96244555085195
73263.0,5300.0,0.11,0.055,0.314,9392076.359,0.19406348194483744,0.8059365180551625,,
73336.0,5300.0,0.11,0.055,0.314,9392076.359,0.19406348194483744,0.8059365180551625,687455.0052520303,220.30958162732372
73408.0,5300.0,0.08,0.027,0.314,9378443.031,0.194531755771338,0.805468244228662,,
73481.0,5300.0,0.12,0.052,0.314,9364791.649,0.19499366740108207,0.805006332598918,1004203.8058017219,330.6664819024392
73554.0,5300.0,0.08,0.032,0.314,9351123.105,0.19544933332111433,0.8045506666788856,,
73626.0,5300.0,0.08,0.032,0.314,9351123.105,0.19544933332111433,0.8045506666788856,679015.6963740896,335.90979969964684
73699.0,5300.0,0.1,0.048,0.314,9337438.281,0.19589886936852724,0.8041011306314727,,
73772.0,5300.0,0.09,0.041,0.314,9323738.049,0.19634239060888217,0.8036576093911179,691012.9841063402,320.24891499411467
73844.0,5300.0,0.09,0.041,0.314,9323738.049,0.19634239060888217,0.8036576093911179,,
73917.0,5300.0,0.09,0.028,0.314,9310023.273,0.19678001122552097,0.8032199887744791,815361.9728157541,292.5537322197339
73990.0,5300.0,0.07,0.02,0.314,9296294.807,0.1972118444199068,0.8027881555800932,,
74062.0,5300.0,0.08,0.024,0.314,9282553.492,0.19763800232203996,0.80236199767796,854887.2788739005,282.70020726901106
74135.0,5300.0,0.08,0.024,0.314,9282553.492,0.19763800232203996,0.80236199767796,,
74207.0,5300.0,0.07,0.022,0.314,9268800.16,0.19805859591038694,0.8019414040896131,793117.2700167124,287.0601850492157
74280.0,5300.0,0.1,0.038,0.314,9255035.632,0.19847373494097592,0.801526265059024,,
74353.0,5300.0,0.09,0.031,0.314,9241260.717,0.19888352788477465,0.8011164721152253,192914.93866904711,311.52392102646877
74425.0,5300.0,0.09,0.031,0.314,9241260.717,0.19888352788477465,0.8011164721152253,,
74498.0,5300.0,0.08,0.025,0.314,9227476.209,0.19928808187303357,0.8007119181269664,391859.26281660656,144.62548991665014
74571.0,5300.0,0.08,0.028,0.314,9213682.894,0.19968750264999743,0.8003124973500025,,
74643.0,5300.0,0.08,0.028,0.314,9213682.894,0.19968750264999743,0.8003124973500025,859715.2588985754,281.3688290896744
74716.0,5300.0,0.07,0.021,0.314,9199881.543,0.20008189453228545,0.7999181054677146,,
74789.0,5300.0,0.09,0.04,0.314,9186072.915,0.20047136037467195,0.799528639625328,1471633.6914035298,363.11269831061145
74861.0,5300.0,0.08,0.03,0.314,9172257.757,0.200856001541695,0.799143998458305,,
74934.0,5300.0,0.08,0.03,0.314,9172257.757,0.200856001541695,0.799143998458305,1498405.9278203424,363.74324755146404
75006.0,5300.0,0.08,0.031,0.314,9158436.803,0.20123591788447318,0.7987640821155269,,
75079.0,5300.0,0.09,0.042,0.314,9144610.774,0.20161120772259364,0.7983887922774063,594465.377082621,254.54627344457768
75152.0,5300.0,0.08,0.021,0.314,9130780.379,0.201981967830331,0.798018032169669,,
75224.0,5300.0,0.08,0.021,0.314,9130780.379,0.201981967830331,0.798018032169669,850297.2757501199,297.06035886206257
75297.0,5300.0,0.09,0.034,0.314,9116946.314,0.2023482934271665,0.7976517065728335,,
75370.0,5300.0,0.08,0.024,0.314,9103109.262,0.20271027817178916,0.7972897218282109,567313.5285798043,320.5501828524865
75442.0,5300.0,0.08,0.024,0.314,9103109.262,0.20271027817178916,0.7972897218282109,,
75515.0,5300.0,0.09,0.038,0.314,9089269.895,0.20306801415978087,0.7969319858402191,491348.23077934614,185.15022166915548
75588.0,5300.0,0.07,0.022,0.314,9075428.87,0.2034215919240077,0.7965784080759923,,
75660.0,5300.0,0.1,0.038,0.314,9061586.835,0.20377110043806193,0.7962288995619381,735363.3645146593,410.62495441832857
75733.0,5300.0,0.1,0.038,0.314,9061586.835,0.20377110043806193,0.7962288995619381,,
75805.0,5300.0,0.08,0.026,0.314,9047744.424,0.20411662712232956,0.7958833728776704,1274006.0273098494,239.45559407289443
75878.0,5300.0,0.1,0.045,0.314,9033902.259,0.20445825785170813,0.7955417421482919,,
75951.0,5300.0,0.08,0.024,0.314,9020060.952,0.20479607696593816,0.7952039230340618,706881.0224155388,293.6535617110728
76023.0,5300.0,0.08,0.024,0.314,9020060.952,0.20479607696593816,0.7952039230340618,,
76096.0,5300.0,0.1,0.046,0.314,9006221.101,0.20513016728144928,0.7948698327185507,541977.2407484052,292.69276088663753
76169.0,5300.0,0.08,0.025,0.314,8992383.296,0.20546061010476305,0.794539389895237,,
