easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
18900.0,55200.0,0.0,0.0,0.299,11524095.768,0.10854095470585154,0.8914590452941484,766178.9602690883,235.34484017003155
18994.0,55200.0,0.03,0.004,0.299,11534619.628,0.10866555317236698,0.891334446827633,,
19088.0,55200.0,0.02,0.002,0.299,11545150.967,0.10878976826242123,0.8912102317375787,,
19182.0,55200.0,0.04,0.007,0.299,11555688.111,0.10891355693507185,0.8910864430649281,,
19275.0,55200.0,0.02,0.002,0.299,11566229.368,0.10903687705970042,0.8909631229402996,,
19369.0,55200.0,0.03,0.004,0.3,11576773.034,0.10915968739384717,0.8908403126061528,,
19463.0,55200.0,0.02,0.001,0.3,11587317.391,0.10928194756059051,0.8907180524394095,,
19557.0,55200.0,0.04,0.006,0.3,11597860.707,0.10940361802669361,0.8905963819733064,,
19651.0,55200.0,0.04,0.005,0.3,11608401.239,0.10952466008047608,0.8904753399195239,,
19745.0,55200.0,0.04,0.005,0.3,11608401.239,0.10952466008047608,0.8904753399195239,,
19839.0,55200.0,0.03,0.003,0.3,11618937.23,0.10964503581000938,0.8903549641899906,,
19933.0,55200.0,0.02,0.001,0.3,11629466.91,0.10976470808143823,0.8902352919185618,,
20026.0,55200.0,0.02,0.001,0.3,11639988.499,0.10988364051753578,0.8901163594824643,620464.6140514131,258.5505726545011
20120.0,55200.0,0.03,0.003,0.3,11650500.204,0.1100017974763026,0.8899982025236974,,
20214.0,55200.0,0.01,0.0,0.3,11661000.222,0.11011914402974213,0.8898808559702579,,
20308.0,55200.0,0.02,0.001,0.3,11671486.737,0.11023564594305545,0.8897643540569445,,
20402.0,55200.0,0.03,0.004,0.3,11681957.924,0.11035126965361641,0.8896487303463836,,
20496.0,55200.0,0.03,0.003,0.3,11692411.948,0.11046598225033694,0.8895340177496631,,
20590.0,55200.0,0.06,0.012,0.3,11702846.964,0.11057975145334809,0.8894202485466519,,
20683.0,55200.0,0.01,0.0,0.3,11713261.116,0.11069254559349298,0.889307454406507,,
20777.0,55200.0,0.03,0.003,0.3,11723652.54,0.11080433359228495,0.8891956664077151,,
20871.0,55200.0,0.01,0.0,0.3,11734019.363,0.11091508494193975,0.8890849150580602,,
20965.0,55200.0,0.02,0.001,0.3,11744359.703,0.11102476968563378,0.8889752303143662,,
21059.0,55200.0,0.03,0.002,0.3,11754671.669,0.11113335839778139,0.8888666416022186,,
21153.0,55200.0,0.03,0.003,0.3,11764953.365,0.11124082216470246,0.8887591778352976,1189339.5422148802,271.9037766929132
21247.0,55200.0,0.03,0.003,0.3,11764953.365,0.11124082216470246,0.8887591778352976,,
21341.0,55200.0,0.03,0.004,0.3,11775202.883,0.11134713256531385,0.8886528674346862,,
21434.0,55200.0,0.0,0.0,0.3,11785418.312,0.1114522616520605,0.8885477383479395,,
21528.0,55200.0,0.03,0.004,0.3,11795597.73,0.11155618193201858,0.8884438180679815,,
21622.0,55200.0,0.03,0.003,0.3,11805739.213,0.11165886634815822,0.8883411336518418,,
21716.0,55200.0,0.02,0.002,0.301,11815840.825,0.11176028826082564,0.8882397117391744,,
21810.0,55200.0,0.04,0.005,0.301,11825900.63,0.11186042142934194,0.8881395785706581,,
21904.0,55200.0,0.02,0.001,0.301,11835916.681,0.1119592399938958,0.8880407600061042,,
21998.0,55200.0,0.01,0.001,0.301,11845887.031,0.1120567184575371,0.8879432815424629,,
22091.0,55200.0,0.03,0.002,0.301,11855809.722,0.11215283166840556,0.8878471683315945,,
22185.0,55200.0,0.02,0.002,0.301,11865682.797,0.11224755480212971,0.8877524451978703,,
22279.0,55200.0,0.02,0.002,0.301,11875504.292,0.11234086334451027,0.8876591366554898,581363.6189095612,291.0467125679303
22373.0,55200.0,0.02,0.001,0.301,11885272.238,0.11243273307434126,0.8875672669256587,,
22467.0,55200.0,0.03,0.003,0.301,11894984.666,0.11252314004651504,0.887476859953485,,
22561.0,55200.0,0.02,0.001,0.301,11904639.599,0.11261206057527069,0.8873879394247293,,
22655.0,55200.0,0.05,0.007,0.301,11914235.062,0.11269947121781118,0.8873005287821888,,
22749.0,55200.0,0.05,0.007,0.301,11914235.062,0.11269947121781118,0.8873005287821888,,
22842.0,55200.0,0.03,0.005,0.301,11923769.073,0.11278534875812854,0.8872146512418715,,
22936.0,55200.0,0.03,0.002,0.301,11933239.651,0.1128696701910706,0.8871303298089294,,
23030.0,55200.0,0.03,0.004,0.301,11942644.813,0.11295241270670242,0.8870475872932976,,
23124.0,55200.0,0.04,0.005,0.301,11951982.572,0.1130335536750419,0.8869664463249581,,
23218.0,55200.0,0.03,0.002,0.301,11961250.943,0.11311307063103847,0.8868869293689615,,
23312.0,55200.0,0.03,0.004,0.301,11970447.938,0.11319094125996237,0.8868090587400377,,
23406.0,55200.0,0.04,0.006,0.301,11979571.57,0.11326714338314064,0.8867328566168593,434096.7240305485,211.7738599205983
23499.0,55200.0,0.02,0.001,0.301,11988619.851,0.11334165494406405,0.886658345055936,,
23593.0,55200.0,0.03,0.003,0.302,11997590.796,0.11341445399497964,0.8865855460050204,,
23687.0,55200.0,0.04,0.007,0.302,12006482.417,0.11348551868386868,0.8865144813161313,,
23781.0,55200.0,0.03,0.003,0.302,12015292.731,0.11355482724201225,0.8864451727579877,,
23875.0,55200.0,0.03,0.004,0.302,12024019.755,0.11362235797197444,0.8863776420280256,,
23969.0,55200.0,0.02,0.001,0.302,12032661.508,0.11368808923628562,0.8863119107637144,,
24063.0,55200.0,0.0,0.0,0.302,12041216.013,0.11375199944659584,0.8862480005534041,,
24157.0,55200.0,0.01,0.0,0.302,12049681.294,0.11381406705358112,0.8861859329464189,,
24250.0,55200.0,0.05,0.009,0.302,12058055.38,0.11387427053753947,0.8861257294624605,,
24344.0,55200.0,0.05,0.009,0.302,12058055.38,0.11387427053753947,0.8861257294624605,,
24438.0,55200.0,0.04,0.008,0.302,12066336.305,0.113932588399793,0.886067411600207,,
