easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
82800.0,85800.0,0.04,0.005,0.327,9713354.647,0.14580142384921674,0.8541985761507833,1315919.3383195212,342.8917991381782
82896.0,85800.0,0.04,0.007,0.327,9694828.286,0.1452971808488226,0.8547028191511774,,
82992.0,85800.0,0.03,0.003,0.327,9676272.875,0.1447940429311421,0.8552059570688579,,
83088.0,85800.0,0.03,0.004,0.327,9657690.241,0.14429207640468536,0.8557079235953147,,
83184.0,85800.0,0.03,0.002,0.327,9639082.226,0.14379134665765875,0.8562086533423412,,
83280.0,85800.0,0.07,0.013,0.327,9620450.693,0.14329191813308811,0.8567080818669119,,
83376.0,85800.0,0.06,0.016,0.327,9601797.521,0.14279385430391026,0.8572061456960898,681075.8732135769,335.65995238500886
83472.0,85800.0,0.03,0.003,0.327,9583124.609,0.14229721764785647,0.8577027823521435,,
83568.0,85800.0,0.05,0.008,0.327,9564433.876,0.14180206962207406,0.8581979303779259,,
83664.0,85800.0,0.03,0.003,0.326,9545727.261,0.14130847063786997,0.85869152936213,,
83760.0,85800.0,0.05,0.009,0.326,9527006.726,0.1408164800349635,0.8591835199650365,,
83856.0,85800.0,0.04,0.005,0.326,9508274.253,0.1403261560561335,0.8596738439438665,,
83952.0,85800.0,0.02,0.002,0.326,9489531.846,0.13983755582166893,0.8601624441783311,805616.1223229133,343.127535154898
84048.0,85800.0,0.02,0.002,0.326,9489531.846,0.13983755582166893,0.8601624441783311,,
84144.0,85800.0,0.03,0.003,0.326,9470781.536,0.139350735303585,0.860649264696415,,
84239.0,85800.0,0.04,0.003,0.326,9452025.374,0.13886574930060155,0.8611342506993984,,
84335.0,85800.0,0.04,0.006,0.326,9433265.437,0.13838265141249476,0.8616173485875053,,
84431.0,85800.0,0.03,0.004,0.326,9414503.829,0.13790149401540583,0.8620985059845941,,
84527.0,85800.0,0.04,0.005,0.326,9395742.677,0.1374223282369174,0.8625776717630826,439768.07677634107,375.07981755197335
84623.0,85800.0,0.03,0.005,0.325,9376984.137,0.13694520393167153,0.8630547960683285,,
84719.0,85800.0,0.06,0.016,0.325,9358230.391,0.13647016965766445,0.8635298303423355,,
84815.0,85800.0,0.04,0.007,0.325,9339483.647,0.1359972726527547,0.8640027273472453,,
84911.0,85800.0,0.04,0.005,0.325,9320746.144,0.13552655881212605,0.864473441187874,,
85007.0,85800.0,0.03,0.004,0.325,9302020.146,0.13505807266628866,0.8649419273337113,,
85103.0,85800.0,0.04,0.007,0.325,9283307.95,0.1345918573603621,0.8654081426396378,1166750.2053632683,354.8340534352379
85199.0,85800.0,0.05,0.008,0.325,9264611.879,0.13412795463388597,0.8658720453661141,,
85295.0,85800.0,0.05,0.01,0.325,9245934.286,0.1336664048023418,0.8663335951976582,,
85391.0,85800.0,0.04,0.006,0.325,9227277.554,0.1332072467397958,0.8667927532602042,,
85487.0,85800.0,0.04,0.006,0.324,9208644.097,0.1327505178629791,0.8672494821370209,,
85583.0,85800.0,0.06,0.015,0.324,9190036.357,0.13229625411742682,0.8677037458825732,,
85679.0,85800.0,0.03,0.005,0.324,9171456.806,0.1318444899652029,0.8681555100347971,928141.9791158461,344.8987829468422
85775.0,85800.0,0.06,0.014,0.324,9152907.946,0.13139525837511887,0.8686047416248811,,
