easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
85700.0,69300.0,0.04,0.009,0.319,10459702.182,0.05208454160906087,0.9479154583909392,755981.1544215911,328.7318812966036
85755.0,69300.0,0.04,0.006,0.318,10458791.102,0.051103338159435886,0.9488966618405641,,
85810.0,69300.0,0.04,0.006,0.318,10458791.102,0.051103338159435886,0.9488966618405641,985431.8849462452,306.8119178796264
85865.0,69300.0,0.05,0.007,0.318,10457770.823,0.05012723576824894,0.949872764231751,,
85920.0,69300.0,0.05,0.007,0.318,10457770.823,0.05012723576824894,0.949872764231751,556048.0286004698,282.81128293582583
85975.0,69300.0,0.06,0.014,0.317,10456640.918,0.04915652627131388,0.9508434737286862,,
86030.0,69300.0,0.06,0.014,0.317,10456640.918,0.04915652627131388,0.9508434737286862,711362.897799054,278.5064751394096
86085.0,69300.0,0.02,0.002,0.317,10455400.912,0.04819150961109904,0.9518084903889009,,
86140.0,69300.0,0.02,0.002,0.317,10455400.912,0.04819150961109904,0.9518084903889009,284161.1991013578,268.5951282677907
86195.0,69300.0,0.04,0.008,0.316,10454050.284,0.04723249425760713,0.9527675057423929,,
86250.0,69300.0,0.04,0.008,0.316,10454050.284,0.04723249425760713,0.9527675057423929,1085918.4282359816,245.12583525320252
86305.0,69300.0,0.05,0.008,0.316,10452588.457,0.04627979766316807,0.953720202336832,,
86360.0,69300.0,0.03,0.004,0.316,10451014.805,0.04533374675521175,0.9546662532447883,446995.5480558028,289.85765276032527
86414.0,69300.0,0.03,0.004,0.316,10451014.805,0.04533374675521175,0.9546662532447883,,
86469.0,69300.0,0.04,0.006,0.315,10449328.641,0.04439467847144035,0.9556053215285596,809784.9645419265,252.91642462274453
86524.0,69300.0,0.04,0.006,0.315,10449328.641,0.04439467847144035,0.9556053215285596,,
86579.0,69300.0,0.03,0.003,0.315,10447529.219,0.04346294034237515,0.9565370596576248,564079.6992812847,304.8987904508771
86634.0,69300.0,0.03,0.003,0.315,10447529.219,0.04346294034237515,0.9565370596576248,,
86689.0,69300.0,0.07,0.025,0.314,10445615.729,0.04253889112707776,0.9574611088729222,1120016.7780054016,362.82516818646434
86744.0,69300.0,0.07,0.025,0.314,10445615.729,0.04253889112707776,0.9574611088729222,,
86799.0,69300.0,0.04,0.006,0.314,10443587.294,0.04162290150913041,0.9583770984908696,1208325.5198091655,373.4274804663266
86854.0,69300.0,0.05,0.011,0.314,10441442.965,0.040715354859985654,0.9592846451400143,,
86909.0,69300.0,0.05,0.011,0.314,10441442.965,0.040715354859985654,0.9592846451400143,396314.2392497576,306.6000143952106
86964.0,69300.0,0.03,0.003,0.313,10439181.717,0.03981664807978934,0.9601833519202106,,
87019.0,69300.0,0.03,0.003,0.313,10439181.717,0.03981664807978934,0.9601833519202106,1237284.6359917787,339.47971670266384
87074.0,69300.0,0.04,0.007,0.313,10436802.442,0.0389271925253137,0.9610728074746863,,
87129.0,69300.0,0.04,0.007,0.313,10436802.442,0.0389271925253137,0.9610728074746863,900548.6943068734,405.9125772450586
87184.0,69300.0,0.04,0.005,0.312,10434303.95,0.03804741503818565,0.9619525849618143,,
87239.0,69300.0,0.04,0.005,0.312,10434303.95,0.03804741503818565,0.9619525849618143,1183588.80052105,359.92208809347494
87294.0,69300.0,0.04,0.005,0.312,10431684.954,0.037177759087293004,0.962822240912707,,
87349.0,69300.0,0.04,0.005,0.312,10431684.954,0.037177759087293004,0.962822240912707,772318.7468773443,231.54867658727386
87404.0,69300.0,0.04,0.006,0.312,10428944.07,0.03631868604367355,0.9636813139563265,,
87459.0,69300.0,0.05,0.008,0.311,10426079.807,0.03547067660714143,0.9645293233928586,479494.20185053226,295.0610077416778
87514.0,69300.0,0.05,0.008,0.311,10426079.807,0.03547067660714143,0.9645293233928586,,
87569.0,69300.0,0.06,0.012,0.311,10423090.558,0.034634232410110634,0.9653657675898893,654288.1576147868,370.5557869577328
87624.0,69300.0,0.06,0.012,0.311,10423090.558,0.034634232410110634,0.9653657675898893,,
87679.0,69300.0,0.03,0.003,0.31,10419974.591,0.033809877826701716,0.9661901221732982,746852.8640521998,247.3715483780189
87734.0,69300.0,0.03,0.003,0.31,10419974.591,0.033809877826701716,0.9661901221732982,,
87788.0,69300.0,0.05,0.007,0.31,10416730.04,0.03299816202243965,0.9670018379775603,981524.8727370942,262.8535234364657
87843.0,69300.0,0.05,0.007,0.31,10416730.04,0.03299816202243965,0.9670018379775603,,
87898.0,69300.0,0.03,0.005,0.31,10413354.889,0.032199661286022675,0.9678003387139773,1319879.5181639916,383.64764457302044
87953.0,69300.0,0.03,0.003,0.309,10409846.964,0.03141498169263017,0.9685850183073699,,
88008.0,69300.0,0.03,0.003,0.309,10409846.964,0.03141498169263017,0.9685850183073699,513920.9595646172,340.08885892674766
88063.0,69300.0,0.03,0.003,0.309,10406203.909,0.030644762159522426,0.9693552378404776,,
88118.0,69300.0,0.03,0.003,0.309,10406203.909,0.030644762159522426,0.9693552378404776,869123.3516801172,346.05126011420157
88173.0,69300.0,0.05,0.009,0.308,10402423.176,0.029889677964428298,0.9701103220355717,,
88228.0,69300.0,0.05,0.009,0.308,10402423.176,0.029889677964428298,0.9701103220355717,572356.9528271235,315.18615964262443
88283.0,69300.0,0.03,0.004,0.308,10398501.997,0.029150444812939637,0.9708495551870604,,
88338.0,69300.0,0.03,0.004,0.308,10398501.997,0.029150444812939637,0.9708495551870604,993409.7600525676,382.07824851995247
88393.0,69300.0,0.04,0.007,0.308,10394437.364,0.028427823554322846,0.9715721764456772,,
88448.0,69300.0,0.04,0.007,0.308,10394437.364,0.028427823554322846,0.9715721764456772,739047.6864498602,192.88916862372767
88503.0,69300.0,0.03,0.004,0.307,10390225.997,0.027722625661265016,0.972277374338735,,
88558.0,69300.0,0.05,0.009,0.307,10385864.315,0.027035719601499513,0.9729642803985005,511055.6467553202,371.99530478122745
88613.0,69300.0,0.05,0.009,0.307,10385864.315,0.027035719601499513,0.9729642803985005,,
88668.0,69300.0,0.04,0.007,0.307,10381348.393,0.02636803823322333,0.9736319617667767,1339003.7393661877,328.06792606024345
88723.0,69300.0,0.04,0.007,0.307,10381348.393,0.02636803823322333,0.9736319617667767,,
88778.0,69300.0,0.02,0.001,0.306,10376673.921,0.025720587340546244,0.9742794126594537,645563.1150194219,344.70655019653225
88833.0,69300.0,0.02,0.001,0.306,10376673.921,0.025720587340546244,0.9742794126594537,,
88888.0,69300.0,0.05,0.01,0.306,10371836.152,0.02509445536784224,0.9749055446321577,178302.53644271777,241.9047237832219
88943.0,69300.0,0.05,0.01,0.306,10371836.152,0.02509445536784224,0.9749055446321577,,
88998.0,69300.0,0.04,0.006,0.306,10366829.845,0.024490824269805717,0.9755091757301942,1039282.1795276753,357.6020698851358
89053.0,69300.0,0.02,0.002,0.305,10361649.206,0.023910981097002397,0.9760890189029976,,
89107.0,69300.0,0.02,0.002,0.305,10361649.206,0.023910981097002397,0.9760890189029976,774468.5953015443,200.57727527988186
89162.0,69300.0,0.03,0.004,0.305,10356287.829,0.023356329353717956,0.976643670646282,,
89217.0,69300.0,0.03,0.004,0.305,10356287.829,0.023356329353717956,0.976643670646282,838570.7960440634,355.3332268051343
89272.0,69300.0,0.03,0.004,0.305,10350738.647,0.022828398095340142,0.9771716019046599,,
89327.0,69300.0,0.03,0.004,0.305,10350738.647,0.022828398095340142,0.9771716019046599,492304.03332185064,205.93580427568423
89382.0,69300.0,0.05,0.008,0.304,10344993.919,0.022328844897401383,0.9776711551025986,,
89437.0,69300.0,0.05,0.008,0.304,10344993.919,0.022328844897401383,0.9776711551025986,556949.2810897836,250.25752157829027
89492.0,69300.0,0.03,0.004,0.304,10339045.279,0.021859445959479945,0.97814055404052,,
89547.0,69300.0,0.03,0.004,0.304,10339045.279,0.021859445959479945,0.97814055404052,998150.4461225099,350.28095557973813
89602.0,69300.0,0.02,0.002,0.304,10332883.911,0.02142206281411679,0.9785779371858833,,
89657.0,69300.0,0.03,0.004,0.304,10326500.913,0.021018571740625113,0.9789814282593748,864679.7587229292,363.68291936134443
89712.0,69300.0,0.03,0.004,0.304,10326500.913,0.021018571740625113,0.9789814282593748,,
89767.0,69300.0,0.01,0.0,0.303,10319887.927,0.020650742930857703,0.9793492570691423,986181.2593381178,400.3000325984716
89822.0,69300.0,0.01,0.0,0.303,10319887.927,0.020650742930857703,0.9793492570691423,,
89877.0,69300.0,0.03,0.004,0.303,10313038.031,0.020320068322246,0.979679931677754,1365894.2559367865,295.2680004640163
89932.0,69300.0,0.03,0.004,0.303,10313038.031,0.020320068322246,0.979679931677754,,
89987.0,69300.0,0.04,0.004,0.303,10305946.763,0.020027564039461748,0.9799724359605383,873950.5510489225,328.9664031195969
90042.0,69300.0,0.04,0.004,0.303,10305946.763,0.020027564039461748,0.9799724359605383,,
90097.0,69300.0,0.04,0.007,0.303,10298612.983,0.019773605607974445,0.9802263943920255,1686807.1582346049,294.2626489087866
90152.0,69300.0,0.03,0.004,0.302,10291039.202,0.019557862876495337,0.9804421371235047,,
90207.0,69300.0,0.03,0.004,0.302,10291039.202,0.019557862876495337,0.9804421371235047,1054647.528755471,243.3920068079969
90262.0,69300.0,0.04,0.008,0.302,10283231.251,0.019379365097167322,0.9806206349028327,,
90317.0,69300.0,0.04,0.008,0.302,10283231.251,0.019379365097167322,0.9806206349028327,1117681.2619472025,345.5018576184063
90372.0,69300.0,0.06,0.016,0.302,10275197.422,0.019236665714790654,0.9807633342852093,,
90427.0,69300.0,0.06,0.016,0.302,10275197.422,0.019236665714790654,0.9807633342852093,1337868.2630339537,310.8907933984497
90481.0,69300.0,0.05,0.011,0.302,10266947.444,0.01912803992791809,0.9808719600720819,,
90536.0,69300.0,0.05,0.011,0.302,10266947.444,0.01912803992791809,0.9808719600720819,527846.1029910013,223.6649870466141
90591.0,69300.0,0.04,0.007,0.302,10258491.588,0.019051656858227954,0.980948343141772,,
90646.0,69300.0,0.04,0.007,0.302,10258491.588,0.019051656858227954,0.980948343141772,768550.0345610694,205.03490313874
90701.0,69300.0,0.03,0.003,0.301,10249840.039,0.01900570038778242,0.9809942996122176,,
90756.0,69300.0,0.04,0.007,0.301,10241002.533,0.01898843974780257,0.9810115602521974,677572.6216076147,308.6052823591909
90811.0,69300.0,0.04,0.007,0.301,10241002.533,0.01898843974780257,0.9810115602521974,,
90866.0,69300.0,0.04,0.007,0.301,10231988.178,0.018998262812307536,0.9810017371876925,1098168.4620579854,276.54188658433895
90921.0,69300.0,0.04,0.007,0.301,10231988.178,0.018998262812307536,0.9810017371876925,,
90976.0,69300.0,0.04,0.008,0.301,10222805.409,0.019033685997004574,0.9809663140029954,756630.6777320079,373.1295078550443
91031.0,69300.0,0.04,0.008,0.301,10222805.409,0.019033685997004574,0.9809663140029954,,
91086.0,69300.0,0.03,0.003,0.301,10213461.999,0.01909335129310299,0.980906648706897,526285.1693191241,421.20838121385816
91141.0,69300.0,0.03,0.003,0.301,10213461.999,0.01909335129310299,0.980906648706897,,
