easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
63800.0,52100.0,0.06,0.016,0.33,12761407.562,0.19366849036303946,0.8063315096369605,679863.1941730239,287.27387931228964
63905.0,52100.0,0.09,0.034,0.33,12771595.056,0.19423423008745602,0.805765769912544,,
64010.0,52100.0,0.07,0.024,0.33,12781791.737,0.1948016013119135,0.8051983986880865,,
64115.0,52100.0,0.06,0.011,0.33,12791994.38,0.19537056202903144,0.8046294379709685,488365.76807146147,342.8331440311941
64221.0,52100.0,0.07,0.02,0.33,12802199.682,0.19594106965395067,0.8040589303460494,,
64326.0,52100.0,0.09,0.037,0.33,12812404.262,0.19651308100725504,0.8034869189927449,,
64431.0,52100.0,0.07,0.02,0.33,12822604.655,0.19708655229665223,0.8029134477033477,1130330.732967957,252.43682747696715
64536.0,52100.0,0.05,0.01,0.33,12832797.312,0.19766143909748066,0.8023385609025193,,
64641.0,52100.0,0.06,0.017,0.33,12842978.597,0.1982376963318916,0.8017623036681084,,
64746.0,52100.0,0.05,0.008,0.33,12853144.782,0.19881527824667525,0.8011847217533248,976614.501238871,264.82722387546795
64851.0,52100.0,0.05,0.007,0.33,12873416.475,0.1999742295849544,0.8000257704150456,,
64957.0,52100.0,0.06,0.013,0.33,12883514.048,0.2005555039055938,0.7994444960944063,,
65062.0,52100.0,0.1,0.053,0.33,12893580.645,0.2011379126459638,0.7988620873540362,829818.6208752494,339.4746609524014
65167.0,52100.0,0.08,0.026,0.33,12903612.041,0.2017214062913537,0.7982785937086463,,
65272.0,52100.0,0.07,0.016,0.33,12913603.895,0.2023059344862082,0.7976940655137919,,
65377.0,52100.0,0.07,0.019,0.33,12923551.754,0.20289144600029915,0.7971085539997008,735363.2616256642,236.0008458416511
65482.0,52100.0,0.07,0.021,0.33,12933451.045,0.20347788869297737,0.7965221113070227,,
65587.0,52100.0,0.08,0.029,0.33,12943297.072,0.20406520947532836,0.7959347905246716,,
65693.0,52100.0,0.1,0.035,0.33,12953085.009,0.20465335427017586,0.7953466457298242,637460.8282226406,308.482792237695
65798.0,52100.0,0.08,0.025,0.33,12962809.898,0.20524226796978537,0.7947577320302146,,
65903.0,52100.0,0.08,0.026,0.33,12972466.642,0.20583189439147148,0.7941681056085286,,
66008.0,52100.0,0.07,0.02,0.33,12982049.999,0.20642217623065334,0.7935778237693467,1142584.8587019744,280.651155005337
66113.0,52100.0,0.08,0.024,0.33,12991554.578,0.2070130550116102,0.7929869449883898,,
66218.0,52100.0,0.09,0.034,0.33,13000974.833,0.20760447103597232,0.7923955289640277,,
66323.0,52100.0,0.07,0.022,0.33,13010305.055,0.20819636332871722,0.7918036366712828,383055.131851348,294.5771011222795
66429.0,52100.0,0.07,0.017,0.33,13019539.368,0.20878866958192435,0.7912113304180757,,
66534.0,52100.0,0.08,0.031,0.33,13028671.721,0.2093813260964504,0.7906186739035496,,
66639.0,52100.0,0.07,0.021,0.33,13037695.88,0.20997426772156316,0.7900257322784369,458233.32814117544,234.0714690034166
66744.0,52100.0,0.04,0.005,0.33,13046605.425,0.21056742779290497,0.7894325722070951,,
66849.0,52100.0,0.1,0.043,0.33,13055393.738,0.21116073806916114,0.7888392619308389,,
66954.0,52100.0,0.06,0.014,0.33,13072579.179,0.21234752800170736,0.7876524719982927,698649.4474774394,345.17708490562404
67059.0,52100.0,0.05,0.012,0.33,13080962.03,0.2129408627140539,0.7870591372859461,,
67165.0,52100.0,0.06,0.014,0.33,13089195.081,0.21353405761857144,0.7864659423814285,,
67270.0,52100.0,0.08,0.025,0.33,13097270.63,0.2141270356405111,0.7858729643594888,1204098.3002089043,302.27638902979385
67375.0,52100.0,0.06,0.015,0.33,13105180.739,0.21471971776388055,0.7852802822361195,,
67480.0,52100.0,0.05,0.011,0.33,13112917.229,0.21531202298579763,0.7846879770142023,,
67585.0,52100.0,0.06,0.01,0.33,13120471.674,0.2159038682810249,0.7840961317189751,388465.055584455,357.8817380895822
67690.0,52100.0,0.03,0.003,0.33,13127835.402,0.21649516857981027,0.7835048314201898,,
67795.0,52100.0,0.06,0.014,0.33,13134999.49,0.21708583676308266,0.7829141632369173,,
67901.0,52100.0,0.07,0.023,0.33,13141954.768,0.21767578367991053,0.7823242163200894,550862.399977616,394.3824236163346
68006.0,52100.0,0.06,0.014,0.33,13148691.826,0.21826491819249064,0.7817350818075094,,
68111.0,52100.0,0.06,0.015,0.33,13155201.019,0.2188531472553251,0.7811468527446749,,
68216.0,52100.0,0.05,0.01,0.33,13161472.479,0.21944037603613908,0.7805596239638609,848340.9913493309,353.8217702539227
68321.0,52100.0,0.06,0.017,0.33,13167496.139,0.2200265080865993,0.7799734919134007,,
68426.0,52100.0,0.07,0.026,0.33,13173261.75,0.22061144557216175,0.7793885544278383,,
68531.0,52100.0,0.08,0.03,0.33,13178758.92,0.22119508957076217,0.7788049104292378,183292.7119998392,375.4191949523507
68637.0,52100.0,0.07,0.021,0.33,13183977.152,0.22177734045049563,0.7782226595495043,,
68742.0,52100.0,0.05,0.012,0.33,13188905.892,0.2223580983358074,0.7776419016641926,,
68847.0,52100.0,0.07,0.02,0.33,13193534.593,0.22293726367116676,0.7770627363288333,534216.4485351384,292.47465154962765
68952.0,52100.0,0.05,0.011,0.33,13201850.162,0.22409042418532665,0.7759095758146733,,
69057.0,52100.0,0.06,0.012,0.33,13205516.672,0.2246642284024343,0.7753357715975657,,
69162.0,52100.0,0.05,0.012,0.33,13208842.625,0.22523606001137803,0.7747639399886219,539919.3094443568,358.0543971068592
69267.0,52100.0,0.05,0.009,0.33,13211818.811,0.2258058331804202,0.7741941668195798,,
69373.0,52100.0,0.08,0.018,0.33,13214436.619,0.22637346790651727,0.7736265320934828,,
69478.0,52100.0,0.08,0.028,0.33,13216688.163,0.22693889117856644,0.7730611088214335,231409.06985551747,435.4836219577743
69583.0,52100.0,0.05,0.013,0.33,13218566.406,0.2275020381326912,0.7724979618673088,,
69688.0,52100.0,0.07,0.019,0.33,13220065.281,0.22806285315297906,0.771937146847021,,
69793.0,52100.0,0.06,0.015,0.33,13221179.797,0.22862129086715477,0.7713787091328452,329296.3876333488,231.5570026077319
69898.0,52100.0,0.08,0.028,0.33,13221906.131,0.22917731698644733,0.7708226830135527,,
70003.0,52100.0,0.06,0.012,0.33,13222241.693,0.2297309089431365,0.7702690910568635,,
70108.0,52100.0,0.08,0.029,0.33,13222185.174,0.23028205628854384,0.7697179437114562,700959.8246073247,207.52048079911833
70214.0,52100.0,0.06,0.017,0.33,13221736.558,0.23083076082710796,0.769169239172892,,
70319.0,52100.0,0.08,0.02,0.33,13220897.108,0.2313770364779265,0.7686229635220735,,
70424.0,52100.0,0.07,0.017,0.33,13219669.324,0.231920908872572,0.768079091127428,1217082.3135171828,324.2549826064311
70529.0,52100.0,0.07,0.023,0.331,13218056.872,0.23246241471308274,0.7675375852869173,,
70634.0,52100.0,0.06,0.012,0.331,13216064.494,0.2330016009277849,0.7669983990722151,,
70739.0,52100.0,0.06,0.012,0.331,13213697.902,0.23353852367136146,0.7664614763286386,500298.9501715522,367.598565794642
