easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
33800.0,97600.0,0.01,0.0,0.322,8801460.559,0.1898124436488666,0.8101875563511334,591878.6408208983,324.0342070182143
33912.0,97600.0,0.01,0.0,0.322,8797700.189,0.18975547315988833,0.8102445268401117,,
34024.0,97600.0,0.02,0.002,0.322,8794210.217,0.1897006890287219,0.8102993109712782,,
34137.0,97600.0,0.02,0.002,0.321,8790988.412,0.18964810341111216,0.8103518965888878,,
34249.0,97600.0,0.03,0.003,0.321,8788032.525,0.1895977283673828,0.8104022716326171,,
34361.0,97600.0,0.01,0.0,0.321,8782909.425,0.18950365773188244,0.8104963422681175,354629.3621556707,310.0752903952627
34473.0,97600.0,0.0,0.0,0.32,8780737.632,0.18945998573352985,0.8105400142664702,,
34586.0,97600.0,0.04,0.006,0.32,8778822.605,0.18941857148521546,0.8105814285147845,,
34698.0,97600.0,0.01,0.0,0.32,8777162.026,0.18937942648803557,0.8106205735119645,,
34810.0,97600.0,0.04,0.009,0.32,8775753.569,0.1893425621157214,0.8106574378842786,,
34922.0,97600.0,0.01,0.0,0.319,8774594.901,0.18930798960954148,0.8106920103904585,850652.5563331473,246.4315507163536
35035.0,97600.0,0.03,0.003,0.319,8773683.685,0.1892757200735173,0.8107242799264827,,
35147.0,97600.0,0.04,0.006,0.319,8773017.581,0.18924576446974234,0.8107542355302577,,
35259.0,97600.0,0.02,0.002,0.318,8772411.333,0.18919283816953592,0.8108071618304641,,
35371.0,97600.0,0.01,0.001,0.318,8772466.504,0.18916988864605305,0.8108301113539469,,
35484.0,97600.0,0.01,0.0,0.318,8772757.415,0.18914929539210665,0.8108507046078933,751716.0136622165,253.86422373448636
35596.0,97600.0,0.01,0.0,0.318,8773281.73,0.18913106859234788,0.8108689314076521,,
35708.0,97600.0,0.05,0.009,0.317,8774037.113,0.18911521826322492,0.810884781736775,,
35820.0,97600.0,0.03,0.003,0.317,8775021.236,0.18910175424880876,0.8108982457511913,,
35933.0,97600.0,0.03,0.004,0.317,8776231.776,0.18909068621709416,0.8109093137829059,,
36045.0,97600.0,0.02,0.002,0.317,8777666.417,0.18908202365574542,0.8109179763442546,1468818.4026158736,354.75854926021975
36157.0,97600.0,0.06,0.016,0.316,8781198.776,0.1890719519721693,0.8109280480278307,,
36269.0,97600.0,0.0,0.0,0.316,8783291.905,0.18907056089131488,0.8109294391086851,,
36382.0,97600.0,0.01,0.0,0.316,8785599.955,0.18907161135640616,0.8109283886435938,,
36494.0,97600.0,0.02,0.001,0.315,8788120.657,0.18907511189957482,0.8109248881004252,,
36606.0,97600.0,0.0,0.0,0.315,8790851.751,0.18908107085130446,0.8109189291486956,616386.349971799,385.75844128121014
36718.0,97600.0,0.03,0.003,0.315,8793790.99,0.18908949633713784,0.8109105036628621,,
36831.0,97600.0,0.04,0.005,0.314,8796936.138,0.18910039627430153,0.8108996037256985,,
36943.0,97600.0,0.02,0.002,0.314,8800284.972,0.1891137783686742,0.8108862216313257,,
37055.0,97600.0,0.01,0.001,0.314,8807584.866,0.18914801877628237,0.8108519812237176,,
37167.0,97600.0,0.03,0.003,0.313,8811531.546,0.18916889141583035,0.8108311085841696,1443985.676951178,319.2320808170536
37280.0,97600.0,0.01,0.0,0.313,8815673.149,0.1891922748591293,0.8108077251408707,,
37392.0,97600.0,0.03,0.005,0.313,8820007.517,0.18921817570846491,0.8107818242915351,,
37504.0,97600.0,0.02,0.001,0.312,8824532.509,0.1892466003365722,0.8107533996634277,,
37616.0,97600.0,0.01,0.001,0.312,8829245.996,0.18927755488360376,0.8107224451163962,,
37729.0,97600.0,0.01,0.0,0.312,8834145.862,0.18931104525439535,0.8106889547456047,972724.8263521001,174.54386121789295
37841.0,97600.0,0.01,0.0,0.312,8839230.008,0.18934707711573837,0.8106529228842616,,
37953.0,97600.0,0.03,0.003,0.311,8849942.809,0.18942678676981584,0.8105732132301842,,
38065.0,97600.0,0.02,0.002,0.311,8855567.335,0.1894704746808102,0.8105295253191898,,
38178.0,97600.0,0.05,0.01,0.311,8861367.882,0.18951672431342786,0.8104832756865721,,
38290.0,97600.0,0.03,0.004,0.31,8867342.422,0.18956554010314444,0.8104344598968556,1220742.8624617506,269.0808061798126
38402.0,97600.0,0.02,0.002,0.31,8873488.94,0.18961692623115867,0.8103830737688413,,
38514.0,97600.0,0.03,0.004,0.31,8879805.435,0.18967088662195475,0.8103291133780453,,
38627.0,97600.0,0.04,0.007,0.309,8886289.921,0.18972742494061337,0.8102725750593867,,
38739.0,97600.0,0.02,0.001,0.309,8892940.423,0.1897865445904609,0.810213455409539,,
38851.0,97600.0,0.01,0.0,0.309,8906731.657,0.18991254017245496,0.810087459827545,748207.6472447026,253.64899185208571
38963.0,97600.0,0.03,0.004,0.308,8913868.509,0.18997942157938175,0.8100205784206183,,
39076.0,97600.0,0.04,0.007,0.308,8921163.622,0.19004889526218952,0.8099511047378105,,
39188.0,97600.0,0.02,0.002,0.308,8928615.087,0.19012096327767647,0.8098790367223235,,
39300.0,97600.0,0.02,0.001,0.307,8936221.012,0.19019562740611176,0.8098043725938883,,
