easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
50000.0,10100.0,0.09,0.029,0.376,11387368.041,0.0020317841926589205,0.9979682158073411,671293.1240524352,327.6696837702197
50087.0,10100.0,0.07,0.015,0.376,11388134.414,0.002505107291650565,0.9974948927083495,,
50175.0,10100.0,0.09,0.026,0.376,11388561.663,0.0030008530072825283,0.9969991469927175,601375.5469929981,358.7347237934783
50262.0,10100.0,0.08,0.024,0.375,11388695.747,0.003515632084426175,0.9964843679155738,,
50349.0,10100.0,0.08,0.024,0.375,11388695.747,0.003515632084426175,0.9964843679155738,422318.0015424727,335.78049877524126
50437.0,10100.0,0.08,0.027,0.375,11388564.483,0.004047394498602393,0.9959526055013976,,
50524.0,10100.0,0.06,0.014,0.375,11388186.695,0.004594754296262061,0.9954052457037379,289871.2270513285,307.57443171973154
50611.0,10100.0,0.1,0.048,0.375,11387576.579,0.005156667519527797,0.9948433324804722,,
50699.0,10100.0,0.07,0.019,0.375,11386745.552,0.005732295900332868,0.9942677040996671,1030187.5561134451,403.1635646611487
50786.0,10100.0,0.1,0.06,0.375,11385703.177,0.0063209385772544004,0.9936790614227456,,
50873.0,10100.0,0.08,0.017,0.375,11384457.691,0.006921993160242441,0.9930780068397576,773066.8867435898,272.90140790656176
50961.0,10100.0,0.1,0.042,0.374,11383016.334,0.00753493141046739,0.9924650685895327,,
51048.0,10100.0,0.1,0.042,0.374,11383016.334,0.00753493141046739,0.9924650685895327,956609.7849394587,299.9239802198902
51135.0,10100.0,0.08,0.028,0.374,11381385.569,0.008159283010066902,0.9918407169899331,,
51223.0,10100.0,0.06,0.015,0.374,11379571.237,0.00879462417731758,0.9912053758226824,320536.8235204947,304.9128488476886
51310.0,10100.0,0.07,0.019,0.374,11377578.669,0.009440569364785992,0.990559430635214,,
51397.0,10100.0,0.1,0.044,0.374,11375412.771,0.01009676501397101,0.989903234986029,681259.3098661811,304.0526690785623
51485.0,10100.0,0.09,0.037,0.373,11373078.086,0.010762884736720458,0.9892371152632795,,
51572.0,10100.0,0.08,0.028,0.373,11370578.853,0.01143862551717298,0.988561374482827,800294.1876651848,340.33238969078457
51660.0,10100.0,0.07,0.018,0.373,11367919.038,0.012123704663930446,0.9878762953360696,,
51747.0,10100.0,0.07,0.018,0.373,11367919.038,0.012123704663930446,0.9878762953360696,405032.0913684579,302.36506386362794
51834.0,10100.0,0.08,0.026,0.373,11365102.378,0.01281785732644375,0.9871821426735562,,
51922.0,10100.0,0.1,0.044,0.372,11362132.4,0.013520834443497566,0.9864791655565024,478950.23430298525,344.26132902584953
52009.0,10100.0,0.09,0.042,0.372,11359012.449,0.014232401028941239,0.9857675989710588,,
52096.0,10100.0,0.05,0.009,0.372,11355745.708,0.01495233472390135,0.9850476652760987,431602.1690385878,261.49013800289976
52184.0,10100.0,0.08,0.02,0.372,11352335.211,0.015680424562943832,0.9843195754370562,,
