easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
83200.0,30800.0,0.07,0.022,0.334,10164980.624,0.23185247285978905,0.768147527140211,1100687.4697781329,299.3922055065406
83323.0,30800.0,0.08,0.02,0.334,10172041.754,0.23265774240563677,0.7673422575943633,,
83446.0,30800.0,0.08,0.026,0.334,10179046.378,0.23345934862981796,0.766540651370182,270451.3777343057,281.26353556145534
83569.0,30800.0,0.09,0.03,0.334,10192881.436,0.2350514607311293,0.7649485392688706,,
83692.0,30800.0,0.08,0.022,0.333,10199709.493,0.23584191420860381,0.7641580857913962,777989.5312610678,372.9611822082951
83816.0,30800.0,0.07,0.023,0.333,10206476.287,0.23662859958371305,0.7633714004162869,,
83939.0,30800.0,0.07,0.02,0.333,10213180.583,0.23741149349126975,0.7625885065087302,751934.3722369866,240.224829724493
84062.0,30800.0,0.09,0.032,0.333,10226396.633,0.23896581922208412,0.7610341807779158,,
84185.0,30800.0,0.06,0.011,0.333,10232905.808,0.2397372101314541,0.7602627898685459,1474646.4434506593,331.016335621602
84308.0,30800.0,0.07,0.015,0.333,10239347.325,0.24050472777259121,0.7594952722274088,,
84431.0,30800.0,0.07,0.028,0.333,10245719.833,0.24126835467815705,0.7587316453218429,340424.3737088482,280.67226078913245
84554.0,30800.0,0.08,0.032,0.333,10258252.287,0.24278387254896444,0.7572161274510356,,
84677.0,30800.0,0.07,0.021,0.333,10264409.393,0.24353573476803309,0.7564642652319669,659319.7005273971,260.95993472156687
84801.0,30800.0,0.07,0.024,0.333,10270491.806,0.24428364879720846,0.7557163512027916,,
84924.0,30800.0,0.06,0.016,0.333,10276498.03,0.24502760347183247,0.7549723965281675,743250.0597430805,322.2368749816279
85047.0,30800.0,0.06,0.016,0.333,10282426.53,0.24576758894949421,0.7542324110505058,,
85170.0,30800.0,0.08,0.027,0.333,10294044.048,0.2472356197012906,0.7527643802987094,299127.4445464263,233.87055002959607
85293.0,30800.0,0.07,0.023,0.333,10299729.814,0.24796365212604426,0.7520363478739558,,
85416.0,30800.0,0.07,0.02,0.333,10305331.346,0.2486876897118608,0.7513123102881392,994829.9666916737,390.86525986760097
85539.0,30800.0,0.06,0.018,0.333,10310846.914,0.2494077296222221,0.7505922703777779,,
85662.0,30800.0,0.09,0.039,0.333,10321612.996,0.2508358125752972,0.7491641874247028,412168.1814971656,355.36739397125893
85786.0,30800.0,0.05,0.011,0.333,10326859.804,0.25154385756087655,0.7484561424391234,,
85909.0,30800.0,0.09,0.029,0.333,10332013.234,0.2522479088374577,0.7477520911625424,488068.43057770754,385.78742937400875
86032.0,30800.0,0.08,0.025,0.333,10337071.296,0.25294797142723263,0.7470520285727673,,
86155.0,30800.0,0.09,0.037,0.333,10346893.059,0.25433615920967756,0.7456638407903224,88129.62952641437,280.25980715815604
86278.0,30800.0,0.05,0.011,0.333,10351652.469,0.2550243031838354,0.7449756968161646,,
86401.0,30800.0,0.07,0.026,0.333,10356307.921,0.25570849615313734,0.7442915038468627,494405.23136965546,277.6199412196236
86524.0,30800.0,0.07,0.024,0.333,10360857.089,0.2563887522349353,0.7436112477650647,,
86647.0,30800.0,0.06,0.015,0.333,10365297.568,0.2570650875635126,0.7429349124364875,1207746.075596723,345.1855938055482
86771.0,30800.0,0.08,0.026,0.333,10373842.406,0.25840607107175556,0.7415939289282445,,
86894.0,30800.0,0.07,0.026,0.333,10377941.506,0.25907076236581733,0.7409292376341827,835788.3726207978,274.6751410925799
87017.0,30800.0,0.08,0.02,0.333,10381921.387,0.2597316193381467,0.7402683806618533,,
87140.0,30800.0,0.05,0.011,0.333,10385779.156,0.26038866957953394,0.7396113304204661,857946.7420752442,255.3227622095963
87263.0,30800.0,0.04,0.007,0.333,10393116.193,0.2616914735509451,0.738308526449055,,
87386.0,30800.0,0.07,0.021,0.333,10396589.048,0.2623372962301091,0.7376627037698908,1281105.6119780997,244.39918951498464
87509.0,30800.0,0.07,0.019,0.333,10399926.943,0.26297945041662973,0.7370205495833703,,
87632.0,30800.0,0.04,0.005,0.333,10403126.295,0.2636179784944909,0.736382021505509,828919.342587202,359.9680049540749
87756.0,30800.0,0.05,0.01,0.333,10409094.134,0.26488434384854687,0.7351156561514531,,
87879.0,30800.0,0.08,0.031,0.333,10411854.511,0.2655122846804224,0.7344877153195777,706097.0949446764,266.48458638244176
88002.0,30800.0,0.06,0.018,0.333,10414460.084,0.2661368071316089,0.7338631928683911,,
88125.0,30800.0,0.07,0.019,0.333,10416906.213,0.2667579742351183,0.7332420257648817,775448.6651957537,256.34114796002166
88248.0,30800.0,0.06,0.014,0.333,10419187.979,0.2673758542403846,0.7326241457596154,,
88371.0,30800.0,0.09,0.036,0.333,10423237.176,0.26860205501441586,0.7313979449855841,689104.1347626547,332.5649018281753
88494.0,30800.0,0.06,0.012,0.333,10424993.092,0.2692105430797046,0.7307894569202954,,
88617.0,30800.0,0.07,0.019,0.333,10426561.531,0.2698160799840648,0.7301839200159352,996333.3720554445,227.5315580620627
88741.0,30800.0,0.08,0.023,0.333,10427935.646,0.2704187688185149,0.7295812311814851,,
88864.0,30800.0,0.05,0.009,0.333,10430070.828,0.2716160620253786,0.7283839379746214,510929.4041279252,323.30782530289895
88987.0,30800.0,0.06,0.015,0.333,10430815.33,0.27221092283604686,0.7277890771639531,,
89110.0,30800.0,0.08,0.028,0.333,10431332.264,0.272803450322878,0.727196549677122,684071.0506013726,228.63048619816374
89233.0,30800.0,0.05,0.009,0.333,10431611.584,0.27339380318047835,0.7266061968195217,,
89356.0,30800.0,0.06,0.012,0.333,10431413.504,0.2745686833616007,0.7254313166383993,669338.1424433744,309.03774853993957
89479.0,30800.0,0.06,0.014,0.333,10430912.58,0.27515358734512446,0.7248464126548755,,
89602.0,30800.0,0.07,0.02,0.333,10430127.467,0.27573706232715894,0.7242629376728411,897700.6801988335,271.23719699894207
89726.0,30800.0,0.06,0.016,0.333,10429046.21,0.2763193013895667,0.7236806986104334,,
89849.0,30800.0,0.07,0.025,0.333,10427657.926,0.27690048071950535,0.7230995192804947,935727.330271279,303.42749607846594
89972.0,30800.0,0.03,0.004,0.333,10423927.945,0.2780601848039222,0.7219398151960779,,
90095.0,30800.0,0.07,0.027,0.333,10421578.484,0.278638836047696,0.721361163952304,626989.4916962791,297.3358263242477
90218.0,30800.0,0.06,0.014,0.333,10418907.549,0.27921666283971314,0.7207833371602869,,
90341.0,30800.0,0.03,0.004,0.333,10415921.132,0.27979356849140663,0.7202064315085934,715089.2073062254,358.20802250907616
90464.0,30800.0,0.06,0.017,0.333,10409040.042,0.2809440000155789,0.719055999984421,,
90587.0,30800.0,0.05,0.009,0.333,10405168.595,0.2815171516685858,0.7184828483314142,583367.1151319381,314.2308907912362
90711.0,30800.0,0.06,0.015,0.333,10401026.381,0.2820886621602014,0.7179113378397985,,
90834.0,30800.0,0.09,0.028,0.333,10396625.622,0.2826583358809598,0.7173416641190402,1052063.3151620245,289.57070219724784
90957.0,30800.0,0.07,0.025,0.333,10387094.507,0.2837914402139251,0.7162085597860749,,
91080.0,30800.0,0.04,0.005,0.333,10381985.375,0.2843545352210165,0.7156454647789835,504731.8482985901,270.582005715007
91203.0,30800.0,0.04,0.005,0.333,10376660.101,0.28491512298322047,0.7150848770167795,,
91326.0,30800.0,0.04,0.007,0.333,10371127.479,0.2854730668663086,0.7145269331336914,722682.5377822493,270.2344230456704
91449.0,30800.0,0.07,0.02,0.333,10365395.654,0.2860282413745426,0.7139717586254575,,
91572.0,30800.0,0.09,0.04,0.333,10353364.104,0.287129830135784,0.7128701698642159,462250.77680791006,277.49593141311885
91696.0,30800.0,0.05,0.011,0.333,10347077.965,0.2876760404443299,0.7123239595556701,,
