easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
26200.0,32100.0,0.05,0.01,0.318,8977013.58,0.26025495545059796,0.739745044549402,611225.1510307763,269.4020144890826
26310.0,32100.0,0.07,0.017,0.318,8983575.949,0.25984935236667606,0.7401506476333239,,
26420.0,32100.0,0.05,0.013,0.318,8990207.757,0.2594450079073891,0.7405549920926109,,
26530.0,32100.0,0.04,0.007,0.317,8996910.781,0.25904190729649795,0.740958092703502,,
26640.0,32100.0,0.05,0.008,0.317,9003686.861,0.25864003493661797,0.741359965063382,,
26750.0,32100.0,0.06,0.016,0.317,9017465.913,0.25783990835740445,0.7421600916425956,,
26860.0,32100.0,0.04,0.006,0.317,9024472.927,0.25744161865994813,0.7425583813400518,,
26970.0,32100.0,0.06,0.015,0.316,9031561.087,0.25704448621613646,0.7429555137838635,,
27080.0,32100.0,0.04,0.008,0.316,9038732.609,0.25664849102263526,0.7433515089773648,,
27190.0,32100.0,0.05,0.01,0.316,9045989.791,0.2562536121342031,0.7437463878657968,,
27300.0,32100.0,0.05,0.009,0.316,9053335.017,0.2558598276451446,0.7441401723548554,,
27411.0,32100.0,0.05,0.009,0.316,9060770.757,0.25546711467260036,0.7445328853273996,,
27521.0,32100.0,0.07,0.025,0.315,9068299.57,0.2550754493426899,0.7449245506573101,,
27631.0,32100.0,0.03,0.003,0.315,9075924.106,0.25468480678048766,0.7453151932195123,,
27741.0,32100.0,0.04,0.007,0.315,9083647.107,0.25429516110513467,0.7457048388948653,,
27851.0,32100.0,0.05,0.012,0.315,9099399.928,0.2535187518822091,0.7464812481177909,,
27961.0,32100.0,0.06,0.018,0.314,9107435.686,0.25313193160582137,0.7468680683941786,,
28071.0,32100.0,0.04,0.009,0.314,9115581.779,0.25274599481463694,0.7472540051853631,,
28181.0,32100.0,0.05,0.008,0.314,9123841.388,0.2523609108342391,0.7476390891657609,,
28291.0,32100.0,0.04,0.005,0.314,9132217.766,0.25197664817428134,0.7480233518257187,,
28401.0,32100.0,0.03,0.004,0.314,9140714.233,0.25159317462236536,0.7484068253776346,,
28511.0,32100.0,0.05,0.008,0.313,9149334.159,0.2512104573649002,0.7487895426350998,,
28621.0,32100.0,0.03,0.002,0.313,9158080.95,0.25082846313897894,0.749171536861021,,
28731.0,32100.0,0.03,0.002,0.313,9166958.032,0.2504471584191034,0.7495528415808965,,
28841.0,32100.0,0.05,0.014,0.313,9175968.822,0.25006650964233823,0.7499334903576618,,
28951.0,32100.0,0.07,0.02,0.313,9194404.999,0.24930704711798904,0.750692952882011,,
29061.0,32100.0,0.05,0.012,0.313,9203836.921,0.24892816866383885,0.7510718313361612,,
29171.0,32100.0,0.05,0.01,0.312,9213415.545,0.2485498174802,0.7514501825198,,
29281.0,32100.0,0.07,0.018,0.312,9223143.758,0.24817196463684854,0.7518280353631515,,
