easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
16200.0,12900.0,0.06,0.012,0.342,9726359.736,0.07452418918092424,0.9254758108190757,773767.957030464,275.3383403366955
16282.0,12900.0,0.04,0.005,0.342,9719772.034,0.07444443289224217,0.9255555671077578,,
16363.0,12900.0,0.05,0.014,0.342,9713224.288,0.07436268296502103,0.925637317034979,176170.597805317,237.63608934652478
16445.0,12900.0,0.05,0.014,0.342,9713224.288,0.07436268296502103,0.925637317034979,,
16526.0,12900.0,0.04,0.006,0.342,9706717.419,0.0742789174833481,0.9257210825166519,834509.7725449913,339.3558701090104
16608.0,12900.0,0.06,0.017,0.342,9700252.337,0.07419311592824283,0.9258068840717572,,
16689.0,12900.0,0.03,0.004,0.342,9693829.935,0.07410525913856719,0.9258947408614329,1013897.9898353451,349.2141099380048
16771.0,12900.0,0.07,0.019,0.342,9687451.094,0.07401532927330746,0.9259846707266925,,
16853.0,12900.0,0.03,0.004,0.342,9681116.677,0.07392330977468634,0.9260766902253137,729725.9348403155,234.68600813961962
16934.0,12900.0,0.03,0.004,0.342,9681116.677,0.07392330977468634,0.9260766902253137,,
17016.0,12900.0,0.04,0.004,0.342,9674827.539,0.07382918533252476,0.9261708146674752,1189832.6295655975,324.9834327695869
17097.0,12900.0,0.05,0.012,0.342,9668584.518,0.07373294184967698,0.9262670581503231,,
17179.0,12900.0,0.06,0.012,0.342,9662388.443,0.07363456640837374,0.9263654335916263,768234.0827969568,333.4663055662641
17261.0,12900.0,0.05,0.008,0.342,9656240.129,0.07353404723771367,0.9264659527622863,,
17342.0,12900.0,0.05,0.008,0.342,9656240.129,0.07353404723771367,0.9264659527622863,466525.73517925554,320.6237132318586
17424.0,12900.0,0.06,0.015,0.342,9650140.38,0.07343137368186052,0.9265686263181395,,
17505.0,12900.0,0.06,0.013,0.342,9644089.989,0.07332653616955452,0.9266734638304455,1188055.5488221126,288.14441570547723
17587.0,12900.0,0.05,0.012,0.342,9638089.74,0.07321952618415874,0.9267804738158413,,
17668.0,12900.0,0.03,0.003,0.342,9632140.403,0.07311033623492098,0.926889663765079,1062098.4562385858,343.46322194477267
17750.0,12900.0,0.05,0.009,0.342,9626242.742,0.07299895982876475,0.9270010401712352,,
17832.0,12900.0,0.05,0.009,0.342,9626242.742,0.07299895982876475,0.9270010401712352,838579.2618175788,313.32169500217793
17913.0,12900.0,0.06,0.017,0.342,9620397.51,0.07288539144333189,0.9271146085566682,,
17995.0,12900.0,0.05,0.008,0.342,9614605.45,0.0727696265003705,0.9272303734996294,656213.6602528914,278.2930599145052
18076.0,12900.0,0.04,0.005,0.342,9608867.298,0.0726516613402871,0.9273483386597129,,
18158.0,12900.0,0.05,0.007,0.342,9603183.78,0.07253149319733011,0.9274685068026699,548878.471057052,296.9848169513626
18239.0,12900.0,0.05,0.007,0.342,9603183.78,0.07253149319733011,0.9274685068026699,,
18321.0,12900.0,0.06,0.014,0.342,9597555.616,0.07240912017541973,0.9275908798245802,878703.7210220501,344.4369115132692
18403.0,12900.0,0.07,0.022,0.342,9591983.515,0.07228454122489009,0.92771545877511,,
18484.0,12900.0,0.04,0.006,0.342,9586468.181,0.07215775611978079,0.9278422438802192,801325.1470995271,347.21617654930833
18566.0,12900.0,0.05,0.009,0.342,9581010.311,0.07202876543595178,0.9279712345640482,,
18647.0,12900.0,0.05,0.009,0.342,9581010.311,0.07202876543595178,0.9279712345640482,599506.0870649844,186.271561957007
18729.0,12900.0,0.04,0.005,0.342,9575610.593,0.07189757052970448,0.9281024294702955,,
18811.0,12900.0,0.05,0.009,0.342,9570269.711,0.07176417351715488,0.9282358264828451,970775.798868294,307.6209723065662
