easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
77400.0,96000.0,0.05,0.01,0.314,11105812.679,0.2481598994265079,0.751840100573492,1183671.5474553779,366.07178524099396
77465.0,96000.0,0.02,0.002,0.314,11085230.581,0.2479274438797053,0.7520725561202947,,
77530.0,96000.0,0.02,0.002,0.314,11085230.581,0.2479274438797053,0.7520725561202947,295207.2318590478,169.09387952749498
77594.0,96000.0,0.04,0.006,0.314,11064531.45,0.2476930418442541,0.7523069581557459,,
77659.0,96000.0,0.04,0.008,0.314,11043717.673,0.24745673671086812,0.7525432632891319,1046127.2268430707,335.5605075708987
77724.0,96000.0,0.04,0.008,0.314,11043717.673,0.24745673671086812,0.7525432632891319,,
77789.0,96000.0,0.06,0.014,0.314,11022791.622,0.2472185715179377,0.7527814284820623,703378.8303285819,270.8327442263656
77854.0,96000.0,0.08,0.023,0.315,11001755.652,0.24697858894661484,0.7530214110533852,,
77918.0,96000.0,0.08,0.023,0.315,11001755.652,0.24697858894661484,0.7530214110533852,1008894.764081912,358.52296981642456
77983.0,96000.0,0.02,0.001,0.315,10980612.106,0.24673683131650062,0.7532631686834994,,
78048.0,96000.0,0.02,0.001,0.315,10980612.106,0.24673683131650062,0.7532631686834994,420586.050561936,276.2934093466297
78113.0,96000.0,0.04,0.006,0.315,10959363.31,0.24649334058083816,0.7535066594191618,,
78178.0,96000.0,0.03,0.003,0.315,10938011.578,0.24624815832241478,0.7537518416775852,601164.0180447638,330.4983444815133
78243.0,96000.0,0.03,0.003,0.315,10938011.578,0.24624815832241478,0.7537518416775852,,
78307.0,96000.0,0.03,0.003,0.315,10916559.209,0.24600132574887879,0.7539986742511212,530966.8490577604,302.24655545824754
78372.0,96000.0,0.05,0.009,0.315,10895008.488,0.24575288368873083,0.7542471163112692,,
78437.0,96000.0,0.05,0.009,0.315,10895008.488,0.24575288368873083,0.7542471163112692,535413.6065482582,343.82317000122436
78502.0,96000.0,0.03,0.003,0.315,10873361.688,0.24550287258687134,0.7544971274131287,,
78567.0,96000.0,0.03,0.005,0.315,10851621.07,0.24525133250047423,0.7547486674995257,1100220.3479540842,339.37730652085327
78631.0,96000.0,0.03,0.005,0.315,10851621.07,0.24525133250047423,0.7547486674995257,,
78696.0,96000.0,0.06,0.013,0.315,10829788.881,0.24499830309468543,0.7550016969053146,934752.7128679224,281.5948029340867
78761.0,96000.0,0.03,0.004,0.315,10807867.359,0.24474382363845673,0.7552561763615433,,
78826.0,96000.0,0.03,0.004,0.315,10807867.359,0.24474382363845673,0.7552561763615433,750591.9278806944,266.8440851276995
78891.0,96000.0,0.04,0.006,0.315,10785858.727,0.24448793300023278,0.7555120669997673,,
78955.0,96000.0,0.07,0.015,0.315,10763765.2,0.24423066964383178,0.7557693303561682,662201.7861182522,309.426527929115
79020.0,96000.0,0.07,0.015,0.315,10763765.2,0.24423066964383178,0.7557693303561682,,
79085.0,96000.0,0.06,0.013,0.316,10741588.982,0.24397207162412282,0.7560279283758772,607174.6427452709,359.52037035097646
79150.0,96000.0,0.06,0.013,0.316,10741588.982,0.24397207162412282,0.7560279283758772,,
79215.0,96000.0,0.05,0.011,0.316,10719332.266,0.24371217658269675,0.7562878234173033,561394.9131827842,370.89427411249443
79279.0,96000.0,0.01,0.001,0.316,10696997.237,0.24345102174354313,0.7565489782564568,,
79344.0,96000.0,0.01,0.001,0.316,10696997.237,0.24345102174354313,0.7565489782564568,729102.156293872,330.6146075531292
79409.0,96000.0,0.04,0.005,0.316,10674586.068,0.24318864390883788,0.7568113560911621,,
79474.0,96000.0,0.04,0.005,0.316,10652100.927,0.24292507945435568,0.7570749205456443,931396.1489988536,350.2009524195763
79539.0,96000.0,0.04,0.005,0.316,10652100.927,0.24292507945435568,0.7570749205456443,,
79603.0,96000.0,0.05,0.011,0.316,10629543.971,0.2426603643250764,0.7573396356749236,741852.1218984079,336.17284777459815
79668.0,96000.0,0.03,0.005,0.316,10606917.35,0.2423945340308066,0.7576054659691934,,
79733.0,96000.0,0.03,0.005,0.316,10606917.35,0.2423945340308066,0.7576054659691934,671896.593275052,354.47939680936685
79798.0,96000.0,0.02,0.002,0.316,10584223.208,0.24212762364140408,0.757872376358596,,
79863.0,96000.0,0.02,0.002,0.316,10561463.679,0.24185966778231965,0.7581403322176803,700415.9073238358,351.56840471521826
79928.0,96000.0,0.02,0.002,0.316,10561463.679,0.24185966778231965,0.7581403322176803,,
79992.0,96000.0,0.04,0.005,0.316,10538640.893,0.24159070062996402,0.758409299370036,510648.1555944199,362.15029384115246
80057.0,96000.0,0.04,0.006,0.316,10515756.973,0.24132075590683366,0.7586792440931663,,
80122.0,96000.0,0.04,0.006,0.316,10515756.973,0.24132075590683366,0.7586792440931663,848974.1665670084,308.76036881512954
80187.0,96000.0,0.05,0.008,0.316,10492814.038,0.24104986687699623,0.7589501331230037,,
80252.0,96000.0,0.04,0.006,0.316,10469814.2,0.24077806634095303,0.759221933659047,283370.3064364613,278.73755754398786
80316.0,96000.0,0.04,0.006,0.316,10469814.2,0.24077806634095303,0.759221933659047,,
80381.0,96000.0,0.03,0.003,0.316,10446759.567,0.24050538663091592,0.7594946133690841,645265.8641896853,286.5169679294569
80446.0,96000.0,0.03,0.003,0.316,10446759.567,0.24050538663091592,0.7594946133690841,,
80511.0,96000.0,0.06,0.012,0.317,10423652.242,0.24023185960601906,0.7597681403939809,748976.509312598,282.4020972298074
80576.0,96000.0,0.06,0.015,0.317,10400494.326,0.23995751664699042,0.7600424833530096,,
80640.0,96000.0,0.06,0.015,0.317,10400494.326,0.23995751664699042,0.7600424833530096,630173.7029972732,351.7313908663226
80705.0,96000.0,0.06,0.013,0.317,10377287.916,0.23968238865146693,0.760317611348533,,
80770.0,96000.0,0.04,0.005,0.317,10354035.105,0.23940650602866234,0.7605934939713377,424232.73604985647,339.1580823420569
80835.0,96000.0,0.04,0.005,0.317,10354035.105,0.23940650602866234,0.7605934939713377,,
80900.0,96000.0,0.04,0.006,0.317,10330737.984,0.23912989869441964,0.7608701013055803,993522.3618096785,346.50594617041276
80964.0,96000.0,0.03,0.004,0.317,10307398.643,0.23885259606595485,0.7611474039340451,,
81029.0,96000.0,0.03,0.004,0.317,10307398.643,0.23885259606595485,0.7611474039340451,483633.4353872322,240.11743535473016
81094.0,96000.0,0.06,0.014,0.317,10284019.169,0.2385746270566831,0.7614253729433169,,
81159.0,96000.0,0.05,0.006,0.317,10260601.65,0.23829602007112816,0.7617039799288718,578580.3576481878,295.44605104947084
81224.0,96000.0,0.05,0.006,0.317,10260601.65,0.23829602007112816,0.7617039799288718,,
81288.0,96000.0,0.03,0.002,0.317,10237148.17,0.23801680299957095,0.761983197000429,1116180.122275596,348.016119143585
81353.0,96000.0,0.04,0.006,0.317,10213660.815,0.23773700321284688,0.7622629967871531,,
81418.0,96000.0,0.04,0.006,0.317,10213660.815,0.23773700321284688,0.7622629967871531,1118606.4341770539,268.1615052441159
81483.0,96000.0,0.02,0.002,0.317,10190141.672,0.23745664755706467,0.7625433524429354,,
81548.0,96000.0,0.02,0.002,0.317,10190141.672,0.23745664755706467,0.7625433524429354,171976.41477794317,314.7755251471616
81613.0,96000.0,0.04,0.007,0.317,10166592.824,0.23717576234855456,0.7628242376514455,,
81677.0,96000.0,0.02,0.002,0.317,10143016.361,0.23689437336837935,0.7631056266316206,1339576.8440017824,291.3714188441158
81742.0,96000.0,0.02,0.002,0.317,10143016.361,0.23689437336837935,0.7631056266316206,,
81807.0,96000.0,0.03,0.003,0.317,10119414.369,0.23661250585734891,0.7633874941426511,560702.1792726179,266.68875090290203
81872.0,96000.0,0.06,0.013,0.317,10095788.939,0.23633018451077703,0.763669815489223,,
81937.0,96000.0,0.06,0.013,0.317,10095788.939,0.23633018451077703,0.763669815489223,,218.66952796213573
82001.0,96000.0,0.05,0.009,0.317,10072142.162,0.2360474334734099,0.76395256652659,,
82066.0,96000.0,0.04,0.007,0.317,10048476.134,0.23576427633425592,0.7642357236657441,458742.43612552725,289.0202289842983
82131.0,96000.0,0.04,0.007,0.317,10048476.134,0.23576427633425592,0.7642357236657441,,
82196.0,96000.0,0.05,0.011,0.317,10024792.949,0.23548073612173168,0.7645192638782683,972932.5799213242,305.8253079977238
82261.0,96000.0,0.04,0.007,0.318,10001094.71,0.23519683529883553,0.7648031647011645,,
82325.0,96000.0,0.04,0.007,0.318,10001094.71,0.23519683529883553,0.7648031647011645,516165.92224009027,281.3504514458752
82390.0,96000.0,0.02,0.001,0.318,9977383.52,0.23491259575808576,0.7650874042419142,,
82455.0,96000.0,0.03,0.002,0.318,9953661.485,0.23462803881716326,0.7653719611828367,927164.100151795,366.21042741672284
82520.0,96000.0,0.03,0.002,0.318,9953661.485,0.23462803881716326,0.7653719611828367,,
82585.0,96000.0,0.06,0.012,0.318,9929930.719,0.23434318521423245,0.7656568147857675,1080389.8865948003,302.48071777678695
82649.0,96000.0,0.06,0.012,0.318,9929930.719,0.23434318521423245,0.7656568147857675,,
82714.0,96000.0,0.05,0.008,0.318,9906193.336,0.23405805510346167,0.7659419448965383,1108066.4495917168,275.8155884834078
82779.0,96000.0,0.03,0.003,0.318,9882451.457,0.23377266805112543,0.7662273319488746,,
82844.0,96000.0,0.03,0.003,0.318,9882451.457,0.23377266805112543,0.7662273319488746,1432239.2137128164,282.4304027939702
82909.0,96000.0,0.04,0.007,0.318,9858707.208,0.23348704303124368,0.7665129569687563,,
82973.0,96000.0,0.03,0.003,0.318,9834962.72,0.2332011984222147,0.7667988015777853,568260.532177623,256.1804909417376
83038.0,96000.0,0.03,0.003,0.318,9834962.72,0.2332011984222147,0.7667988015777853,,
83103.0,96000.0,0.03,0.005,0.318,9811220.13,0.23291515200282234,0.7670848479971777,934343.3249229024,274.9437025185389
83168.0,96000.0,0.04,0.008,0.318,9787481.579,0.23262892094949875,0.7673710790505013,,
83233.0,96000.0,0.04,0.008,0.318,9787481.579,0.23262892094949875,0.7673710790505013,804228.5187778274,329.9507299409544
83298.0,96000.0,0.04,0.006,0.318,9763749.217,0.2323425218329308,0.7676574781670692,,
83362.0,96000.0,0.04,0.007,0.318,9740025.196,0.2320559706156579,0.767944029384342,952603.6547068234,288.65679184013476
83427.0,96000.0,0.04,0.007,0.318,9740025.196,0.2320559706156579,0.767944029384342,,
83492.0,96000.0,0.02,0.002,0.318,9716311.678,0.23176928264980326,0.7682307173501968,817111.3538276728,222.08476978943276
83557.0,96000.0,0.02,0.001,0.318,9692610.83,0.2314824726750992,0.7685175273249008,,
83622.0,96000.0,0.02,0.001,0.318,9692610.83,0.2314824726750992,0.7685175273249008,628350.883376439,344.9761300127229
83686.0,96000.0,0.03,0.003,0.318,9668924.825,0.2311955548175233,0.7688044451824767,,
83751.0,96000.0,0.03,0.003,0.318,9645255.844,0.23090854258832152,0.7690914574116785,307941.0800772687,291.1669961897707
83816.0,96000.0,0.03,0.003,0.318,9645255.844,0.23090854258832152,0.7690914574116785,,
