easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
82000.0,59700.0,0.05,0.011,0.341,11392786.229,0.2029760442209384,0.7970239557790616,816696.8535164526,269.5002085076492
82092.0,59700.0,0.04,0.005,0.341,11386972.085,0.20282212000195046,0.7971778799980496,,
82184.0,59700.0,0.05,0.009,0.341,11381087.93,0.20266708636946987,0.7973329136305302,,
82276.0,59700.0,0.04,0.007,0.341,11375134.306,0.2025109959171399,0.7974890040828602,568526.7733790625,294.3878850862946
82368.0,59700.0,0.02,0.002,0.341,11369111.749,0.2023539008321318,0.7976460991678682,,
82461.0,59700.0,0.05,0.01,0.34,11363020.793,0.20219585289132336,0.7978041471086766,,
82553.0,59700.0,0.05,0.01,0.34,11356861.966,0.20203690345757422,0.7979630965424258,1204677.5929415568,283.91514790880507
82645.0,59700.0,0.05,0.01,0.34,11356861.966,0.20203690345757422,0.7979630965424258,,
82737.0,59700.0,0.06,0.016,0.34,11350635.793,0.2018771034760516,0.7981228965239484,,
82829.0,59700.0,0.06,0.013,0.34,11344342.793,0.20171650347047787,0.7982834965295221,930868.6711217337,293.1792828041174
82921.0,59700.0,0.06,0.012,0.34,11337983.484,0.20155515353946243,0.7984448464605376,,
83013.0,59700.0,0.04,0.007,0.34,11331558.376,0.2013931033529597,0.7986068966470403,,
83105.0,59700.0,0.06,0.015,0.339,11325067.98,0.20123040214851534,0.7987695978514846,535364.968640397,343.99346362096406
83197.0,59700.0,0.06,0.013,0.339,11318512.797,0.20106709872770928,0.7989329012722908,,
83290.0,59700.0,0.04,0.006,0.339,11311893.33,0.20090324145266472,0.7990967585473353,,
83382.0,59700.0,0.07,0.023,0.339,11305210.073,0.2007388782424037,0.7992611217575963,228356.57989979247,250.31312808178396
83474.0,59700.0,0.04,0.007,0.339,11298463.521,0.20057405656951735,0.7994259434304827,,
83566.0,59700.0,0.06,0.012,0.339,11291654.162,0.2004088234564187,0.7995911765435813,,
83658.0,59700.0,0.05,0.01,0.338,11284782.481,0.2002432254722518,0.7997567745277482,497832.9577692192,280.33221786440555
83750.0,59700.0,0.04,0.008,0.338,11277848.959,0.20007730872921695,0.7999226912707831,,
83842.0,59700.0,0.04,0.008,0.338,11277848.959,0.20007730872921695,0.7999226912707831,,
83934.0,59700.0,0.07,0.023,0.338,11270854.075,0.19991111887948246,0.8000888811205176,582810.4005137426,306.7547666366569
84027.0,59700.0,0.05,0.011,0.338,11263798.302,0.1997447011117667,0.8002552988882333,,
84119.0,59700.0,0.04,0.005,0.338,11256682.112,0.19957810014817673,0.8004218998518233,,
84211.0,59700.0,0.05,0.008,0.338,11249505.972,0.19941136024106354,0.8005886397589365,731313.8666928629,325.88315909430463
84303.0,59700.0,0.05,0.007,0.337,11242270.346,0.19924452516997201,0.800755474830028,,
84395.0,59700.0,0.03,0.003,0.337,11234975.694,0.19907763823860156,0.8009223617613984,,
84487.0,59700.0,0.02,0.002,0.337,11227622.474,0.19891074227194602,0.801089257728054,850575.0212215586,293.16137154705825
84579.0,59700.0,0.04,0.008,0.337,11220211.138,0.19874387961347253,0.8012561203865275,,
84671.0,59700.0,0.05,0.013,0.337,11212742.139,0.1985770921224981,0.8014229078775019,,
84763.0,59700.0,0.06,0.014,0.337,11205215.923,0.19841042117138646,0.8015895788286136,436954.82868362573,337.9663475038241
84856.0,59700.0,0.05,0.01,0.336,11197632.934,0.19824390764331562,0.8017560923566844,,
84948.0,59700.0,0.05,0.01,0.336,11197632.934,0.19824390764331562,0.8017560923566844,,
85040.0,59700.0,0.05,0.009,0.336,11189993.613,0.19807759192974658,0.8019224080702534,507087.9849872829,332.70169687695454
85132.0,59700.0,0.06,0.018,0.336,11182298.399,0.1979115139283382,0.8020884860716618,,
85224.0,59700.0,0.05,0.008,0.336,11174547.726,0.1977457130407368,0.8022542869592633,,
85316.0,59700.0,0.04,0.005,0.336,11166742.026,0.19758022817075524,0.8024197718292447,529649.7859111562,398.523429655727
85408.0,59700.0,0.06,0.014,0.336,11158881.727,0.19741509772250745,0.8025849022774926,,
85500.0,59700.0,0.05,0.009,0.335,11150967.257,0.19725035959885473,0.8027496404011453,,
85592.0,59700.0,0.05,0.009,0.335,11142999.036,0.19708605119994968,0.8029139488000503,867190.1224090618,266.4086229449426
85685.0,59700.0,0.04,0.007,0.335,11134977.486,0.19692220942191677,0.8030777905780833,,
85777.0,59700.0,0.07,0.017,0.335,11126903.023,0.19675887065580414,0.8032411293441959,,
85869.0,59700.0,0.05,0.01,0.335,11118776.062,0.19659607078669844,0.8034039292133015,1401824.3066050566,328.2033649087484
85961.0,59700.0,0.06,0.014,0.335,11110597.014,0.1964338451929551,0.803566154807045,,
86053.0,59700.0,0.05,0.009,0.334,11102366.287,0.19627222874570446,0.8037277712542955,,
86145.0,59700.0,0.05,0.009,0.334,11102366.287,0.19627222874570446,0.8037277712542955,1082595.224946602,226.82707266381237
86237.0,59700.0,0.05,0.008,0.334,11094084.287,0.19611125580857144,0.8038887441914285,,
86329.0,59700.0,0.05,0.012,0.334,11085751.418,0.1959509602374616,0.8040490397625384,,
86422.0,59700.0,0.04,0.008,0.334,11077368.079,0.195791375380811,0.804208624619189,512198.73957248003,342.73616719886274
86514.0,59700.0,0.04,0.008,0.334,11068934.667,0.19563253407964973,0.8043674659203502,,
86606.0,59700.0,0.04,0.005,0.334,11060451.579,0.19547446866831086,0.8045255313316891,,
86698.0,59700.0,0.06,0.014,0.333,11051919.204,0.19531721097508423,0.8046827890249157,376615.3750799309,355.5512596980543
86790.0,59700.0,0.08,0.027,0.333,11043337.933,0.19516079232303046,0.8048392076769695,,
86882.0,59700.0,0.05,0.009,0.333,11034708.153,0.19500524353115603,0.804994756468844,,
86974.0,59700.0,0.05,0.009,0.333,11026030.246,0.19485059491579768,0.8051494050842023,1087787.0485780095,317.4043066843914
87066.0,59700.0,0.04,0.007,0.333,11017304.595,0.1946968762919973,0.8053031237080027,,
87158.0,59700.0,0.02,0.002,0.333,11008531.578,0.1945441169752137,0.8054558830247863,,
87251.0,59700.0,0.04,0.007,0.332,10999711.57,0.1943923457832996,0.8056076542167003,603932.9039783052,318.7316344872047
87343.0,59700.0,0.04,0.007,0.332,10999711.57,0.1943923457832996,0.8056076542167003,,
87435.0,59700.0,0.05,0.01,0.332,10990844.944,0.1942415910384621,0.8057584089615379,,
87527.0,59700.0,0.05,0.007,0.332,10981932.072,0.19409188056949697,0.805908119430503,1143013.027116264,285.9706822514695
87619.0,59700.0,0.04,0.006,0.332,10972973.321,0.19394324171413707,0.8060567582858629,,
87711.0,59700.0,0.03,0.004,0.332,10963969.055,0.19379570132164226,0.8062042986783577,,
87803.0,59700.0,0.06,0.011,0.332,10954919.639,0.19364928575537269,0.8063507142446273,545819.3433423466,301.01696608579533
87895.0,59700.0,0.06,0.016,0.331,10945825.43,0.19350402089563573,0.8064959791043642,,
87987.0,59700.0,0.04,0.006,0.331,10936686.786,0.19335993214259573,0.8066400678574043,,
88080.0,59700.0,0.03,0.004,0.331,10927504.063,0.19321704441917392,0.8067829555808261,911102.2006424584,214.18833403626468
88172.0,59700.0,0.05,0.009,0.331,10918277.611,0.19307538217417944,0.8069246178258206,,
88264.0,59700.0,0.04,0.007,0.331,10909007.779,0.19293496938550378,0.8070650306144962,,
88356.0,59700.0,0.05,0.012,0.331,10899694.914,0.19279582956326394,0.8072041704367361,873549.080950357,294.60496573855244
88448.0,59700.0,0.05,0.012,0.331,10899694.914,0.19279582956326394,0.8072041704367361,,
88540.0,59700.0,0.03,0.004,0.33,10890339.36,0.1926579857531006,0.8073420142468994,,
88632.0,59700.0,0.05,0.009,0.33,10880941.457,0.19252146053940286,0.8074785394605971,397501.7014079562,328.00216654786516
88724.0,59700.0,0.05,0.01,0.33,10871501.545,0.19238627604868602,0.8076137239513139,,
88817.0,59700.0,0.02,0.001,0.33,10862019.958,0.19225245395276003,0.80774754604724,,
88909.0,59700.0,0.03,0.004,0.33,10852497.029,0.19212001547215715,0.8078799845278428,573403.3560990692,353.86203034491786
89001.0,59700.0,0.06,0.016,0.33,10842933.09,0.1919889813791846,0.8080110186208154,,
89093.0,59700.0,0.05,0.009,0.33,10833328.467,0.19185937200135367,0.8081406279986463,,
