easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
33500.0,68100.0,0.04,0.007,0.298,11533205.931,0.008355741038417944,0.991644258961582,1198656.6455582024,264.85366541827364
33562.0,68100.0,0.01,0.0,0.298,11505391.743,0.007980459062987005,0.992019540937013,,
33624.0,68100.0,0.01,0.0,0.298,11505391.743,0.007980459062987005,0.992019540937013,,
33686.0,68100.0,0.02,0.002,0.298,11477315.959,0.0076060192931359915,0.992393980706864,807949.6960776224,299.89564609601064
33747.0,68100.0,0.02,0.002,0.298,11477315.959,0.0076060192931359915,0.992393980706864,,
33809.0,68100.0,0.04,0.005,0.298,11448985.958,0.007232407909777115,0.9927675920902229,,
33871.0,68100.0,0.03,0.002,0.299,11420408.919,0.00685961258750532,0.9931403874124947,448647.2141982746,362.0288275416251
33933.0,68100.0,0.03,0.002,0.299,11420408.919,0.00685961258750532,0.9931403874124947,,
33995.0,68100.0,0.03,0.004,0.299,11391591.823,0.00648762244963172,0.9935123775503683,,
34057.0,68100.0,0.03,0.004,0.299,11362541.471,0.006116428025530124,0.9938835719744699,646424.4198488136,342.2130053906629
34118.0,68100.0,0.03,0.004,0.299,11362541.471,0.006116428025530124,0.9938835719744699,,
34180.0,68100.0,0.01,0.0,0.299,11333264.484,0.005746021210368211,0.9942539787896318,,
34242.0,68100.0,0.01,0.0,0.299,11333264.484,0.005746021210368211,0.9942539787896318,1413843.0124014402,355.46915926179696
34304.0,68100.0,0.04,0.006,0.299,11303767.317,0.005376395227086849,0.9946236047729131,,
34366.0,68100.0,0.02,0.002,0.299,11274056.264,0.0050075445903839284,0.9949924554096161,,
34428.0,68100.0,0.02,0.002,0.299,11274056.264,0.0050075445903839284,0.9949924554096161,857037.7178199358,198.93388848982266
34489.0,68100.0,0.04,0.006,0.3,11244137.467,0.004639465072999798,0.9953605349270002,,
34551.0,68100.0,0.02,0.002,0.3,11214016.922,0.004272153673877156,0.9957278463261229,,
34613.0,68100.0,0.02,0.002,0.3,11214016.922,0.004272153673877156,0.9957278463261229,2031908.7659880966,369.0298543210037
34675.0,68100.0,0.02,0.001,0.3,11183700.485,0.0039056085883608285,0.9960943914116391,,
