easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
48200.0,97700.0,0.03,0.005,0.287,10035128.489,0.207482411679108,0.792517588320892,786046.7549234671,306.32832188936214
48271.0,97700.0,0.05,0.009,0.287,10049712.783,0.20775861151376387,0.7922413884862362,,
48342.0,97700.0,0.05,0.009,0.287,10049712.783,0.20775861151376387,0.7922413884862362,436745.57665717043,408.1143201685429
48413.0,97700.0,0.04,0.004,0.287,10064306.128,0.20803632245660197,0.791963677543398,,
48484.0,97700.0,0.07,0.022,0.287,10078907.314,0.20831552398593903,0.791684476014061,1913790.0924150147,243.9440199519707
48555.0,97700.0,0.05,0.01,0.287,10093515.151,0.20859619564446055,0.7914038043555395,,
48626.0,97700.0,0.05,0.01,0.287,10093515.151,0.20859619564446055,0.7914038043555395,503051.20619214635,310.12478373173633
48697.0,97700.0,0.04,0.005,0.286,10108128.474,0.20887831704917345,0.7911216829508265,,
48768.0,97700.0,0.03,0.004,0.286,10122746.139,0.2091618679009245,0.7908381320990755,1157633.0942954542,328.6799133204143
48840.0,97700.0,0.03,0.004,0.286,10122746.139,0.2091618679009245,0.7908381320990755,,
48911.0,97700.0,0.03,0.003,0.286,10137367.025,0.20944682799356282,0.7905531720064372,678198.8543875488,241.65570156853843
48982.0,97700.0,0.02,0.002,0.286,10151990.037,0.209733177222431,0.790266822777569,,
49053.0,97700.0,0.03,0.004,0.286,10166614.103,0.21002089559255657,0.7899791044074435,706922.5071223258,409.62217719437797
49124.0,97700.0,0.03,0.004,0.286,10166614.103,0.21002089559255657,0.7899791044074435,,
49195.0,97700.0,0.05,0.013,0.286,10181238.175,0.21030996322618453,0.7896900367738154,840687.8244036832,349.6533245754009
49266.0,97700.0,0.03,0.003,0.286,10195861.232,0.21060036036970162,0.7893996396302984,,
49337.0,97700.0,0.03,0.003,0.286,10195861.232,0.21060036036970162,0.7893996396302984,1185253.208279999,317.6794637335511
49408.0,97700.0,0.03,0.002,0.286,10210482.278,0.21089206739998245,0.7891079326000175,,
49479.0,97700.0,0.03,0.004,0.286,10225100.34,0.21118506483015811,0.7888149351698419,319130.1344654483,289.8638625609838
49550.0,97700.0,0.04,0.006,0.286,10239714.474,0.21147933331465835,0.7885206666853417,,
49621.0,97700.0,0.04,0.006,0.286,10239714.474,0.21147933331465835,0.7885206666853417,1081846.9380331547,265.7924176903209
49692.0,97700.0,0.04,0.006,0.285,10254323.762,0.21177485365348908,0.7882251463465109,,
49763.0,97700.0,0.04,0.006,0.285,10268927.309,0.21207160679588005,0.7879283932041199,864333.5925946425,276.7180292245833
49834.0,97700.0,0.04,0.006,0.285,10268927.309,0.21207160679588005,0.7879283932041199,,
49905.0,97700.0,0.04,0.004,0.285,10283524.249,0.21236957384330968,0.7876304261566903,605504.5771070838,242.1069449856086
49977.0,97700.0,0.02,0.001,0.285,10298113.741,0.2126687360515502,0.7873312639484498,,
50048.0,97700.0,0.02,0.001,0.285,10298113.741,0.2126687360515502,0.7873312639484498,1086055.309980494,313.92270090695735
50119.0,97700.0,0.05,0.006,0.285,10312694.971,0.2129690748321846,0.7870309251678154,,
50190.0,97700.0,0.05,0.006,0.285,10327267.15,0.21327057175323003,0.78672942824677,457521.16400219896,306.297526735325
50261.0,97700.0,0.04,0.004,0.285,10341829.515,0.21357320853910838,0.7864267914608916,,
50332.0,97700.0,0.04,0.004,0.285,10341829.515,0.21357320853910838,0.7864267914608916,1172949.7894413765,305.53228127904237
50403.0,97700.0,0.04,0.005,0.285,10356381.329,0.21387696706976034,0.7861230329302397,,
50474.0,97700.0,0.03,0.004,0.285,10370921.88,0.21418182937910188,0.7858181706208981,350418.40138398716,216.8898392414346
50545.0,97700.0,0.03,0.004,0.285,10370921.88,0.21418182937910188,0.7858181706208981,,
50616.0,97700.0,0.04,0.006,0.285,10385450.481,0.21448777765272148,0.7855122223472786,568717.9312559479,249.6766411750666
50687.0,97700.0,0.04,0.005,0.285,10399966.469,0.21479479422471973,0.7852052057752803,,
50758.0,97700.0,0.01,0.0,0.285,10414469.207,0.21510286157411057,0.7848971384258894,346650.92228934634,256.3963252921323
50829.0,97700.0,0.01,0.0,0.285,10414469.207,0.21510286157411057,0.7848971384258894,,
50900.0,97700.0,0.03,0.003,0.285,10428958.079,0.2154119623202851,0.784588037679715,914883.8076316011,334.7596149637508
50971.0,97700.0,0.08,0.022,0.285,10443432.494,0.21572207921791484,0.7842779207820851,,
51042.0,97700.0,0.08,0.022,0.285,10443432.494,0.21572207921791484,0.7842779207820851,1149382.831564587,364.94015682798147
51114.0,97700.0,0.06,0.015,0.284,10457891.884,0.2160331951511951,0.7839668048488049,,
51185.0,97700.0,0.03,0.004,0.284,10472335.7,0.2163452931274801,0.7836547068725199,294393.4385890784,264.6187181217132
51256.0,97700.0,0.01,0.001,0.284,10486763.418,0.21665835627027194,0.783341643729728,,
51327.0,97700.0,0.01,0.001,0.284,10486763.418,0.21665835627027194,0.783341643729728,606813.8487497595,261.9107266615864
51398.0,97700.0,0.04,0.007,0.284,10501174.532,0.2169723678117929,0.783027632188207,,
51469.0,97700.0,0.06,0.012,0.284,10515568.556,0.21728731108494656,0.7827126889150534,532035.9733376412,290.3296383855392
51540.0,97700.0,0.06,0.012,0.284,10515568.556,0.21728731108494656,0.7827126889150534,,
51611.0,97700.0,0.04,0.006,0.284,10529945.024,0.21760316951475628,0.7823968304852438,490448.46548283857,420.9322935902444
51682.0,97700.0,0.05,0.007,0.284,10544303.488,0.21791992660947462,0.7820800733905253,,
51753.0,97700.0,0.03,0.003,0.284,10558643.515,0.21823756595120264,0.7817624340487974,648405.8605854054,295.585636837851
51824.0,97700.0,0.03,0.003,0.284,10558643.515,0.21823756595120264,0.7817624340487974,,
51895.0,97700.0,0.08,0.027,0.284,10572964.692,0.21855607118621087,0.7814439288137891,634898.9078598142,296.78810640817596
51966.0,97700.0,0.05,0.009,0.284,10587266.62,0.21887542601492357,0.7811245739850764,,
52037.0,97700.0,0.05,0.009,0.284,10587266.62,0.21887542601492357,0.7811245739850764,1176231.2188047466,358.39496833535975
52108.0,97700.0,0.07,0.019,0.284,10601548.913,0.21919561418140135,0.7808043858185987,,
52179.0,97700.0,0.06,0.012,0.284,10615811.201,0.21951661946316808,0.7804833805368319,942640.6064592253,303.3994557261777
52251.0,97700.0,0.05,0.008,0.284,10630053.125,0.21983842566004938,0.7801615743399506,,
52322.0,97700.0,0.05,0.008,0.284,10630053.125,0.21983842566004938,0.7801615743399506,974620.8250711028,271.2341396482152
52393.0,97700.0,0.05,0.013,0.284,10644274.34,0.220161016583474,0.779838983416526,,
52464.0,97700.0,0.04,0.008,0.284,10658474.508,0.22048437604537258,0.7795156239546275,739156.5556819179,304.65775389845373
52535.0,97700.0,0.04,0.008,0.284,10658474.508,0.22048437604537258,0.7795156239546275,,
52606.0,97700.0,0.06,0.017,0.284,10672653.305,0.22080848784702967,0.7791915121529703,855819.1945461896,338.3605732868829
52677.0,97700.0,0.04,0.008,0.284,10686810.412,0.22113333576793348,0.7788666642320665,,
52748.0,97700.0,0.04,0.008,0.284,10686810.412,0.22113333576793348,0.7788666642320665,424207.9953613714,257.42724027746914
52819.0,97700.0,0.04,0.005,0.284,10700945.521,0.22145890355446737,0.7785410964455326,,
52890.0,97700.0,0.04,0.007,0.284,10715058.328,0.22178517490889088,0.7782148250911092,766350.7154682995,194.3765149548692
52961.0,97700.0,0.01,0.001,0.284,10729148.536,0.22211213347816536,0.7778878665218346,,
53032.0,97700.0,0.01,0.001,0.284,10729148.536,0.22211213347816536,0.7778878665218346,753594.2339347141,317.77488018221925
53103.0,97700.0,0.04,0.005,0.284,10743215.854,0.22243976284280487,0.7775602371571951,,
53174.0,97700.0,0.03,0.003,0.284,10757259.993,0.22276804650608334,0.7772319534939167,969582.3443626314,378.7474170610285
53245.0,97700.0,0.03,0.003,0.284,10757259.993,0.22276804650608334,0.7772319534939167,,
