easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
66100.0,22300.0,0.09,0.033,0.332,9440769.483,0.12474023137049046,0.8752597686295095,260036.41427856003,275.7375932852966
66199.0,22300.0,0.12,0.057,0.332,9429043.88,0.12497869067254282,0.8750213093274571,,
66297.0,22300.0,0.11,0.05,0.332,9417413.01,0.1252214466417757,0.8747785533582243,429740.7547869555,324.14503240185155
66396.0,22300.0,0.08,0.024,0.332,9405879.454,0.1254685455756158,0.8745314544243842,,
66495.0,22300.0,0.08,0.031,0.332,9394445.773,0.12572003343331017,0.8742799665666898,485657.82222922245,320.8684881896979
66593.0,22300.0,0.08,0.028,0.332,9383114.504,0.1259759557648164,0.8740240442351837,,
66692.0,22300.0,0.09,0.032,0.332,9371888.161,0.12623635763764865,0.8737636423623514,662400.9195408403,269.04680566140325
66791.0,22300.0,0.08,0.03,0.332,9360769.231,0.1265012835616146,0.8734987164383854,,
66889.0,22300.0,0.1,0.041,0.332,9349760.17,0.12677077741151332,0.8732292225884867,557836.7578997099,274.75077709367275
66988.0,22300.0,0.1,0.044,0.331,9338863.406,0.12704488234817654,0.8729551176518234,,
67087.0,22300.0,0.09,0.036,0.331,9328081.332,0.12732364073778554,0.8726763592622144,580089.1308472237,249.12131560494956
67185.0,22300.0,0.1,0.045,0.331,9317416.305,0.12760709406976056,0.8723929059302394,,
67284.0,22300.0,0.09,0.03,0.331,9306870.642,0.1278952828734055,0.8721047171265945,983726.5893620972,298.5936183383897
67383.0,22300.0,0.08,0.023,0.331,9296446.624,0.1281882466334447,0.8718117533665553,,
67481.0,22300.0,0.07,0.017,0.331,9286146.484,0.12848602370484538,0.8715139762951546,914888.9360171468,314.27582612072325
67580.0,22300.0,0.1,0.031,0.331,9275972.412,0.12878865122689476,0.8712113487731052,,
67679.0,22300.0,0.1,0.034,0.331,9265926.551,0.12909616503714066,0.8709038349628593,560742.5436035611,303.39466125638086
67777.0,22300.0,0.09,0.028,0.331,9256010.992,0.1294085995850493,0.8705914004149506,,
67876.0,22300.0,0.09,0.034,0.331,9246227.775,0.1297259878461095,0.8702740121538906,897016.541143729,253.19248228604886
67975.0,22300.0,0.11,0.05,0.331,9236578.883,0.13004836123626987,0.8699516387637302,,
68073.0,22300.0,0.06,0.017,0.331,9227066.244,0.13037574952725303,0.8696242504727469,1356008.599074659,239.85776794224586
68172.0,22300.0,0.09,0.04,0.331,9217691.725,0.13070818076301483,0.8692918192369852,,
68271.0,22300.0,0.1,0.054,0.33,9208457.131,0.1310456811775716,0.8689543188224285,605781.342007409,180.79180168307832
68369.0,22300.0,0.08,0.03,0.33,9199364.204,0.1313882751147128,0.8686117248852872,,
68468.0,22300.0,0.11,0.051,0.33,9190414.619,0.13173598494956773,0.8682640150504323,645221.8284145312,185.7255627792817
68567.0,22300.0,0.06,0.013,0.33,9181609.982,0.13208883101281196,0.867911168987188,,
68665.0,22300.0,0.09,0.04,0.33,9172951.831,0.1324468315174907,0.8675531684825093,381500.9100121362,282.532952126802
68764.0,22300.0,0.09,0.043,0.33,9164441.63,0.13281000248886982,0.8671899975111301,,
