easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
19800.0,60700.0,0.02,0.001,0.293,11758892.153,0.08209481780536464,0.9179051821946353,450363.54076405877,287.23000194570204
19851.0,60700.0,0.0,0.0,0.293,11771768.547,0.08194740898402679,0.9180525910159733,,
19902.0,60700.0,0.0,0.0,0.293,11771768.547,0.08194740898402679,0.9180525910159733,1169793.8324783216,251.96782007250926
19952.0,60700.0,0.03,0.002,0.293,11784605.887,0.08179979161789083,0.9182002083821091,,
20003.0,60700.0,0.03,0.002,0.293,11784605.887,0.08179979161789083,0.9182002083821091,1216999.3699783576,323.07194216264696
20054.0,60700.0,0.01,0.0,0.293,11797401.4,0.08165194130229318,0.9183480586977069,,
20105.0,60700.0,0.01,0.0,0.293,11797401.4,0.08165194130229318,0.9183480586977069,565853.5008919727,374.1093406271098
20156.0,60700.0,0.02,0.001,0.294,11810152.303,0.08150383397964575,0.9184961660203542,,
20206.0,60700.0,0.02,0.001,0.294,11810152.303,0.08150383397964575,0.9184961660203542,951770.2250062571,227.8805366831296
20257.0,60700.0,0.02,0.001,0.294,11822855.801,0.08135544594317203,0.918644554056828,,
20308.0,60700.0,0.02,0.001,0.294,11822855.801,0.08135544594317203,0.918644554056828,663528.838999552,316.01278832502015
20359.0,60700.0,0.02,0.001,0.294,11835509.09,0.08120675384030546,0.9187932461596946,,
20410.0,60700.0,0.02,0.001,0.294,11835509.09,0.08120675384030546,0.9187932461596946,108619.01507962067,285.3423798068689
20460.0,60700.0,0.02,0.002,0.294,11848109.358,0.08105773467607544,0.9189422653239245,,
20511.0,60700.0,0.02,0.002,0.294,11848109.358,0.08105773467607544,0.9189422653239245,731529.0306415374,316.64034703861194
20562.0,60700.0,0.02,0.002,0.294,11860653.779,0.08090836581624894,0.9190916341837511,,
20613.0,60700.0,0.02,0.002,0.294,11860653.779,0.08090836581624894,0.9190916341837511,555988.0565249904,363.49517518672144
20663.0,60700.0,0.01,0.0,0.294,11873139.52,0.08075862499038429,0.9192413750096157,,
20714.0,60700.0,0.01,0.0,0.294,11873139.52,0.08075862499038429,0.9192413750096157,436512.2058586673,305.84370840930114
20765.0,60700.0,0.02,0.002,0.294,11885563.738,0.08060849029466255,0.9193915097053375,,
20816.0,60700.0,0.02,0.002,0.294,11885563.738,0.08060849029466255,0.9193915097053375,1154253.4715814507,296.52328140682727
20867.0,60700.0,0.03,0.003,0.294,11897923.58,0.08045794019461823,0.9195420598053817,,
20917.0,60700.0,0.03,0.003,0.294,11897923.58,0.08045794019461823,0.9195420598053817,1150340.1272529825,238.2345150036475
20968.0,60700.0,0.01,0.0,0.294,11910216.182,0.08030695352775391,0.9196930464722461,,
21019.0,60700.0,0.01,0.0,0.294,11910216.182,0.08030695352775391,0.9196930464722461,1260801.7529997944,288.30969586691594
21070.0,60700.0,0.02,0.001,0.294,11922438.672,0.08015550950598616,0.9198444904940138,,
21121.0,60700.0,0.02,0.001,0.294,11922438.672,0.08015550950598616,0.9198444904940138,588573.9106005538,130.32936656111596
21171.0,60700.0,0.02,0.002,0.294,11934588.169,0.08000358771811336,0.9199964122818867,,
21222.0,60700.0,0.02,0.002,0.294,11934588.169,0.08000358771811336,0.9199964122818867,542461.4235086378,334.1820540728171
21273.0,60700.0,0.04,0.006,0.294,11946661.783,0.0798511681319159,0.9201488318680842,,
21324.0,60700.0,0.04,0.006,0.294,11946661.783,0.0798511681319159,0.9201488318680842,557665.5367652011,303.77086127295104
21375.0,60700.0,0.01,0.001,0.294,11958656.612,0.07969823109631519,0.9203017689036848,,
21425.0,60700.0,0.01,0.001,0.294,11958656.612,0.07969823109631519,0.9203017689036848,1086758.0414790988,317.8523233152083
21476.0,60700.0,0.01,0.0,0.294,11970569.749,0.07954475734348276,0.9204552426565172,,
21527.0,60700.0,0.01,0.0,0.294,11970569.749,0.07954475734348276,0.9204552426565172,585758.036023272,276.41494988834427
21578.0,60700.0,0.05,0.01,0.294,11982398.277,0.07939072799070016,0.9206092720092999,,
21629.0,60700.0,0.05,0.01,0.294,11982398.277,0.07939072799070016,0.9206092720092999,712087.6119914049,368.3626868471762
21679.0,60700.0,0.03,0.002,0.294,11994139.27,0.0792361245421978,0.9207638754578022,,
21730.0,60700.0,0.03,0.002,0.294,11994139.27,0.0792361245421978,0.9207638754578022,624195.1612605371,332.4433489595952
21781.0,60700.0,0.0,0.0,0.294,12005789.795,0.07908092889088597,0.920919071109114,,
21832.0,60700.0,0.0,0.0,0.294,12005789.795,0.07908092889088597,0.920919071109114,307772.32462007046,312.12964327686353
21883.0,60700.0,0.04,0.007,0.294,12017346.91,0.07892512332009481,0.9210748766799052,,
21933.0,60700.0,0.04,0.007,0.294,12017346.91,0.07892512332009481,0.9210748766799052,480071.20640773524,405.7816334056862
21984.0,60700.0,0.02,0.001,0.294,12028807.666,0.07876869050495913,0.9212313094950408,,
22035.0,60700.0,0.02,0.001,0.294,12028807.666,0.07876869050495913,0.9212313094950408,409809.00453632965,364.4521397539345
22086.0,60700.0,0.02,0.002,0.294,12040169.108,0.07861161351414173,0.9213883864858583,,
22137.0,60700.0,0.02,0.002,0.294,12040169.108,0.07861161351414173,0.9213883864858583,961918.3371951554,351.2964737510099
